Date,UNH
2015-01-02,83.82877349853516
2015-01-05,82.44798278808594
2015-01-06,82.28162384033203
2015-01-07,83.1217269897461
2015-01-08,87.08943939208984
2015-01-09,86.27423858642578
2015-01-12,85.30107116699219
2015-01-13,85.73358154296875
2015-01-14,85.9498519897461
2015-01-15,86.88980102539062
2015-01-16,87.97945404052734
2015-01-20,87.85468292236328
2015-01-21,90.9323501586914
2015-01-22,94.70038604736328
2015-01-23,93.16154479980469
2015-01-26,92.83717346191406
2015-01-27,91.50628662109375
2015-01-28,90.21699523925781
2015-01-29,90.99056243896484
2015-01-30,88.37872314453125
2015-02-02,89.24382019042969
2015-02-03,89.67631530761719
2015-02-04,89.76780700683594
2015-02-05,90.51644134521484
2015-02-06,89.50164794921875
2015-02-09,88.57832336425781
2015-02-10,90.64120483398438
2015-02-11,91.3731918334961
2015-02-12,91.3648681640625
2015-02-13,91.03213500976562
2015-02-17,91.29833984375
2015-02-18,91.3066177368164
2015-02-19,91.52290344238281
2015-02-20,93.67729187011719
2015-02-23,96.82150268554688
2015-02-24,96.0146484375
2015-02-25,94.86676788330078
2015-02-26,94.54236602783203
2015-02-27,94.51740264892578
2015-03-02,95.15788269042969
2015-03-03,93.8769302368164
2015-03-04,94.67544555664062
2015-03-05,95.48226165771484
2015-03-06,93.8935546875
2015-03-09,95.57378387451172
2015-03-10,93.5441665649414
2015-03-11,94.07416534423828
2015-03-12,95.8768539428711
2015-03-13,96.18563079833984
2015-03-16,98.91471862792969
2015-03-17,98.14693450927734
2015-03-18,100.11653900146484
2015-03-19,100.78417205810547
2015-03-20,99.43215942382812
2015-03-23,99.34871673583984
2015-03-24,98.58088684082031
2015-03-25,97.26226806640625
2015-03-26,97.02021789550781
2015-03-27,98.48909759521484
2015-03-30,100.98448181152344
2015-03-31,98.72277069091797
2015-04-01,98.02172088623047
2015-04-02,97.94661712646484
2015-04-06,98.23037719726562
2015-04-07,97.93827056884766
2015-04-08,98.6393051147461
2015-04-09,98.93976593017578
2015-04-10,99.31531524658203
2015-04-13,99.62413787841797
2015-04-14,100.0831298828125
2015-04-15,97.91324615478516
2015-04-16,101.48524475097656
2015-04-17,99.07331085205078
2015-04-20,98.96479034423828
2015-04-21,99.54901885986328
2015-04-22,98.32215118408203
2015-04-23,98.69773864746094
2015-04-24,99.05660247802734
2015-04-27,97.01188659667969
2015-04-28,98.13858795166016
2015-04-29,94.81693267822266
2015-04-30,92.97249603271484
2015-05-01,94.47473907470703
2015-05-04,95.60977935791016
2015-05-05,94.61662292480469
2015-05-06,94.71678924560547
2015-05-07,95.77670288085938
2015-05-08,96.54450988769531
2015-05-11,95.7850341796875
2015-05-12,95.67652893066406
2015-05-13,96.69474792480469
2015-05-14,98.9230728149414
2015-05-15,99.59073638916016
2015-05-18,99.98299407958984
2015-05-19,100.60894012451172
2015-05-20,101.18479919433594
2015-05-21,100.53382873535156
2015-05-22,99.80773162841797
2015-05-26,98.68104553222656
2015-05-27,99.69091033935547
2015-05-28,99.8327865600586
2015-05-29,100.3251724243164
2015-06-01,100.03309631347656
2015-06-02,98.27208709716797
2015-06-03,98.77285766601562
2015-06-04,97.35405731201172
2015-06-05,97.25392150878906
2015-06-08,97.57105255126953
2015-06-09,97.63783264160156
2015-06-10,98.93976593017578
2015-06-11,100.00415802001953
2015-06-12,98.60453033447266
2015-06-15,99.7192153930664
2015-06-16,101.8731689453125
2015-06-17,100.35618591308594
2015-06-18,101.31999206542969
2015-06-19,100.85070037841797
2015-06-22,100.78363037109375
2015-06-23,102.87053680419922
2015-06-24,99.87846374511719
2015-06-25,102.52691650390625
2015-06-26,103.29798889160156
2015-06-29,101.57147216796875
2015-06-30,102.25032043457031
2015-07-01,103.40692901611328
2015-07-02,102.09109497070312
2015-07-06,102.38444519042969
2015-07-07,101.1607666015625
2015-07-08,99.5516128540039
2015-07-09,100.02094268798828
2015-07-10,102.37606811523438
2015-07-13,102.62748718261719
