Date,PTC
2015-01-02,36.349998474121094
2015-01-05,35.36000061035156
2015-01-06,35.08000183105469
2015-01-07,35.220001220703125
2015-01-08,35.75
2015-01-09,35.619998931884766
2015-01-12,34.709999084472656
2015-01-13,34.2599983215332
2015-01-14,33.790000915527344
2015-01-15,33.540000915527344
2015-01-16,34.06999969482422
2015-01-20,34.18000030517578
2015-01-21,34.16999816894531
2015-01-22,34.959999084472656
2015-01-23,34.869998931884766
2015-01-26,34.91999816894531
2015-01-27,34.290000915527344
2015-01-28,32.900001525878906
2015-01-29,33.9900016784668
2015-01-30,33.40999984741211
2015-02-02,33.459999084472656
2015-02-03,34.599998474121094
2015-02-04,34.25
2015-02-05,34.220001220703125
2015-02-06,33.95000076293945
2015-02-09,33.66999816894531
2015-02-10,34.060001373291016
2015-02-11,33.72999954223633
2015-02-12,33.650001525878906
2015-02-13,34.02000045776367
2015-02-17,34.61000061035156
2015-02-18,34.77000045776367
2015-02-19,34.790000915527344
2015-02-20,34.93000030517578
2015-02-23,34.31999969482422
2015-02-24,34.45000076293945
2015-02-25,34.16999816894531
2015-02-26,34.650001525878906
2015-02-27,34.65999984741211
2015-03-02,34.5
2015-03-03,33.84000015258789
2015-03-04,33.630001068115234
2015-03-05,34.0
2015-03-06,33.52000045776367
2015-03-09,33.66999816894531
2015-03-10,32.880001068115234
2015-03-11,32.84000015258789
2015-03-12,32.869998931884766
2015-03-13,33.0099983215332
2015-03-16,34.040000915527344
2015-03-17,34.380001068115234
2015-03-18,36.15999984741211
2015-03-19,36.099998474121094
2015-03-20,37.0099983215332
2015-03-23,35.880001068115234
2015-03-24,35.790000915527344
2015-03-25,35.349998474121094
2015-03-26,35.7599983215332
2015-03-27,36.04999923706055
2015-03-30,36.09000015258789
2015-03-31,36.16999816894531
2015-04-01,36.150001525878906
2015-04-02,36.5099983215332
2015-04-06,37.16999816894531
2015-04-07,37.04999923706055
2015-04-08,37.56999969482422
2015-04-09,37.939998626708984
