Date,LMT
2015-01-02,142.88572692871094
2015-01-05,139.914306640625
2015-01-06,139.2564697265625
2015-01-07,141.0526580810547
2015-01-08,144.23097229003906
2015-01-09,144.1497039794922
2015-01-12,143.7431182861328
2015-01-13,143.65444946289062
2015-01-14,142.82659912109375
2015-01-15,142.19088745117188
2015-01-16,143.92056274414062
2015-01-20,144.6892547607422
2015-01-21,144.50450134277344
2015-01-22,146.4188232421875
2015-01-23,145.9384307861328
2015-01-26,144.63754272460938
2015-01-27,140.84568786621094
2015-01-28,139.884765625
2015-01-29,142.2870330810547
2015-01-30,139.23431396484375
2015-02-02,139.9438934326172
2015-02-03,141.91744995117188
2015-02-04,142.12442016601562
2015-02-05,143.44009399414062
2015-02-06,144.31228637695312
2015-02-09,142.67135620117188
2015-02-10,144.63009643554688
2015-02-11,145.1032257080078
2015-02-12,145.96798706054688
2015-02-13,145.57618713378906
2015-02-17,146.03453063964844
2015-02-18,146.773681640625
2015-02-19,149.09463500976562
2015-02-20,150.77987670898438
2015-02-23,151.96253967285156
2015-02-24,152.723876953125
2015-02-25,151.4229736328125
2015-02-26,149.9114227294922
2015-02-27,148.95831298828125
2015-03-02,151.16981506347656
2015-03-03,148.86895751953125
2015-03-04,148.15411376953125
2015-03-05,148.25094604492188
2015-03-06,147.17874145507812
2015-03-09,148.72750854492188
2015-03-10,147.11912536621094
2015-03-11,146.8436737060547
2015-03-12,148.01263427734375
2015-03-13,146.76918029785156
2015-03-16,150.49220275878906
2015-03-17,149.41998291015625
2015-03-18,150.85702514648438
2015-03-19,150.5518035888672
2015-03-20,151.72825622558594
2015-03-23,151.09535217285156
2015-03-24,151.37828063964844
2015-03-25,148.19134521484375
2015-03-26,149.33804321289062
2015-03-27,150.58154296875
2015-03-30,152.56216430664062
2015-03-31,151.12510681152344
2015-04-01,147.997802734375
2015-04-02,147.96795654296875
2015-04-06,149.3157196044922
2015-04-07,149.0327911376953
2015-04-08,149.52423095703125
2015-04-09,149.9933319091797
