Date,SBUX
2015-01-02,32.45008850097656
2015-01-05,31.828500747680664
2015-01-06,31.569503784179688
2015-01-07,32.34648132324219
2015-01-08,32.868465423583984
2015-01-09,31.792631149291992
2015-01-12,31.96795654296875
2015-01-13,32.22296142578125
2015-01-14,32.04366683959961
2015-01-15,31.708946228027344
2015-01-16,32.11936569213867
2015-01-20,32.3624153137207
2015-01-21,32.39030075073242
2015-01-22,32.96806716918945
2015-01-23,35.15159225463867
2015-01-26,35.11176300048828
2015-01-27,35.19941711425781
2015-01-28,34.892601013183594
2015-01-29,35.4823112487793
2015-01-30,34.87667465209961
2015-02-02,35.0599479675293
2015-02-03,35.38787841796875
2015-02-04,35.471866607666016
2015-02-05,35.84776306152344
2015-02-06,35.591835021972656
2015-02-09,35.51984786987305
2015-02-10,36.463626861572266
2015-02-11,36.30766296386719
2015-02-12,36.723567962646484
2015-02-13,36.62358474731445
2015-02-17,36.80354309082031
2015-02-18,37.19146728515625
2015-02-19,37.25944900512695
2015-02-20,37.395423889160156
2015-02-23,37.42340850830078
2015-02-24,37.371421813964844
2015-02-25,37.69535446166992
2015-02-26,37.811317443847656
2015-02-27,37.387413024902344
2015-03-02,37.683345794677734
2015-03-03,37.591373443603516
2015-03-04,37.215450286865234
2015-03-05,37.44340515136719
2015-03-06,36.8795280456543
2015-03-09,37.20746994018555
2015-03-10,36.86354064941406
2015-03-11,36.559608459472656
2015-03-12,37.34343719482422
2015-03-13,37.307437896728516
2015-03-16,37.61137390136719
2015-03-17,37.747337341308594
2015-03-18,38.32720184326172
2015-03-19,39.09502410888672
2015-03-20,38.97504806518555
2015-03-23,38.939064025878906
2015-03-24,39.15901184082031
2015-03-25,38.2991943359375
2015-03-26,38.02326583862305
2015-03-27,38.019264221191406
2015-03-30,38.3831901550293
2015-03-31,37.87129211425781
2015-04-01,37.199459075927734
2015-04-02,37.747337341308594
2015-04-06,37.79932403564453
2015-04-07,37.61936950683594
2015-04-08,38.08327102661133
2015-04-09,38.35919189453125
2015-04-10,38.52714920043945
2015-04-13,38.791099548339844
2015-04-14,38.63113021850586
2015-04-15,38.50315475463867
2015-04-16,38.59113693237305
2015-04-17,38.087249755859375
2015-04-20,38.367191314697266
2015-04-21,38.68711853027344
2015-04-22,38.663116455078125
2015-04-23,39.53493881225586
2015-04-24,41.462486267089844
2015-04-27,40.68666076660156
2015-04-28,40.47869873046875
2015-04-29,40.51069641113281
2015-04-30,39.654903411865234
2015-05-01,40.2227668762207
2015-05-04,40.350730895996094
2015-05-05,39.64466094970703
2015-05-06,39.2595329284668
2015-05-07,39.596527099609375
2015-05-08,39.941532135009766
2015-05-11,39.71687316894531
2015-05-12,39.88536834716797
2015-05-13,39.789085388183594
2015-05-14,40.5673713684082
2015-05-15,40.75993728637695
2015-05-18,41.064842224121094
2015-05-19,41.25740051269531
2015-05-20,40.944488525390625
2015-05-21,41.18519973754883
2015-05-22,41.3055419921875
2015-05-26,40.792030334472656
2015-05-27,41.39380645751953
2015-05-28,41.570335388183594
2015-05-29,41.69068908691406
2015-06-01,41.899288177490234
2015-06-02,41.50613021850586
2015-06-03,41.81905746459961
2015-06-04,41.49812316894531
2015-06-05,41.875221252441406
2015-06-08,41.34566879272461
2015-06-09,41.35369110107422
2015-06-10,42.27639389038086
2015-06-11,42.11593246459961
2015-06-12,42.22825622558594
2015-06-15,41.93941116333008
2015-06-16,42.50106430053711
2015-06-17,42.71769332885742
2015-06-18,43.41575622558594
2015-06-19,43.27133560180664
2015-06-22,43.247276306152344
2015-06-23,43.423770904541016
2015-06-24,43.094810485839844
2015-06-25,43.383670806884766
2015-06-26,43.82495880126953
2015-06-29,42.966434478759766
2015-06-30,43.0225944519043
2015-07-01,43.2392463684082
2015-07-02,43.52006149291992
2015-07-06,43.57623291015625
2015-07-07,43.63239669799805
2015-07-08,42.83805847167969
2015-07-09,43.36762237548828
2015-07-10,43.78485107421875
2015-07-13,44.6915283203125
2015-07-14,44.73163986206055
2015-07-15,44.40266418457031
2015-07-16,44.723602294921875
2015-07-17,44.6834831237793
2015-07-20,45.100711822509766
2015-07-21,45.09269332885742
2015-07-22,45.485843658447266
2015-07-23,45.38154220581055
2015-07-24,45.96726608276367
2015-07-27,45.718528747558594
2015-07-28,45.846900939941406
2015-07-29,46.14379119873047
2015-07-30,46.58509826660156
2015-07-31,46.48078155517578
2015-08-03,46.68939208984375
2015-08-04,47.22846984863281
2015-08-05,47.477882385253906
2015-08-06,46.04572296142578
2015-08-07,46.021583557128906
2015-08-10,45.27334976196289
2015-08-11,45.337703704833984
2015-08-12,45.36184310913086
2015-08-13,45.739994049072266
2015-08-14,45.941123962402344
2015-08-17,46.45606994628906
2015-08-18,46.528480529785156
2015-08-19,46.33537673950195
2015-08-20,44.90324020385742
2015-08-21,42.51365661621094
2015-08-24,40.50221633911133
2015-08-25,41.10565948486328
2015-08-26,43.4147834777832
2015-08-27,45.01588439941406
2015-08-28,44.758419036865234
2015-08-31,44.01820755004883
2015-09-01,43.044673919677734
2015-09-02,44.460716247558594
2015-09-03,44.00210189819336
2015-09-04,43.672237396240234
2015-09-08,44.42049026489258
2015-09-09,44.00210189819336
2015-09-10,44.54922103881836
2015-09-11,45.48252868652344
2015-09-14,45.289424896240234
2015-09-15,45.788265228271484
2015-09-16,46.06986999511719
2015-09-17,46.08595657348633
2015-09-18,45.73194885253906
2015-09-21,46.2951545715332
2015-09-22,45.95722961425781
2015-09-23,46.496280670166016
2015-09-24,46.96295166015625
2015-09-25,46.657222747802734
2015-09-28,44.871055603027344
2015-09-29,44.83082962036133
2015-09-30,45.73194885253906
2015-10-01,46.24687194824219
2015-10-02,46.7296257019043
2015-10-05,47.50200271606445
2015-10-06,47.22041320800781
2015-10-07,47.29282760620117
2015-10-08,47.83992385864258
2015-10-09,48.33072280883789
2015-10-12,48.70886993408203
2015-10-13,48.40312576293945
2015-10-14,47.32500076293945
2015-10-15,48.02496337890625
2015-10-16,48.218082427978516
2015-10-19,49.054840087890625
2015-10-20,48.98242950439453
2015-10-21,48.70081329345703
2015-10-22,49.47321701049805
2015-10-23,50.374332427978516
2015-10-26,51.034095764160156
2015-10-27,50.45479965209961
2015-10-28,51.09844207763672
2015-10-29,50.28583908081055
2015-10-30,50.342159271240234
2015-11-02,50.07663345336914
2015-11-03,50.52720260620117
2015-11-04,49.85136032104492
2015-11-05,50.10881805419922
2015-11-06,49.85940170288086
2015-11-09,49.51232147216797
2015-11-10,50.19035339355469
2015-11-11,49.940128326416016
2015-11-12,49.29438400268555
2015-11-13,48.22083282470703
2015-11-16,48.979583740234375
2015-11-17,48.87465286254883
2015-11-18,49.88362121582031
2015-11-19,49.60917282104492
2015-11-20,50.03699493408203
2015-11-23,50.561649322509766
2015-11-24,50.01277160644531
2015-11-25,50.198421478271484
2015-11-27,50.19035339355469
2015-11-30,49.55268096923828
2015-12-01,49.536537170410156
2015-12-02,49.41547393798828
2015-12-03,48.067466735839844
2015-12-04,49.84325408935547
2015-12-07,49.956275939941406
2015-12-08,50.174198150634766
2015-12-09,49.383182525634766
2015-12-10,49.940128326416016
2015-12-11,48.28541564941406
2015-12-14,48.366127014160156
2015-12-15,48.41455841064453
2015-12-16,48.71320343017578
2015-12-17,48.043251037597656
2015-12-18,47.31679153442383
2015-12-21,48.05940246582031
2015-12-22,48.42264175415039
2015-12-23,48.705135345458984
2015-12-24,48.688995361328125
2015-12-28,48.584068298339844
2015-12-29,49.34282684326172
2015-12-30,49.09258270263672
2015-12-31,48.454925537109375
