date,HRS
2015-01-02,57.3687745769
2015-01-05,55.8228134637
2015-01-06,54.7013908944
2015-01-07,54.8455737962
2015-01-08,56.103169106
2015-01-09,56.0230674939
2015-01-12,55.1739904057
2015-01-13,54.8135331514
2015-01-14,54.8055229901
2015-01-15,53.916395096
2015-01-16,54.1807304159
2015-01-20,54.1727202547
2015-01-21,54.645319766
2015-01-22,55.3422037911
2015-01-23,55.8308236249
2015-01-26,55.9029150757
2015-01-27,55.5744984662
2015-01-28,54.6693502496
2015-01-29,54.4290454133
2015-01-30,53.7722121942
2015-02-02,54.5171571866
2015-02-03,55.4062850808
2015-02-04,55.0137871816
2015-02-05,55.6626102395
2015-02-06,61.0214080881
2015-02-09,60.5888593829
2015-02-10,60.9252861536
2015-02-11,61.3418145365
2015-02-12,61.9265563047
2015-02-13,62.2629830755
2015-02-17,62.5753793626
2015-02-18,62.8477248437
2015-02-19,63.0559890351
2015-02-20,62.7516029092
2015-02-23,62.5193082342
2015-02-24,62.9198162946
2015-02-25,62.6314504911
2015-02-26,62.2709932367
2015-02-27,62.2229322694
2015-03-02,63.0960398412
2015-03-03,62.0306884004
2015-03-04,61.4699771158
2015-03-05,61.2296722796
2015-03-06,60.6128898665
2015-03-09,60.5161671699
2015-03-10,58.7348575076
2015-03-11,58.4366291931
2015-03-12,58.4366291931
2015-03-13,57.9449554854
2015-03-16,58.6220143616
2015-03-17,58.1142202044
2015-03-18,58.2996053729
2015-03-19,58.1787020022
2015-03-20,58.638134811
2015-03-23,58.750977957
2015-03-24,57.928835036
2015-03-25,56.9374273959
2015-03-26,59.065326721
2015-03-27,61.8622246975
2015-03-30,62.5715244725
2015-03-31,63.4823298655
2015-04-01,63.3453060453
2015-04-02,63.4339685172
2015-04-06,65.0540736852
2015-04-07,64.3044727865
2015-04-08,64.5865806516
2015-04-09,65.029893011
2015-04-10,65.2878202019
2015-04-13,64.7639055954
2015-04-14,64.8848089661
2015-04-15,65.3764826738
2015-04-16,64.7639055954
2015-04-17,63.3130651464
2015-04-20,63.9175820002
2015-04-21,66.0374211005
2015-04-22,66.4646130105
2015-04-23,66.0938426736
2015-04-24,65.3684224491
2015-04-27,65.0782543593
2015-04-28,65.3603622244
2015-04-29,63.8853411013
