date,ADS
2015-01-02,282.73955701271
2015-01-05,278.80615111391
2015-01-06,275.25915032859
2015-01-07,277.36951671762
2015-01-08,285.27595980891
2015-01-09,288.0699660141
2015-01-12,288.67434324288
2015-01-13,284.89946251885
2015-01-14,278.77642764364
2015-01-15,277.07228201494
2015-01-16,286.88102720338
2015-01-20,290.57664534004
2015-01-21,292.20152838135
2015-01-22,291.71604503364
2015-01-23,295.78816046036
2015-01-26,297.87871120254
2015-01-27,292.03309538317
2015-01-28,287.42595749163
2015-01-29,290.22987152024
2015-01-30,286.16766391695
2015-02-02,288.83286841765
2015-02-03,292.55821002457
2015-02-04,289.62549429146
2015-02-05,277.15154460232
2015-02-06,271.88058254146
2015-02-09,270.60247331994
2015-02-10,276.86421772306
2015-02-11,277.07228201494
2015-02-12,282.28379713526
2015-02-13,283.96812711712
2015-02-17,281.61006514252
2015-02-18,280.26260115704
2015-02-19,279.33126575531
2015-02-20,279.79693345617
2015-02-23,277.04255854467
2015-02-24,273.6441751107
2015-02-25,273.91168634311
2015-02-26,276.82458642937
2015-02-27,275.94279014475
2015-03-02,279.68794739852
2015-03-03,276.62642996092
2015-03-04,275.67527891234
2015-03-05,280.10407598228
2015-03-06,276.58679866723
2015-03-09,277.59739665634
2015-03-10,271.79141213066
2015-03-11,274.4764322782
2015-03-12,280.83725491555
2015-03-13,281.55061820199
2015-03-16,286.65314726466
2015-03-17,286.24692650433
2015-03-18,289.96236028783
2015-03-19,289.70475687884
2015-03-20,291.73586068049
2015-03-23,291.93401714894
2015-03-24,291.49807291834
2015-03-25,287.58448266639
2015-03-26,288.97157794556
2015-03-27,293.02387772544
2015-03-30,297.23470268007
2015-03-31,293.51926889657
2015-04-01,291.86466238498
2015-04-02,290.97295827694
2015-04-06,293.96512095059
2015-04-07,295.49092575768
2015-04-08,296.2439203378
2015-04-09,296.64023327471
2015-04-10,298.04714420073
2015-04-13,297.92825031966
2015-04-14,298.2948397863
2015-04-15,299.41442383306
2015-04-16,297.16534791611
2015-04-17,291.95383279579
2015-04-20,296.85820539001
2015-04-21,302.04990486349
2015-04-22,305.48791959115
2015-04-23,307.05335569194
2015-04-24,304.60612330654
2015-04-27,301.8814718653
2015-04-28,299.59276465467
2015-04-29,297.8588955557
2015-04-30,294.56949817937
2015-05-01,295.83769957747
2015-05-04,297.78954079174
2015-05-05,297.91834249623
2015-05-06,293.9254896569
2015-05-07,295.36212405319
2015-05-08,300.50428440955
2015-05-11,298.6019823124
2015-05-12,293.93539748032
2015-05-13,294.99553458655
2015-05-14,296.04576386935
2015-05-15,294.73793117756
2015-05-18,297.71027820436
2015-05-19,298.13631461153
2015-05-20,297.23470268007
2015-05-21,294.46051212172
2015-05-22,297.54184520617
2015-05-26,295.00544240997
2015-05-27,299.49368642044
2015-05-28,297.30405744403
2015-05-29,295.2828614658
2015-06-01,294.40106518119
