Date,COP
2015-01-02,47.56376647949219
2015-01-05,45.300148010253906
2015-01-06,43.42988967895508
2015-01-07,43.719730377197266
2015-01-08,44.810157775878906
2015-01-09,44.80325698852539
2015-01-12,43.52650451660156
2015-01-13,43.09171676635742
2015-01-14,43.2159538269043
2015-01-15,42.380889892578125
2015-01-16,43.533409118652344
2015-01-20,43.609317779541016
2015-01-21,44.540992736816406
2015-01-22,45.065494537353516
2015-01-23,44.616905212402344
2015-01-26,45.424373626708984
2015-01-27,45.23112487792969
2015-01-28,43.188358306884766
2015-01-29,43.353973388671875
2015-01-30,43.46440124511719
2015-02-02,45.389862060546875
2015-02-03,46.749427795410156
2015-02-04,45.45885467529297
2015-02-05,46.63209915161133
2015-02-06,46.576881408691406
2015-02-09,46.82533645629883
2015-02-10,46.92195129394531
2015-02-11,46.84602737426758
2015-02-12,47.46693420410156
2015-02-13,48.75058364868164
2015-02-17,48.464534759521484
2015-02-18,47.25067901611328
2015-02-19,47.034400939941406
2015-02-20,47.006492614746094
2015-02-23,46.68558883666992
2015-02-24,46.80419158935547
2015-02-25,47.11112594604492
2015-02-26,45.93913269042969
2015-02-27,45.48564910888672
2015-03-02,44.92754364013672
2015-03-03,45.19264221191406
2015-03-04,44.82289123535156
2015-03-05,44.181068420410156
2015-03-06,43.80436325073242
2015-03-09,43.232295989990234
2015-03-10,42.464900970458984
2015-03-11,42.764892578125
2015-03-12,42.80674743652344
2015-03-13,43.0020866394043
2015-03-16,43.532291412353516
2015-03-17,43.260189056396484
2015-03-18,44.39735412597656
2015-03-19,43.78343963623047
2015-03-20,44.536869049072266
2015-03-23,44.11132049560547
2015-03-24,43.63692855834961
2015-03-25,43.98575210571289
2015-03-26,44.1182861328125
2015-03-27,43.90202331542969
2015-03-30,44.64849090576172
2015-03-31,43.434608459472656
2015-04-01,43.96481704711914
2015-04-02,44.07642364501953
2015-04-06,45.61820602416992
2015-04-07,45.89723587036133
2015-04-08,45.21357727050781
2015-04-09,46.741397857666016
2015-04-10,46.41350555419922
2015-04-13,46.28096389770508
2015-04-14,47.690162658691406
2015-04-15,48.41569519042969
2015-04-16,48.14363479614258
2015-04-17,47.22276306152344
2015-04-20,47.86457443237305
2015-04-21,47.45297622680664
2015-04-22,47.35530471801758
2015-04-23,47.62040710449219
2015-04-24,47.0971794128418
2015-04-27,46.78323745727539
2015-04-28,47.25764465332031
2015-04-29,47.48086929321289
2015-04-30,47.38322067260742
2015-05-01,47.048362731933594
2015-05-04,46.755332946777344
2015-05-05,46.88090896606445
2015-05-06,46.901851654052734
2015-05-07,46.47629165649414
2015-05-08,46.8599853515625
2015-05-11,45.54145812988281
2015-05-12,45.62519454956055
2015-05-13,45.61820602416992
2015-05-14,45.63911819458008
2015-05-15,45.87632751464844
2015-05-18,46.0716667175293
2015-05-19,45.42985916137695
2015-05-20,45.704994201660156
2015-05-21,46.26942443847656
2015-05-22,45.937835693359375
2015-05-26,45.04179763793945
2015-05-27,45.027679443359375
2015-05-28,45.055904388427734
2015-05-29,44.92890548706055
2015-06-01,44.87953186035156
2015-06-02,45.20406723022461
2015-06-03,45.01356506347656
2015-06-04,44.44914627075195
2015-06-05,44.47734832763672
2015-06-08,44.75251007080078
2015-06-09,44.49147415161133
2015-06-10,45.168785095214844
2015-06-11,45.17584228515625
2015-06-12,44.80896759033203
2015-06-15,44.6396484375
2015-06-16,44.75251007080078
2015-06-17,44.512630462646484
2015-06-18,44.399749755859375
2015-06-19,43.99054718017578
2015-06-22,44.15281677246094
2015-06-23,44.56907653808594
2015-06-24,44.32920455932617
2015-06-25,43.89881134033203
2015-06-26,43.87059783935547
2015-06-29,43.045101165771484
2015-06-30,43.327327728271484
2015-07-01,42.35367202758789
2015-07-02,42.69939422607422
2015-07-06,41.66930389404297
2015-07-07,42.085575103759766
2015-07-08,41.175418853759766
2015-07-09,41.39413833618164
2015-07-10,41.71869659423828
2015-07-13,41.57758712768555
2015-07-14,42.000911712646484
2015-07-15,41.2177619934082
2015-07-16,40.88615798950195
2015-07-17,40.35698699951172
2015-07-20,39.91249465942383
2015-07-21,39.85607147216797
2015-07-22,39.390411376953125
2015-07-23,38.63962936401367
2015-07-24,37.245357513427734
2015-07-27,36.215721130371094
2015-07-28,37.35260009765625
2015-07-29,37.82450485229492
2015-07-30,37.231048583984375
2015-07-31,35.99406433105469
2015-08-03,35.54360580444336
2015-08-04,35.657989501953125
2015-08-05,35.12173080444336
2015-08-06,35.9511604309082
2015-08-07,34.921531677246094
2015-08-10,35.89395523071289
2015-08-11,36.036964416503906
2015-08-12,36.852088928222656
2015-08-13,35.822452545166016
2015-08-14,35.58648681640625
2015-08-17,35.43634796142578
2015-08-18,35.40060043334961
2015-08-19,34.09210205078125
2015-08-20,33.605899810791016
2015-08-21,32.45471954345703
2015-08-24,30.695768356323242
2015-08-25,30.166671752929688
2015-08-26,31.03897476196289
2015-08-27,32.79792022705078
2015-08-28,33.477203369140625
2015-08-31,35.143184661865234
2015-09-01,34.142154693603516
2015-09-02,34.45677185058594
2015-09-03,34.449623107910156
2015-09-04,33.748905181884766
2015-09-08,34.64982604980469
2015-09-09,34.21366882324219
2015-09-10,34.62836456298828
2015-09-11,33.86330032348633
2015-09-14,33.44145202636719
2015-09-15,33.806114196777344
2015-09-16,35.372005462646484
2015-09-17,35.84391784667969
2015-09-18,34.57831573486328
2015-09-21,34.857173919677734
2015-09-22,34.76423645019531
2015-09-23,34.2208137512207
2015-09-24,34.14931106567383
2015-09-25,33.74174499511719
2015-09-28,32.78362274169922
2015-09-29,33.298431396484375
2015-09-30,34.29231643676758
2015-10-01,34.43532943725586
2015-10-02,36.60181427001953
2015-10-05,37.881710052490234
2015-10-06,39.42615509033203
2015-10-07,39.519107818603516
2015-10-08,40.24127960205078
2015-10-09,40.11256790161133
2015-10-12,39.519107818603516
2015-10-13,39.354644775390625
2015-10-14,39.654964447021484
2015-10-15,40.0245475769043
2015-10-16,40.0245475769043
2015-10-19,38.90852355957031
2015-10-20,38.79982376098633
2015-10-21,38.38676071166992
2015-10-22,39.55349349975586
2015-10-23,39.57525634765625
2015-10-26,38.372283935546875
2015-10-27,37.45915603637695
2015-10-28,38.65489196777344
2015-10-29,38.8577995300293
2015-10-30,38.66213607788086
2015-11-02,39.81439208984375
2015-11-03,41.11158752441406
2015-11-04,40.82894515991211
2015-11-05,40.78546905517578
2015-11-06,40.41588592529297
2015-11-09,39.596981048583984
2015-11-10,39.6042366027832
2015-11-11,38.72735595703125
2015-11-12,37.66207504272461
2015-11-13,37.56060028076172
2015-11-16,39.40131759643555
2015-11-17,39.06071090698242
2015-11-18,39.48102569580078
2015-11-19,38.8143196105957
2015-11-20,38.35776138305664
2015-11-23,38.61141586303711
2015-11-24,40.08977127075195
2015-11-25,39.4085693359375
2015-11-27,38.75634765625
2015-11-30,39.16941833496094
2015-12-01,39.57525634765625
2015-12-02,38.08238983154297
2015-12-03,37.401180267333984
2015-12-04,37.0967903137207
2015-12-07,35.50249481201172
2015-12-08,35.00247573852539
2015-12-09,35.12566375732422
2015-12-10,35.66917037963867
2015-12-11,34.879276275634766
2015-12-14,35.893836975097656
2015-12-15,36.6402587890625
2015-12-16,35.763370513916016
2015-12-17,34.26328659057617
2015-12-18,33.28495407104492
2015-12-21,32.68345260620117
2015-12-22,33.5385856628418
2015-12-23,35.531494140625
2015-12-24,35.21262741088867
2015-12-28,34.198055267333984
2015-12-29,34.61838912963867
2015-12-30,33.7704963684082
2015-12-31,33.8357048034668
