date,ADM
2015-01-02,37.376679318
2015-01-05,36.083368615
2015-01-06,35.3720477283
2015-01-07,35.9037421284
2015-01-08,35.3792327877
2015-01-09,35.0774602904
2015-01-12,34.6391716632
2015-01-13,34.6894670795
2015-01-14,34.0931071442
2015-01-15,33.9206657171
2015-01-16,34.2583635118
2015-01-20,33.9134806576
2015-01-21,34.2727336307
2015-01-22,34.5457658902
2015-01-23,34.3948796415
2015-01-26,34.6966521389
2015-01-27,34.6894670795
2015-01-28,34.121847382
2015-01-29,34.4308049388
2015-01-30,33.5039322683
2015-02-02,34.6104314254
2015-02-03,35.0343499336
2015-02-04,33.1590494142
2015-02-05,34.9768694579
2015-02-06,34.1721427982
2015-02-09,34.0428117279
2015-02-10,34.1865129172
2015-02-11,33.7122989927
2015-02-12,34.2871037496
2015-02-13,34.7641165758
2015-02-17,34.5256101627
2015-02-18,34.4822453603
2015-02-19,34.5328376298
2015-02-20,34.8002539111
2015-02-23,34.8797560488
2015-02-24,35.1616272643
2015-02-25,34.7641165758
2015-02-26,34.3666058873
2015-02-27,34.6051123004
2015-03-02,34.5834298992
2015-03-03,34.3449234861
2015-03-04,34.0269149353
2015-03-05,34.3160136179
2015-03-06,33.4270351691
2015-03-09,33.5282197079
2015-03-10,32.8994300734
2015-03-11,32.8849751393
2015-03-12,33.7089063845
2015-03-13,33.4631725044
2015-03-16,33.6004943786
2015-03-17,33.4270351691
2015-03-18,34.0919621389
2015-03-19,33.6004943786
2015-03-20,33.9329578635
2015-03-23,34.0630522706
2015-03-24,33.9401853306
2015-03-25,33.759498654
2015-03-26,33.4631725044
2015-03-27,33.5788119774
2015-03-30,34.2726488155
2015-03-31,34.2581938814
2015-04-01,34.2798762826
2015-04-02,34.222056546
2015-04-06,34.9303483183
2015-04-07,34.8074813782
2015-04-08,34.9303483183
2015-04-09,34.6195672345
2015-04-10,34.6629320369
2015-04-13,34.6051123004
2015-04-14,34.6990693722
2015-04-15,34.9809405877
2015-04-16,34.9086659171
2015-04-17,34.894210983
2015-04-20,34.9086659171
2015-04-21,34.6484771028
2015-04-22,34.7641165758
2015-04-23,34.8869835159
2015-04-24,34.8436187135
2015-04-27,35.1327173961
2015-04-28,35.2555843361
2015-04-29,35.3784512762
2015-04-30,35.3278590068
2015-05-01,35.9783310425
2015-05-04,36.3686142639
2015-05-05,36.3902966651
2015-05-06,36.0939705155
2015-05-07,36.3686142639
2015-05-08,37.0407687008
2015-05-11,37.2937300481
2015-05-12,37.5250089941
2015-05-13,37.6984682036
2015-05-14,38.2188458322
2015-05-15,38.3344853052
2015-05-18,38.3995325088
2015-05-19,38.1610260957
2015-05-20,38.0956321058
2015-05-21,38.4516660507
2015-05-22,38.2700160788
2015-05-26,37.8921841373
2015-05-27,38.6333160226
2015-05-28,38.26275008
2015-05-29,38.4008040586
2015-06-01,38.5315920384
2015-06-02,38.3354100687
