Date,PFE
2015-01-02,18.08253288269043
2015-01-05,17.984411239624023
2015-01-06,18.134477615356445
2015-01-07,18.382652282714844
2015-01-08,18.757814407348633
2015-01-09,18.844383239746094
2015-01-12,18.91364097595215
2015-01-13,18.723180770874023
2015-01-14,18.746265411376953
2015-01-15,18.700096130371094
2015-01-16,18.930957794189453
2015-01-20,19.104108810424805
2015-01-21,18.83861541748047
2015-01-22,18.93672752380371
2015-01-23,18.728960037231445
2015-01-26,18.930957794189453
2015-01-27,18.81552505493164
2015-01-28,18.44036865234375
2015-01-29,18.371110916137695
2015-01-30,18.03635597229004
2015-02-02,18.267223358154297
2015-02-03,18.480772018432617
2015-02-04,18.672922134399414
2015-02-05,19.208595275878906
2015-02-06,19.313398361206055
2015-02-09,19.255170822143555
2015-02-10,19.88400650024414
2015-02-11,19.942232131958008
2015-02-12,20.303237915039062
2015-02-13,20.169315338134766
2015-02-17,20.13437843322754
2015-02-18,20.076152801513672
2015-02-19,20.0353946685791
2015-02-20,20.122732162475586
2015-02-23,20.023746490478516
2015-02-24,19.99463653564453
2015-02-25,20.180957794189453
2015-02-26,20.140201568603516
2015-02-27,19.98299217224121
2015-03-02,20.244998931884766
2015-03-03,20.122732162475586
2015-03-04,20.169315338134766
2015-03-05,20.070329666137695
2015-03-06,19.779205322265625
2015-03-09,19.81414222717285
2015-03-10,19.668575286865234
2015-03-11,19.581235885620117
2015-03-12,19.796663284301758
2015-03-13,19.796663284301758
2015-03-16,20.0528621673584
2015-03-17,19.895647048950195
2015-03-18,20.017925262451172
2015-03-19,19.88400650024414
2015-03-20,19.942232131958008
2015-03-23,20.408037185668945
2015-03-24,20.099441528320312
2015-03-25,19.971343994140625
2015-03-26,19.88983154296875
2015-03-27,20.105268478393555
2015-03-30,20.378925323486328
2015-03-31,20.256650924682617
2015-04-01,19.988813400268555
2015-04-02,20.017925262451172
2015-04-06,20.076152801513672
2015-04-07,20.111087799072266
2015-04-08,20.169315338134766
2015-04-09,20.396394729614258
2015-04-10,20.635120391845703
2015-04-13,20.431325912475586
2015-04-14,20.396394729614258
2015-04-15,20.501201629638672
2015-04-16,20.48954963684082
2015-04-17,20.4022159576416
2015-04-20,20.384750366210938
2015-04-21,20.314876556396484
2015-04-22,20.338165283203125
2015-04-23,20.588537216186523
2015-04-24,20.536130905151367
2015-04-27,20.140201568603516
2015-04-28,20.076152801513672
2015-04-29,19.965524673461914
2015-04-30,19.755908966064453
2015-05-01,19.843250274658203
2015-05-04,19.98299217224121
2015-05-05,19.866539001464844
2015-05-06,19.64345359802246
2015-05-07,19.71390151977539
2015-05-08,19.972211837768555
2015-05-11,19.93699073791504
2015-05-12,19.831314086914062
2015-05-13,19.684541702270508
2015-05-14,19.925247192382812
