date,ADSK
2015-01-02,59.53
2015-01-05,58.66
2015-01-06,57.5
2015-01-07,57.38
2015-01-08,58.8
2015-01-09,58.27
2015-01-12,57.29
2015-01-13,57.34
2015-01-14,56.41
2015-01-15,55.71
2015-01-16,56.85
2015-01-20,57.1
2015-01-21,57.55
2015-01-22,58.27
2015-01-23,58.19
2015-01-26,58.23
2015-01-27,56.15
2015-01-28,54.59
2015-01-29,55.36
2015-01-30,54.005
2015-02-02,54.115
2015-02-03,54.92
2015-02-04,56.44
2015-02-05,56.23
2015-02-06,57.07
2015-02-09,57.34
2015-02-10,58.5
2015-02-11,58.3
2015-02-12,59.07
2015-02-13,60.67
2015-02-17,61.13
2015-02-18,61.11
2015-02-19,61.46
2015-02-20,62.37
2015-02-23,61.95
2015-02-24,62.07
2015-02-25,62.01
2015-02-26,61.01
2015-02-27,64.24
2015-03-02,64.0
2015-03-03,62.7
2015-03-04,62.52
2015-03-05,62.95
2015-03-06,61.74
2015-03-09,61.76
2015-03-10,59.64
2015-03-11,59.88
2015-03-12,60.14
2015-03-13,60.48
2015-03-16,61.5
2015-03-17,61.43
2015-03-18,61.63
2015-03-19,61.0
2015-03-20,60.98
2015-03-23,60.83
2015-03-24,61.07
2015-03-25,59.35
2015-03-26,58.72
2015-03-27,58.72
2015-03-30,59.3
2015-03-31,58.64
2015-04-01,58.74
2015-04-02,59.82
2015-04-06,59.71
2015-04-07,60.685
2015-04-08,61.825
2015-04-09,62.81
2015-04-10,62.74
2015-04-13,61.77
2015-04-14,62.01
2015-04-15,61.505
2015-04-16,61.66
2015-04-17,60.35
2015-04-20,61.04
2015-04-21,61.61
2015-04-22,62.13
2015-04-23,62.75
2015-04-24,62.64
2015-04-27,60.6
2015-04-28,60.66
2015-04-29,59.54
2015-04-30,56.83
2015-05-01,57.585
2015-05-04,57.755
2015-05-05,56.74
2015-05-06,56.19
2015-05-07,56.35
2015-05-08,57.265
2015-05-11,57.45
2015-05-12,56.8
2015-05-13,58.69
2015-05-14,58.98
2015-05-15,58.8
2015-05-18,58.4
2015-05-19,57.52
2015-05-20,57.58
2015-05-21,57.51
2015-05-22,56.39
2015-05-26,55.085
2015-05-27,55.49
2015-05-28,54.55
2015-05-29,54.15
2015-06-01,54.39
2015-06-02,54.35
2015-06-03,54.94
2015-06-04,53.73
2015-06-05,54.61
2015-06-08,54.24
2015-06-09,53.92
2015-06-10,54.97
2015-06-11,54.48
2015-06-12,54.06
2015-06-15,53.56
2015-06-16,53.435
2015-06-17,53.575
2015-06-18,54.165
2015-06-19,53.57
2015-06-22,54.55
2015-06-23,54.09
2015-06-24,53.91
2015-06-25,53.3
2015-06-26,52.2
2015-06-29,50.41
2015-06-30,50.075
2015-07-01,50.385
2015-07-02,50.83
2015-07-06,50.95
2015-07-07,53.29
2015-07-08,52.475
2015-07-09,52.46
2015-07-10,52.51
2015-07-13,52.84
2015-07-14,53.3
2015-07-15,52.58
2015-07-16,52.5
2015-07-17,52.19
2015-07-20,51.85
2015-07-21,52.12
2015-07-22,52.0
2015-07-23,52.345
2015-07-24,51.78
2015-07-27,51.05
2015-07-28,50.89
2015-07-29,50.09
2015-07-30,50.6
2015-07-31,50.58
2015-08-03,53.3
2015-08-04,54.15
2015-08-05,54.11
2015-08-06,52.94
2015-08-07,53.03
2015-08-10,54.38
2015-08-11,54.06
2015-08-12,54.82
2015-08-13,54.61
2015-08-14,54.86
2015-08-17,55.4
2015-08-18,54.59
2015-08-19,54.32
2015-08-20,53.1
2015-08-21,51.76
2015-08-24,49.39
2015-08-25,48.17
2015-08-26,49.13
2015-08-27,50.0
2015-08-28,47.52
2015-08-31,46.75
2015-09-01,45.49
2015-09-02,45.99
2015-09-03,45.94
2015-09-04,45.37
2015-09-08,46.81
2015-09-09,46.16
2015-09-10,46.23
2015-09-11,46.3
2015-09-14,46.15
2015-09-15,46.62
2015-09-16,46.9
2015-09-17,46.78
2015-09-18,46.48
2015-09-21,47.41
2015-09-22,46.93
2015-09-23,46.92
2015-09-24,47.05
2015-09-25,46.97
2015-09-28,46.14
2015-09-29,45.24
2015-09-30,44.14
2015-10-01,43.14
2015-10-02,44.0
2015-10-05,44.29
2015-10-06,44.8
2015-10-07,45.9
2015-10-08,47.31
2015-10-09,51.57
2015-10-12,51.55
2015-10-13,52.08
2015-10-14,51.37
2015-10-15,52.16
2015-10-16,52.04
2015-10-19,52.44
2015-10-20,52.0
2015-10-21,51.13
2015-10-22,52.59
2015-10-23,52.39
2015-10-26,53.61
2015-10-27,54.1
2015-10-28,55.5
2015-10-29,55.06
2015-10-30,55.19
2015-11-02,56.89
2015-11-03,57.93
2015-11-04,57.83
2015-11-05,63.49
2015-11-06,63.88
2015-11-09,63.51
2015-11-10,63.36
2015-11-11,62.12
2015-11-12,61.75
2015-11-13,60.45
2015-11-16,60.93
2015-11-17,61.25
2015-11-18,61.25
2015-11-19,62.39
2015-11-20,60.55
2015-11-23,62.71
2015-11-24,63.08
2015-11-25,62.92
2015-11-27,63.05
2015-11-30,63.47
2015-12-01,64.72
2015-12-02,64.55
2015-12-03,64.41
2015-12-04,65.29
2015-12-07,63.75
2015-12-08,63.96
2015-12-09,63.25
2015-12-10,63.24
2015-12-11,61.1
2015-12-14,60.74
2015-12-15,61.09
2015-12-16,61.93
2015-12-17,60.74
2015-12-18,59.52
2015-12-21,60.16
2015-12-22,60.985
2015-12-23,62.04
2015-12-24,61.85
2015-12-28,61.86
2015-12-29,62.22
2015-12-30,62.25
2015-12-31,60.93
