Date,TXN
2015-01-02,39.10274887084961
2015-01-05,38.49588394165039
2015-01-06,37.85975646972656
2015-01-07,38.53975296020508
2015-01-08,39.16854476928711
2015-01-09,39.19047927856445
2015-01-12,38.839515686035156
2015-01-13,38.5982551574707
2015-01-14,38.53975296020508
2015-01-15,38.305782318115234
2015-01-16,38.96382522583008
2015-01-20,39.34402847290039
2015-01-21,39.68767166137695
2015-01-22,40.192169189453125
2015-01-23,40.257991790771484
2015-01-26,40.250667572021484
2015-01-27,40.089820861816406
2015-01-28,39.685176849365234
2015-01-29,40.22225570678711
2015-01-30,39.32466506958008
2015-02-02,39.35409927368164
2015-02-03,40.053035736083984
2015-02-04,40.185462951660156
2015-02-05,40.693119049072266
2015-02-06,39.994178771972656
2015-02-09,39.92795944213867
2015-02-10,41.068336486816406
2015-02-11,41.20077133178711
2015-02-12,42.260215759277344
2015-02-13,42.650150299072266
2015-02-17,42.81938171386719
2015-02-18,42.62808609008789
2015-02-19,42.70165252685547
2015-02-20,43.0548095703125
2015-02-23,42.87087631225586
2015-02-24,43.37852478027344
2015-02-25,43.48151397705078
2015-02-26,43.71696853637695
2015-02-27,43.26081848144531
2015-03-02,44.099544525146484
2015-03-03,43.091583251953125
2015-03-04,42.90766525268555
2015-03-05,42.922367095947266
2015-03-06,42.40736770629883
2015-03-09,42.98123550415039
2015-03-10,42.010074615478516
2015-03-11,42.06156921386719
2015-03-12,42.098365783691406
2015-03-13,42.02479553222656
2015-03-16,42.9150276184082
2015-03-17,42.650150299072266
2015-03-18,42.89293670654297
2015-03-19,43.062156677246094
2015-03-20,43.61396026611328
2015-03-23,43.15782165527344
2015-03-24,42.99593734741211
2015-03-25,41.00212860107422
2015-03-26,41.053619384765625
2015-03-27,41.75992965698242
2015-03-30,42.67222595214844
2015-03-31,42.07630157470703
2015-04-01,41.598060607910156
2015-04-02,41.73048400878906
2015-04-06,41.79670333862305
2015-04-07,41.89235305786133
2015-04-08,41.91443634033203
2015-04-09,42.5103645324707
2015-04-10,42.451507568359375
2015-04-13,42.09100341796875
2015-04-14,41.7525634765625
2015-04-15,43.04010009765625
2015-04-16,42.973880767822266
2015-04-17,42.17929458618164
2015-04-20,42.797298431396484
2015-04-21,42.78994369506836
2015-04-22,43.20931625366211
2015-04-23,40.25904083251953
2015-04-24,40.26639175415039
2015-04-27,40.87705612182617
2015-04-28,40.780826568603516
2015-04-29,40.72899627685547
2015-04-30,40.1293830871582
2015-05-01,40.94367599487305
2015-05-04,40.936275482177734
2015-05-05,39.98133850097656
2015-05-06,39.75185012817383
2015-05-07,40.01835632324219
2015-05-08,40.49211502075195
2015-05-11,40.299652099609375
2015-05-12,40.099788665771484
2015-05-13,40.48470687866211
2015-05-14,41.16575622558594
2015-05-15,41.16575622558594
2015-05-18,41.29899978637695
2015-05-19,41.29158401489258
2015-05-20,41.18055725097656
2015-05-21,41.084327697753906
2015-05-22,40.98808670043945
2015-05-26,40.38848114013672
2015-05-27,41.4322509765625
2015-05-28,41.38782501220703
2015-05-29,41.395225524902344
2015-06-01,41.239784240722656
2015-06-02,40.899261474609375
2015-06-03,40.63275146484375
2015-06-04,39.95913314819336
2015-06-05,39.8184814453125
2015-06-08,39.10042953491211
2015-06-09,39.1744499206543
2015-06-10,40.11458969116211
2015-06-11,39.70744323730469
2015-06-12,39.241085052490234
2015-06-15,39.27069091796875
2015-06-16,39.300296783447266
2015-06-17,39.44834899902344
2015-06-18,40.13679504394531
2015-06-19,40.351463317871094
2015-06-22,41.084327697753906
2015-06-23,40.58834457397461
2015-06-24,39.96653747558594
2015-06-25,39.82588577270508
