Date,IRM
2015-01-02,20.73572540283203
2015-01-05,20.83685302734375
2015-01-06,21.028459548950195
2015-01-07,21.060388565063477
2015-01-08,21.44892120361328
2015-01-09,21.01248550415039
2015-01-12,20.927331924438477
2015-01-13,21.124263763427734
2015-01-14,21.289249420166016
2015-01-15,21.480857849121094
2015-01-16,21.464889526367188
2015-01-20,21.688425064086914
2015-01-21,21.23602867126465
2015-01-22,21.47020721435547
2015-01-23,21.688425064086914
2015-01-26,21.746967315673828
2015-01-27,21.480857849121094
2015-01-28,21.379735946655273
2015-01-29,21.64584732055664
2015-01-30,21.204090118408203
2015-02-02,21.113611221313477
2015-02-03,21.39569091796875
2015-02-04,21.58197784423828
2015-02-05,21.86937713623047
2015-02-06,21.77358055114746
2015-02-09,21.039098739624023
2015-02-10,21.15618896484375
2015-02-11,21.214736938476562
2015-02-12,21.53939437866211
2015-02-13,20.953941345214844
2015-02-17,20.799598693847656
2015-02-18,21.039098739624023
2015-02-19,20.66653823852539
2015-02-20,19.538211822509766
2015-02-23,19.31467056274414
2015-02-24,19.469017028808594
2015-02-25,19.41579246520996
2015-02-26,19.61272430419922
2015-02-27,19.55950355529785
2015-03-02,19.95334815979004
2015-03-03,19.900123596191406
2015-03-04,19.67101287841797
2015-03-05,19.72492790222168
2015-03-06,19.55780792236328
2015-03-09,19.70874786376953
2015-03-10,19.54163932800293
2015-03-11,19.39069938659668
2015-03-12,19.784221649169922
2015-03-13,19.875871658325195
2015-03-16,20.26939582824707
2015-03-17,20.344865798950195
2015-03-18,20.792306900024414
2015-03-19,20.630577087402344
2015-03-20,20.83542823791504
2015-03-23,20.66292953491211
2015-03-24,20.387996673583984
2015-03-25,19.638673782348633
2015-03-26,19.606325149536133
2015-03-27,19.751880645751953
2015-03-30,19.811185836791992
2015-03-31,19.665626525878906
2015-04-01,19.563199996948242
2015-04-02,20.026809692382812
2015-04-06,20.350255966186523
2015-04-07,19.832744598388672
2015-04-08,20.253225326538086
2015-04-09,20.14540672302246
2015-04-10,20.037588119506836
2015-04-13,19.908212661743164
2015-04-14,19.881263732910156
2015-04-15,19.627891540527344
2015-04-16,19.881263732910156
2015-04-17,19.881263732910156
2015-04-20,19.832744598388672
2015-04-21,19.67101287841797
2015-04-22,19.617109298706055
2015-04-23,19.676406860351562
2015-04-24,19.687185287475586
2015-04-27,19.536245346069336
2015-04-28,20.096891403198242
2015-04-29,19.083417892456055
2015-04-30,18.59285545349121
2015-05-01,18.652151107788086
2015-05-04,18.786922454833984
2015-05-05,18.441913604736328
2015-05-06,18.463478088378906
2015-05-07,18.83005142211914
2015-05-08,19.1049861907959
2015-05-11,19.228973388671875
2015-05-12,19.34217643737793
2015-05-13,19.48233985900879
2015-05-14,19.719539642333984
2015-05-15,19.94055938720703
2015-05-18,20.06454849243164
2015-05-19,20.26939582824707
2015-05-20,20.0699405670166
2015-05-21,19.800399780273438
2015-05-22,19.751880645751953
2015-05-26,19.676406860351562
2015-05-27,19.897436141967773
2015-05-28,19.811185836791992
2015-05-29,19.660240173339844
2015-06-01,19.854312896728516
2015-06-02,18.69528579711914
2015-06-03,18.479656219482422
2015-06-04,17.73033332824707
2015-06-05,17.600954055786133
2015-06-08,17.412275314331055
2015-06-09,17.223596572875977
2015-06-10,17.428808212280273
2015-06-11,17.43427848815918
2015-06-12,17.521825790405273
2015-06-15,17.445220947265625
2015-06-16,17.346721649169922
2015-06-17,17.527299880981445
2015-06-18,17.899404525756836
2015-06-19,17.784488677978516
2015-06-22,17.937707901000977
2015-06-23,17.822799682617188
2015-06-24,17.319368362426758
2015-06-25,17.209917068481445
2015-06-26,17.43427848815918
2015-06-29,17.012914657592773
2015-06-30,16.96367073059082
2015-07-01,17.226327896118164
2015-07-02,17.264633178710938
2015-07-06,17.089529037475586
2015-07-07,16.9417781829834
2015-07-08,16.711956024169922
2015-07-09,16.783090591430664
2015-07-10,16.91988754272461
2015-07-13,17.045743942260742
2015-07-14,17.242748260498047
2015-07-15,17.18802833557129
2015-07-16,17.385025024414062
2015-07-17,17.36313247680664
2015-07-20,17.182554244995117
2015-07-21,17.16066551208496
2015-07-22,17.281049728393555
2015-07-23,17.07311248779297
2015-07-24,17.029329299926758
2015-07-27,16.83233642578125
2015-07-28,16.90894889831543
2015-07-29,16.777620315551758
2015-07-30,16.367206573486328
2015-07-31,16.443815231323242
2015-08-03,16.54231834411621
2015-08-04,16.40003776550293
2015-08-05,16.312484741210938
2015-08-06,16.016986846923828
2015-08-07,16.016986846923828
2015-08-10,15.907548904418945
2015-08-11,15.819990158081055
2015-08-12,16.279645919799805
2015-08-13,16.15379524230957
2015-08-14,16.52042579650879
2015-08-17,16.575145721435547
2015-08-18,16.536842346191406
2015-08-19,16.498533248901367
2015-08-20,16.54778480529785
2015-08-21,16.000568389892578
2015-08-24,15.114082336425781
2015-08-25,14.512142181396484
2015-08-26,14.999168395996094
2015-08-27,15.436936378479004
2015-08-28,15.617522239685059
2015-08-31,15.508072853088379
2015-09-01,15.11955451965332
2015-09-02,15.387688636779785
2015-09-03,15.562800407409668
2015-09-04,15.436936378479004
2015-09-08,15.57374382019043
2015-09-09,15.587655067443848
2015-09-10,15.604351997375488
2015-09-11,15.793557167053223
2015-09-14,15.88260269165039
2015-09-15,16.077375411987305
2015-09-16,16.24432945251465
2015-09-17,16.405715942382812
2015-09-18,16.695096969604492
2015-09-21,16.622751235961914
2015-09-22,16.41127586364746
2015-09-23,16.589359283447266
2015-09-24,16.86760902404785
2015-09-25,17.00117301940918
2015-09-28,16.78970718383789
2015-09-29,16.895437240600586
2015-09-30,17.26272964477539
2015-10-01,17.340635299682617
2015-10-02,17.340635299682617
2015-10-05,17.64671516418457
2015-10-06,17.668977737426758
2015-10-07,17.713497161865234
2015-10-08,17.975051879882812
2015-10-09,17.407421112060547
2015-10-12,17.685670852661133
2015-10-13,17.63001823425293
2015-10-14,17.46863555908203
2015-10-15,17.390729904174805
2015-10-16,17.58550262451172
2015-10-19,17.63001823425293
2015-10-20,17.479764938354492
2015-10-21,17.440811157226562
2015-10-22,17.407421112060547
2015-10-23,17.284990310668945
2015-10-26,17.340635299682617
2015-10-27,16.834226608276367
2015-10-28,17.040128707885742
2015-10-29,16.86204719543457
2015-10-30,17.05125617980957
2015-11-02,17.702367782592773
2015-11-03,17.852622985839844
2015-11-04,17.479764938354492
2015-11-05,17.4964656829834
2015-11-06,16.856481552124023
2015-11-09,16.672836303710938
2015-11-10,16.466934204101562
2015-11-11,16.416841506958008
2015-11-12,16.20537567138672
2015-11-13,15.921558380126953
2015-11-16,16.027294158935547
2015-11-17,15.83251667022705
2015-11-18,16.077375411987305
2015-11-19,16.06068229675293
2015-11-20,16.099634170532227
2015-11-23,16.105205535888672
2015-11-24,15.971641540527344
2015-11-25,15.81025505065918
2015-11-27,15.886690139770508
2015-11-30,15.728163719177246
2015-12-01,15.875364303588867
2015-12-02,15.56397533416748
2015-12-03,15.496033668518066
2015-12-04,15.626251220703125
2015-12-07,15.456399917602539
2015-12-08,15.275225639343262
2015-12-09,15.326181411743164
2015-12-10,15.195962905883789
2015-12-11,15.145005226135254
2015-12-14,14.793983459472656
2015-12-15,15.128022193908691
2015-12-16,15.569634437561035
2015-12-17,15.377138137817383
2015-12-18,15.156333923339844
2015-12-21,15.263903617858887
2015-12-22,15.343161582946777
2015-12-23,15.592281341552734
2015-12-24,15.479049682617188
2015-12-28,15.518685340881348
2015-12-29,15.999917030334473
2015-12-30,15.614920616149902
2015-12-31,15.292211532592773
