Date,ZBH
2015-01-02,99.6726303100586
2015-01-05,103.39075469970703
2015-01-06,102.51434326171875
2015-01-07,105.06392669677734
2015-01-08,106.17938995361328
2015-01-09,104.6478500366211
2015-01-12,104.89574432373047
2015-01-13,105.12588500976562
2015-01-14,103.73600769042969
2015-01-15,101.78839874267578
2015-01-16,103.57666778564453
2015-01-20,102.59400177001953
2015-01-21,102.58516693115234
2015-01-22,104.77177429199219
2015-01-23,103.55896759033203
2015-01-26,103.6386489868164
2015-01-27,102.89496612548828
2015-01-28,101.36346435546875
2015-01-29,99.61066436767578
2015-01-30,99.23886108398438
2015-02-02,100.90312194824219
2015-02-03,103.27568054199219
2015-02-04,102.2664566040039
2015-02-05,103.66519165039062
2015-02-06,102.82418823242188
2015-02-09,101.60249328613281
2015-02-10,103.6386489868164
2015-02-11,103.4881362915039
2015-02-12,104.59473419189453
2015-02-13,105.63936614990234
2015-02-17,106.57772827148438
2015-02-18,106.49806213378906
2015-02-19,106.4095458984375
2015-02-20,107.64006805419922
2015-02-23,107.39216613769531
2015-02-24,107.79055786132812
2015-02-25,106.69281768798828
2015-02-26,107.40989685058594
2015-02-27,106.57772827148438
2015-03-02,107.4630126953125
2015-03-03,105.58623504638672
2015-03-04,105.32904052734375
2015-03-05,105.70152282714844
2015-03-06,103.19158935546875
2015-03-09,103.72372436523438
2015-03-10,102.4465560913086
2015-03-11,103.08514404296875
2015-03-12,103.94544982910156
2015-03-13,103.10289001464844
2015-03-16,104.6727066040039
2015-03-17,102.24259948730469
2015-03-18,105.7281265258789
2015-03-19,105.15162658691406
2015-03-20,105.32904052734375
2015-03-23,105.07183074951172
2015-03-24,104.04300689697266
2015-03-25,102.26924133300781
2015-03-26,102.57071685791016
2015-03-27,104.21148681640625
2015-03-30,105.1605224609375
2015-03-31,104.229248046875
2015-04-01,103.0496826171875
2015-04-02,103.69712829589844
2015-04-06,104.08736419677734
2015-04-07,102.89002990722656
2015-04-08,102.9875717163086
2015-04-09,103.94544982910156
2015-04-10,104.16719055175781
2015-04-13,103.06739807128906
2015-04-14,102.84566497802734
2015-04-15,102.54414367675781
2015-04-16,102.31354522705078
2015-04-17,101.64836120605469
2015-04-20,102.81023406982422
2015-04-21,104.0962142944336
2015-04-22,104.2026596069336
2015-04-23,105.1605224609375
2015-04-24,105.32904052734375
2015-04-27,103.42219543457031
2015-04-28,103.52859497070312
2015-04-29,102.29582214355469
2015-04-30,97.41783142089844
2015-05-01,97.94108581542969
2015-05-04,98.1628189086914
2015-05-05,98.01205444335938
2015-05-06,97.6484375
2015-05-07,98.48211669921875
2015-05-08,100.17609405517578
2015-05-11,100.38008117675781
2015-05-12,99.54638671875
2015-05-13,99.38644409179688
2015-05-14,100.92379760742188
2015-05-15,100.57723999023438
2015-05-18,101.55473327636719
2015-05-19,101.60806274414062
2015-05-20,101.60806274414062
2015-05-21,101.71469116210938
2015-05-22,101.10153198242188
2015-05-26,100.49725341796875
2015-05-27,101.54583740234375
2015-05-28,100.76387023925781
2015-05-29,101.38589477539062
2015-06-01,101.99015045166016
2015-06-02,101.44810485839844
2015-06-03,101.21707916259766
2015-06-04,100.4794692993164
2015-06-05,100.63944244384766
2015-06-08,100.54165649414062
2015-06-09,100.09738159179688
2015-06-10,101.00377655029297
2015-06-11,101.4036636352539
2015-06-12,99.70634460449219
2015-06-15,99.2353515625
2015-06-16,100.01734924316406
2015-06-17,99.97296905517578
2015-06-18,100.68384552001953
2015-06-19,100.1151123046875
2015-06-22,100.77274322509766
2015-06-23,100.13290405273438
2015-06-24,100.8793716430664
2015-06-25,100.65721130371094
2015-06-26,100.9148941040039
2015-06-29,97.12039184570312
2015-06-30,97.0670394897461
2015-07-01,97.04930114746094
2015-07-02,96.14286804199219
2015-07-06,96.67606353759766
2015-07-07,97.54693603515625
2015-07-08,95.92069244384766
2015-07-09,94.94317626953125
2015-07-10,94.91657257080078
2015-07-13,95.6452407836914
2015-07-14,95.44082641601562
2015-07-15,95.20091247558594
2015-07-16,95.7696304321289
2015-07-17,95.52970886230469
2015-07-20,96.00066375732422
2015-07-21,96.20508575439453
2015-07-22,96.45391845703125
2015-07-23,95.84072875976562
2015-07-24,94.78324890136719
2015-07-27,94.00121307373047
2015-07-28,94.64105224609375
2015-07-29,95.08537292480469
2015-07-30,93.17477416992188
2015-07-31,92.48163604736328
2015-08-03,92.71269989013672
2015-08-04,91.64632415771484
2015-08-05,92.31278991699219
2015-08-06,90.36666107177734
2015-08-07,90.40220642089844
2015-08-10,91.91290283203125
2015-08-11,92.57051086425781
2015-08-12,92.13506317138672
2015-08-13,92.73934173583984
2015-08-14,93.77904510498047
2015-08-17,94.54332733154297
2015-08-18,94.1700668334961
2015-08-19,94.3211441040039
2015-08-20,93.20146179199219
2015-08-21,92.73934173583984
2015-08-24,88.48273468017578
2015-08-25,87.11419677734375
2015-08-26,89.77125549316406
2015-08-27,91.8951416015625
2015-08-28,92.74822998046875
2015-08-31,92.02843475341797
2015-09-01,89.44243621826172
2015-09-02,90.31333923339844
2015-09-03,90.72210693359375
2015-09-04,89.27362823486328
2015-09-08,91.25531768798828
2015-09-09,89.95787811279297
2015-09-10,88.95372772216797
2015-09-11,89.04255676269531
2015-09-14,88.01173400878906
2015-09-15,88.83818054199219
2015-09-16,89.52242279052734
2015-09-17,89.6557388305664
2015-09-18,88.1539077758789
2015-09-21,87.25638580322266
2015-09-22,86.71431732177734
2015-09-23,86.50991821289062
2015-09-24,84.97257232666016
2015-09-25,83.92393493652344
2015-09-28,82.31175231933594
2015-09-29,83.54094696044922
2015-09-30,83.6656265258789
2015-10-01,83.6923599243164
2015-10-02,84.85924530029297
2015-10-05,85.06407165527344
2015-10-06,83.71910095214844
2015-10-07,84.52074432373047
2015-10-08,85.01063537597656
2015-10-09,85.9102783203125
2015-10-12,85.96371459960938
2015-10-13,85.5895767211914
2015-10-14,84.78795623779297
2015-10-15,87.21965026855469
2015-10-16,87.77189636230469
2015-10-19,87.46013641357422
2015-10-20,87.03258514404297
2015-10-21,86.31110382080078
2015-10-22,84.07537841796875
2015-10-23,84.2267837524414
2015-10-26,84.32479858398438
2015-10-27,84.78795623779297
2015-10-28,87.17509460449219
2015-10-29,93.41016387939453
2015-10-30,93.14293670654297
2015-11-02,95.26285552978516
2015-11-03,94.77294921875
2015-11-04,96.01104736328125
2015-11-05,96.06451416015625
2015-11-06,95.55683898925781
2015-11-09,95.23614501953125
2015-11-10,95.53897857666016
2015-11-11,94.97782897949219
2015-11-12,93.21422576904297
2015-11-13,92.89354705810547
2015-11-16,94.05147552490234
2015-11-17,93.30326080322266
2015-11-18,93.49925231933594
2015-11-19,92.69756317138672
2015-11-20,92.40364837646484
2015-11-23,91.61089324951172
2015-11-24,90.78253936767578
2015-11-25,90.22135925292969
2015-11-27,89.96306610107422
2015-11-30,89.97196197509766
2015-12-01,91.49506378173828
2015-12-02,91.08538055419922
2015-12-03,88.50227355957031
2015-12-04,89.562255859375
2015-12-07,89.43753051757812
2015-12-08,88.87635803222656
2015-12-09,89.07235717773438
2015-12-10,89.0456314086914
2015-12-11,88.1459732055664
2015-12-14,88.6180648803711
2015-12-15,90.01651000976562
2015-12-16,90.79143524169922
2015-12-17,89.70474243164062
2015-12-18,88.1459732055664
2015-12-21,89.2772216796875
2015-12-22,90.61329650878906
2015-12-23,91.53964233398438
2015-12-24,91.66437530517578
2015-12-28,91.07646179199219
2015-12-29,91.73703002929688
2015-12-30,91.46922302246094
2015-12-31,91.57636260986328
