Date,DOV
2015-01-02,47.70509338378906
2015-01-05,46.041568756103516
2015-01-06,45.82285690307617
2015-01-07,46.20063018798828
2015-01-08,47.14174270629883
2015-01-09,46.15422439575195
2015-01-12,45.55775451660156
2015-01-13,45.82948303222656
2015-01-14,45.584266662597656
2015-01-15,45.458335876464844
2015-01-16,46.10783004760742
2015-01-20,46.4789924621582
2015-01-21,47.5195198059082
2015-01-22,47.744850158691406
2015-01-23,46.23377227783203
2015-01-26,47.0290641784668
2015-01-27,46.82361602783203
2015-01-28,45.46497344970703
2015-01-29,46.4856071472168
2015-01-30,46.419342041015625
2015-02-02,47.97018051147461
2015-02-03,48.93116760253906
2015-02-04,47.890647888183594
2015-02-05,48.202152252197266
2015-02-06,47.79123306274414
2015-02-09,48.4009895324707
2015-02-10,48.009944915771484
2015-02-11,47.7713623046875
2015-02-12,48.56665802001953
2015-02-13,49.31557083129883
2015-02-17,49.23604965209961
2015-02-18,48.94443130493164
2015-02-19,49.242679595947266
2015-02-20,49.37523651123047
2015-02-23,48.85825729370117
2015-02-24,49.083614349365234
2015-02-25,48.93033981323242
2015-02-26,48.32395935058594
2015-02-27,48.01079559326172
2015-03-02,48.250667572021484
2015-03-03,48.064083099365234
2015-03-04,47.73090362548828
2015-03-05,48.28398895263672
2015-03-06,47.117862701416016
2015-03-09,47.78423309326172
2015-03-10,46.758033752441406
2015-03-11,46.9646110534668
2015-03-12,47.930816650390625
2015-03-13,47.47770309448242
2015-03-16,47.557640075683594
2015-03-17,46.218299865722656
2015-03-18,48.04409408569336
2015-03-19,47.40440368652344
2015-03-20,47.51102828979492
2015-03-23,46.26494216918945
2015-03-24,46.5447883605957
2015-03-25,46.278263092041016
2015-03-26,46.31158447265625
2015-03-27,46.47816848754883
2015-03-30,46.97792053222656
2015-03-31,46.05835723876953
2015-04-01,46.25827407836914
2015-04-02,46.4315299987793
2015-04-06,47.570987701416016
2015-04-07,47.557640075683594
2015-04-08,47.61762619018555
2015-04-09,47.72425079345703
2015-04-10,46.24494552612305
2015-04-13,46.57144546508789
2015-04-14,47.25113296508789
2015-04-15,49.30351638793945
2015-04-16,48.8370475769043
2015-04-17,48.064083099365234
2015-04-20,48.63715744018555
2015-04-21,47.930816650390625
2015-04-22,47.904178619384766
2015-04-23,49.56338119506836
2015-04-24,49.203556060791016
2015-04-27,50.26972198486328
2015-04-28,50.45630645751953
2015-04-29,51.01604080200195
2015-04-30,50.45630645751953
2015-05-01,50.183101654052734
2015-05-04,50.323020935058594
2015-05-05,50.10978698730469
2015-05-06,50.2164192199707
2015-05-07,49.543392181396484
2015-05-08,50.056495666503906
2015-05-11,49.963199615478516
2015-05-12,50.249732971191406
2015-05-13,50.88275909423828
2015-05-14,50.98271179199219
2015-05-15,50.60955047607422
2015-05-18,50.56291580200195
2015-05-19,50.45630645751953
2015-05-20,50.84943771362305
2015-05-21,51.68239974975586
2015-05-22,51.822322845458984
2015-05-26,51.42916488647461
2015-05-27,51.40238952636719
2015-05-28,51.288509368896484
2015-05-29,50.50480651855469
2015-06-01,50.35075759887695
2015-06-02,50.779449462890625
2015-06-03,50.77275085449219
2015-06-04,49.35271453857422
2015-06-05,49.419700622558594
2015-06-08,48.736480712890625
2015-06-09,48.50204086303711
2015-06-10,49.13836669921875
2015-06-11,49.151771545410156
2015-06-12,48.98430633544922
2015-06-15,48.15374755859375
2015-06-16,48.16712951660156
2015-06-17,48.68288040161133
2015-06-18,49.185245513916016
2015-06-19,48.589111328125
2015-06-22,48.602500915527344
2015-06-23,48.602500915527344
2015-06-24,48.29438781738281
2015-06-25,47.53748321533203
2015-06-26,47.67146301269531
2015-06-29,46.94804763793945
2015-06-30,47.008331298828125
2015-07-01,46.90785217285156
2015-07-02,46.881065368652344
2015-07-06,46.519351959228516
2015-07-07,46.73369598388672
2015-07-08,45.6016845703125
2015-07-09,45.039039611816406
2015-07-10,43.72618865966797
2015-07-13,44.20846176147461
2015-07-14,44.55006408691406
2015-07-15,44.08120346069336
2015-07-16,44.42279815673828
2015-07-17,44.45629119873047
2015-07-20,44.40940475463867
2015-07-21,43.297489166259766
2015-07-22,43.23722457885742
2015-07-23,43.21711730957031
2015-07-24,42.9358024597168
2015-07-27,42.835304260253906
2015-07-28,43.036277770996094
2015-07-29,43.79317092895508
