Date,TGT
2015-01-02,53.87165451049805
2015-01-05,52.906211853027344
2015-01-06,52.89906692504883
2015-01-07,54.90146255493164
2015-01-08,55.1589241027832
2015-01-09,54.6583137512207
2015-01-12,54.80132293701172
2015-01-13,54.31503677368164
2015-01-14,53.15651321411133
2015-01-15,54.11481857299805
2015-01-16,53.59274673461914
2015-01-20,52.68452835083008
2015-01-21,52.88475799560547
2015-01-22,54.18630599975586
2015-01-23,53.843074798583984
2015-01-26,53.814449310302734
2015-01-27,53.46404266357422
2015-01-28,53.1064567565918
2015-01-29,53.98607635498047
2015-01-30,52.6416130065918
2015-02-02,53.09931945800781
2015-02-03,54.257843017578125
2015-02-04,54.071903228759766
2015-02-05,54.31503677368164
2015-02-06,54.6082649230957
2015-02-09,53.91455841064453
2015-02-10,54.815650939941406
2015-02-11,54.65117645263672
2015-02-12,54.97297668457031
2015-02-13,54.80738067626953
2015-02-17,55.18178176879883
2015-02-18,55.692989349365234
2015-02-19,55.21058654785156
2015-02-20,55.347373962402344
2015-02-23,55.21778869628906
2015-02-24,55.40497970581055
2015-02-25,55.54899597167969
2015-02-26,55.368980407714844
2015-02-27,55.31857681274414
2015-03-02,55.930599212646484
2015-03-03,56.16102600097656
2015-03-04,55.95940017700195
2015-03-05,56.304996490478516
2015-03-06,55.59218978881836
2015-03-09,56.5714225769043
2015-03-10,55.92340850830078
2015-03-11,56.002601623535156
2015-03-12,57.097007751464844
2015-03-13,57.010623931884766
2015-03-16,57.95382308959961
2015-03-17,58.34263229370117
2015-03-18,58.364234924316406
2015-03-19,58.03303146362305
2015-03-20,58.544227600097656
2015-03-23,58.48664093017578
2015-03-24,59.04104995727539
2015-03-25,58.767452239990234
2015-03-26,57.91783142089844
2015-03-27,58.7242317199707
2015-03-30,59.141849517822266
2015-03-31,59.091461181640625
2015-04-01,59.105838775634766
2015-04-02,59.52346420288086
2015-04-06,60.00584411621094
2015-04-07,59.48025131225586
2015-04-08,59.86187744140625
2015-04-09,59.96986389160156
2015-04-10,60.17145538330078
2015-04-13,59.73225784301758
2015-04-14,59.80426025390625
2015-04-15,59.01226043701172
2015-04-16,58.98344802856445
2015-04-17,57.615421295166016
2015-04-20,58.27063751220703
2015-04-21,58.50103759765625
2015-04-22,58.56584548950195
2015-04-23,58.990638732910156
2015-04-24,59.545074462890625
2015-04-27,58.59463119506836
2015-04-28,58.688255310058594
2015-04-29,56.78740692138672
2015-04-30,56.75862121582031
2015-05-01,57.349029541015625
2015-05-04,57.73063659667969
2015-05-05,56.85941696166992
2015-05-06,56.96741485595703
2015-05-07,57.68023681640625
2015-05-08,58.13385009765625
2015-05-11,58.04023361206055
2015-05-12,58.184226989746094
2015-05-13,57.46421432495117
2015-05-14,55.62819290161133
2015-05-15,56.542598724365234
2015-05-18,56.79629898071289
2015-05-19,56.47737503051758
2015-05-20,56.665828704833984
2015-05-21,57.542850494384766
2015-05-22,57.47037124633789
2015-05-26,57.31814193725586
