date,AMP
2015-01-02,104.0313519746
2015-01-05,100.6920156707
2015-01-06,97.9827428205
2015-01-07,99.7232931109
2015-01-08,101.495346574
2015-01-09,100.5581271869
2015-01-12,99.5342740748
2015-01-13,100.2588470464
2015-01-14,98.423787238
2015-01-15,96.7619948792
2015-01-16,98.1796376497
2015-01-20,98.5734273082
2015-01-21,99.5027709022
2015-01-22,102.5664544451
2015-01-23,101.9757699574
2015-01-26,102.9996230694
2015-01-27,101.6056076784
2015-01-28,99.542149868
2015-01-29,101.0149231907
2015-01-30,98.4001598585
2015-02-02,101.4087128492
2015-02-03,104.3700110809
2015-02-04,103.865960318
2015-02-05,104.795303912
2015-02-06,106.6225771007
2015-02-09,106.5434743652
2015-02-10,107.7141948498
2015-02-11,107.7695667646
2015-02-12,108.8216331459
2015-02-13,109.011479711
2015-02-17,108.7899920518
2015-02-18,107.4689763699
2015-02-19,107.4610660964
2015-02-20,107.7379256704
2015-02-23,106.5988462801
2015-02-24,107.1683859752
2015-02-25,107.0418215985
2015-02-26,107.0576421456
2015-02-27,105.7049853696
2015-03-02,106.7095901097
2015-03-03,106.3694483473
2015-03-04,105.697075096
2015-03-05,106.321986706
2015-03-06,105.1908175892
2015-03-09,106.1084093203
2015-03-10,103.0234026381
2015-03-11,103.3319033063
2015-03-12,106.3457175266
2015-03-13,105.4914079839
2015-03-16,107.3661428138
2015-03-17,106.6937695626
2015-03-18,107.0813729662
2015-03-19,105.4755874368
2015-03-20,107.7141948498
2015-03-23,106.7807825716
2015-03-24,105.2778305982
2015-03-25,103.2369800238
2015-03-26,103.0313129117
2015-03-27,102.0820800864
2015-03-30,103.6404039746
2015-03-31,103.4980190508
2015-04-01,103.1974286561
2015-04-02,102.9838512704
2015-04-06,102.3826704811
2015-04-07,101.378065741
2015-04-08,101.8210410594
2015-04-09,99.0999069603
2015-04-10,98.5066364445
2015-04-13,100.1677938887
2015-04-14,101.4650787499
2015-04-15,101.9792465303
2015-04-16,103.442647136
2015-04-17,102.192823916
2015-04-20,103.268621118
2015-04-21,103.0945951
2015-04-22,104.1150203872
2015-04-23,100.5949486601
2015-04-24,101.0537445257
2015-04-27,100.21525553
2015-04-28,100.5712178395
2015-04-29,100.8480774135
2015-04-30,99.6298952877
2015-05-01,99.7332787998
2015-05-04,100.194528315
2015-05-05,99.1050251497
2015-05-06,98.2063838528
2015-05-07,99.0573096826
2015-05-08,100.4808211175
2015-05-11,99.7412313776
2015-05-12,99.192503506
2015-05-13,100.6001097853
2015-05-14,102.031573798
2015-05-15,101.7929964625
2015-05-18,102.5643965139
2015-05-19,102.5643965139
2015-05-20,102.1588150436
2015-05-21,102.0236212202
2015-05-22,102.0077160645
2015-05-26,100.8466396986
2015-05-27,100.9023077435
2015-05-28,101.0056912555
2015-05-29,99.0811674162
2015-06-01,99.0811674162
2015-06-02,100.2661015156
2015-06-03,101.2840314802
2015-06-04,99.669658177
2015-06-05,100.6875881416
2015-06-08,100.3058644049
2015-06-09,100.4649159618
2015-06-10,103.2721759424
2015-06-11,103.0892666519
2015-06-12,102.0554315316
2015-06-15,101.7055181062
2015-06-16,102.1667676214
2015-06-17,102.0713366872
2015-06-18,102.9699779841
2015-06-19,101.665755217
2015-06-22,102.8665944721
2015-06-23,103.1926501639
2015-06-24,102.0951944208
2015-06-25,101.6816603727
2015-06-26,102.1270047322
2015-06-29,98.4449611883
2015-06-30,99.351555063
2015-07-01,100.3217695605
2015-07-02,99.5901323985
2015-07-06,98.3574828319
2015-07-07,98.4767714997
2015-07-08,96.9975920198
2015-07-09,97.8882807389
2015-07-10,98.3574828319
2015-07-13,99.7650891111
2015-07-14,99.9400458238
2015-07-15,100.1468128479
2015-07-16,101.7055181062
2015-07-17,101.4987510821
2015-07-20,102.0236212202
2015-07-21,101.50670366
2015-07-22,100.8466396986
2015-07-23,100.3694850276
2015-07-24,98.6437756345
2015-07-27,97.7848972268
2015-07-28,99.613990132
2015-07-29,100.7750664979
2015-07-30,101.1965531239
2015-07-31,100.4690380082
2015-08-03,100.4050806354
2015-08-04,100.0453204134
2015-08-05,100.0693044282
2015-08-06,98.8940877028
2015-08-07,98.3744340488
2015-08-10,100.0453204134
2015-08-11,98.670236898
2015-08-12,97.4150734567
2015-08-13,97.2311960099
2015-08-14,98.3024820044
2015-08-17,99.2458532533
2015-08-18,97.9107430959
2015-08-19,96.7115423558
2015-08-20,95.0406559912
2015-08-21,91.8108086645
2015-08-24,87.2458511804
2015-08-25,85.7668369342
2015-08-26,89.5802952878
2015-08-27,91.9067447237
2015-08-28,91.2511816524
2015-08-31,90.0759649271
2015-09-01,87.2218671656
2015-09-02,87.5896220592
2015-09-03,87.6375900888
2015-09-04,86.7581762127
2015-09-08,88.7968174709
2015-09-09,87.0539790619
2015-09-10,87.5896220592
2015-09-11,87.7175368048
2015-09-14,87.0779630768
2015-09-15,87.813472864
2015-09-16,88.4450519205
2015-09-17,87.5576433728
2015-09-18,85.870767665
2015-09-21,86.9740323459
2015-09-22,85.9427197094
2015-09-23,85.4790287566
2015-09-24,85.4550447418
2015-09-25,86.3904213191
2015-09-28,82.9766965455
2015-09-29,85.1032791913
2015-09-30,87.2458511804
2015-10-01,87.6295954172
2015-10-02,86.8141389139
2015-10-05,89.4443858706
2015-10-06,88.7568441129
2015-10-07,89.4283965274
2015-10-08,89.5802952878
2015-10-09,88.8208014857
2015-10-12,87.8054781924
2015-10-13,86.3344586179
2015-10-14,85.9986824106
2015-10-15,88.4370572489
2015-10-16,89.196551051
2015-10-19,88.9407215598
2015-10-20,89.7801620778
2015-10-21,89.1885563794
2015-10-22,91.2112082944
2015-10-23,92.802147943
2015-10-26,92.3384569901
2015-10-27,90.3397890899
2015-10-28,92.722201227
2015-10-29,92.802147943
2015-10-30,92.7619425241
2015-11-02,94.249543024
2015-11-03,94.7239669672
2015-11-04,93.1881199646
2015-11-05,94.1208856834
2015-11-06,95.9140473671
2015-11-09,94.3942825321
2015-11-10,93.7188314943
2015-11-11,93.3167773051
2015-11-12,91.467328035
2015-11-13,90.4541514783
2015-11-16,91.242177689
2015-11-17,90.8401234999
2015-11-18,92.8503944457
2015-11-19,92.4483402565
2015-11-20,92.0623682349
2015-11-23,91.3627939458
2015-11-24,90.5426033999
2015-11-25,90.8803289188
2015-11-27,91.2743420242
2015-11-30,90.8240413323
2015-12-01,92.1588612403
2015-12-02,90.8642467512
2015-12-03,89.497262508
2015-12-04,92.4242170052
2015-12-07,91.1135203485
2015-12-08,89.7143717702
2015-12-09,87.5111148136
2015-12-10,87.4789504784
2015-12-11,84.5519959813
2015-12-14,84.3992153894
2015-12-15,85.1389950975
2015-12-16,86.4898971731
2015-12-17,84.5117905624
2015-12-18,82.8874916382
2015-12-21,84.7771463273
2015-12-22,86.1762949055
2015-12-23,87.3904985568
2015-12-24,86.7954583569
2015-12-28,86.6828831839
2015-12-29,87.310087719
2015-12-30,86.2727879109
2015-12-31,85.5732136218
