date,ADP
2015-01-02,64.9705210926
2015-01-05,64.9237179798
2015-01-06,64.3815819231
2015-01-07,64.9471195362
2015-01-08,66.4370186272
2015-01-09,65.9611869803
2015-01-12,65.6374654501
2015-01-13,65.5087568898
2015-01-14,65.3176441792
2015-01-15,65.2903423634
2015-01-16,65.9689874991
2015-01-20,66.2810082511
2015-01-21,65.9611869803
2015-01-22,67.5602933345
2015-01-23,67.7475057857
2015-01-26,67.5290912593
2015-01-27,66.795842492
2015-01-28,65.9377854239
2015-01-29,65.7973760855
2015-01-30,64.3776816637
2015-02-02,65.0875288746
2015-02-03,66.4136170708
2015-02-04,67.5368917781
2015-02-05,67.9971223873
2015-02-06,67.4276845149
2015-02-09,67.0922622064
2015-02-10,67.4900886653
2015-02-11,67.7241042293
2015-02-12,68.4456522184
2015-02-13,69.2296043579
2015-02-17,67.9503192745
2015-02-18,68.324744177
2015-02-19,68.4339514402
2015-02-20,69.1789009857
2015-02-23,69.5572261475
2015-02-24,69.6274308167
2015-02-25,69.4792209595
2015-02-26,69.2998090271
2015-02-27,69.2998090271
2015-03-02,70.3450785464
2015-03-03,69.1906017639
2015-03-04,67.5329915187
2015-03-05,67.6695005977
2015-03-06,67.0805614282
2015-03-09,67.7397052669
2015-03-10,66.4214175896
2015-03-11,66.6749344506
2015-03-12,67.7772264186
2015-03-13,67.3771062025
2015-03-16,68.5303938843
2015-03-17,67.9733637795
2015-03-18,68.5303938843
2015-03-19,68.5460848732
2015-03-20,68.8599046506
2015-03-23,68.4950891594
2015-03-24,68.2283423486
2015-03-25,66.4827198369
2015-03-26,66.2238185206
2015-03-27,66.3964193982
2015-03-30,67.3849516969
2015-03-31,67.188814336
2015-04-01,66.8906855475
2015-04-02,67.4084881802
2015-04-06,67.6673894965
2015-04-07,67.3574924664
2015-04-08,67.9184453184
2015-04-09,67.9419818017
2015-04-10,67.7379989464
2015-04-13,67.4084881802
2015-04-14,67.1731233472
2015-04-15,67.2829602692
2015-04-16,66.9848314807
2015-04-17,65.5334150104
2015-04-20,66.5297928035
2015-04-21,66.7651576366
2015-04-22,66.9299130197
2015-04-23,67.2868830165
2015-04-24,66.682779945
2015-04-27,66.4513378592
2015-04-28,67.1652778527
2015-04-29,66.9926769752
2015-04-30,66.3258099483
2015-05-01,67.494788619
2015-05-04,67.8635268574
2015-05-05,67.1652778527
2015-05-06,67.008367964
2015-05-07,67.7026942215
2015-05-08,68.5303938843
2015-05-11,68.4205569622
2015-05-12,68.0675097127
2015-05-13,67.7144624631
2015-05-14,69.0325055281
2015-05-15,68.8599046506
2015-05-18,68.632385312
2015-05-19,68.9618960782
2015-05-20,68.5931578398
2015-05-21,68.4676299288
2015-05-22,68.1145826793
2015-05-26,67.0162134585
2015-05-27,67.4006426858
2015-05-28,67.4477156524
2015-05-29,67.0868229084
2015-06-01,66.9220675253
2015-06-02,67.0397499418
2015-06-03,67.0515181834
2015-06-04,65.9649172043
2015-06-05,66.1061361041
2015-06-08,65.5098785271
2015-06-09,65.2431317163
2015-06-10,66.4238786287
2015-06-11,66.7750354566
2015-06-12,66.1674157768
2015-06-15,65.4335374623
