Date,PNW
2015-01-02,43.766387939453125
2015-01-05,43.47308349609375
2015-01-06,43.6197395324707
2015-01-07,44.6335563659668
2015-01-08,44.71005630493164
2015-01-09,44.05331802368164
2015-01-12,44.04694366455078
2015-01-13,44.142601013183594
2015-01-14,44.61442565917969
2015-01-15,45.01613235473633
2015-01-16,45.538978576660156
2015-01-20,45.883296966552734
2015-01-21,46.20210266113281
2015-01-22,46.20848846435547
2015-01-23,46.0745849609375
2015-01-26,46.04270935058594
2015-01-27,45.96617126464844
2015-01-28,45.4752197265625
2015-01-29,45.9349479675293
2015-01-30,45.12479019165039
2015-02-02,45.1697998046875
2015-02-03,45.304832458496094
2015-02-04,44.88045883178711
2015-02-05,44.893310546875
2015-02-06,42.94508361816406
2015-02-09,42.75860595703125
2015-02-10,43.465885162353516
2015-02-11,43.09294891357422
2015-02-12,43.04150390625
2015-02-13,41.87771224975586
2015-02-17,41.77484130859375
2015-02-18,42.867916107177734
2015-02-19,42.32780456542969
2015-02-20,42.289222717285156
2015-02-23,42.456390380859375
2015-02-24,42.47568893432617
2015-02-25,41.67839050292969
2015-02-26,41.408329010009766
2015-02-27,41.202571868896484
2015-03-02,40.41812515258789
2015-03-03,40.868221282958984
2015-03-04,40.55316162109375
2015-03-05,40.84893798828125
2015-03-06,39.84587097167969
2015-03-09,39.92947006225586
2015-03-10,40.0323486328125
2015-03-11,39.736568450927734
2015-03-12,40.50814437866211
2015-03-13,39.91660690307617
2015-03-16,40.66891098022461
2015-03-17,40.720333099365234
2015-03-18,41.710533142089844
2015-03-19,41.14470672607422
2015-03-20,41.620513916015625
2015-03-23,41.67839050292969
2015-03-24,41.086830139160156
2015-03-25,40.5402946472168
2015-03-26,40.22523880004883
2015-03-27,40.5402946472168
2015-03-30,41.022525787353516
2015-03-31,40.990386962890625
2015-04-01,41.17686080932617
2015-04-02,40.93251037597656
2015-04-06,41.42118453979492
2015-04-07,40.63674545288086
2015-04-08,40.58531188964844
2015-04-09,40.25738525390625
2015-04-10,41.009674072265625
2015-04-13,40.30238723754883
2015-04-14,40.72676086425781
2015-04-15,40.533878326416016
2015-04-16,40.321685791015625
2015-04-17,40.28310775756836
2015-04-20,40.765342712402344
2015-04-21,40.45028305053711
2015-04-22,40.4438591003418
2015-04-23,40.797489166259766
2015-04-24,40.990386962890625
2015-04-27,40.49528503417969
2015-04-28,40.778202056884766
2015-04-29,40.38596725463867
2015-04-30,39.72711181640625
