Date,PGR
2015-01-02,19.38608169555664
2015-01-05,19.170995712280273
2015-01-06,18.93440818786621
2015-01-07,19.328723907470703
2015-01-08,19.71587562561035
2015-01-09,19.300045013427734
2015-01-12,19.027616500854492
2015-01-13,18.998929977416992
2015-01-14,18.661970138549805
2015-01-15,18.83403205871582
2015-01-16,18.905733108520508
2015-01-20,18.86988067626953
2015-01-21,18.776681900024414
2015-01-22,19.135150909423828
2015-01-23,18.99176025390625
2015-01-26,19.264196395874023
2015-01-27,19.135150909423828
2015-01-28,19.020444869995117
2015-01-29,19.106473922729492
2015-01-30,18.604618072509766
2015-02-02,19.036149978637695
2015-02-03,19.220252990722656
2015-02-04,19.220252990722656
2015-02-05,19.426448822021484
2015-02-06,19.426448822021484
2015-02-09,19.396991729736328
2015-02-10,19.4853572845459
2015-02-11,19.6400089263916
2015-02-12,19.91983985900879
2015-02-13,19.964027404785156
2015-02-17,19.691551208496094
2015-02-18,19.69892120361328
2015-02-19,19.669458389282227
2015-02-20,19.595821380615234
2015-02-23,19.55900001525879
2015-02-24,19.603181838989258
2015-02-25,19.566364288330078
2015-02-26,19.684185028076172
2015-02-27,19.625274658203125
2015-03-02,19.949295043945312
2015-03-03,19.728374481201172
2015-03-04,19.455904006958008
2015-03-05,19.54427719116211
2015-03-06,19.338088989257812
2015-03-09,19.448537826538086
2015-03-10,19.131881713867188
2015-03-11,19.382259368896484
2015-03-12,19.73573875427246
2015-03-13,19.507450103759766
2015-03-16,19.86829376220703
2015-03-17,19.90511131286621
2015-03-18,20.258588790893555
2015-03-19,20.2733154296875
2015-03-20,20.3616886138916
2015-03-23,20.38377571105957
2015-03-24,20.111305236816406
2015-03-25,19.9345645904541
2015-03-26,19.83147430419922
2015-03-27,19.90511131286621
2015-03-30,20.15549087524414
2015-03-31,20.030302047729492
2015-04-01,19.853559494018555
2015-04-02,19.765195846557617
2015-04-06,19.883026123046875
2015-04-07,19.743104934692383
2015-04-08,19.743104934692383
2015-04-09,19.706283569335938
2015-04-10,19.80938148498535
2015-04-13,19.757829666137695
2015-04-14,19.69892120361328
2015-04-15,20.02293586730957
2015-04-16,20.01557731628418
2015-04-17,19.69892120361328
2015-04-20,19.949295043945312
2015-04-21,19.706283569335938
2015-04-22,19.669458389282227
2015-04-23,19.743104934692383
2015-04-24,19.779922485351562
2015-04-27,19.573734283447266
2015-04-28,19.691551208496094
2015-04-29,19.551637649536133
2015-04-30,19.632640838623047
2015-05-01,19.860923767089844
2015-05-04,19.986112594604492
2015-05-05,19.949295043945312
2015-05-06,19.757829666137695
2015-05-07,19.84619903564453
2015-05-08,19.986112594604492
2015-05-11,19.927196502685547
2015-05-12,19.860923767089844
2015-05-13,19.883026123046875
