date,RAI
2015-01-02,29.3013359576
2015-01-05,29.0166786668
2015-01-06,29.1268685858
2015-01-07,29.5951757415
2015-01-08,30.0772566371
2015-01-09,29.833920566
2015-01-12,30.1369428432
2015-01-13,30.3665051744
2015-01-14,30.5639287793
2015-01-15,30.8669510565
2015-01-16,31.0230534417
2015-01-20,31.4546306244
2015-01-21,31.5740030367
2015-01-22,31.7668353949
2015-01-23,31.6841929557
2015-01-26,32.1479088647
2015-01-27,31.8953903004
2015-01-28,31.7438791618
2015-01-29,31.9963977261
2015-01-30,31.1975208135
2015-02-02,31.7025579422
2015-02-03,32.0974051519
2015-02-04,31.9413027666
2015-02-05,31.8862078071
2015-02-06,31.679601709
2015-02-09,31.4270831447
2015-02-10,32.2718725236
2015-02-11,32.9697420105
2015-02-12,33.5574215785
2015-02-13,32.9926982437
2015-02-17,33.1763481086
2015-02-18,33.5849690582
2015-02-19,33.4150929331
2015-02-20,33.929312555
2015-02-23,34.333342258
2015-02-24,34.7327807143
2015-02-25,34.7419632076
2015-02-26,34.7235982211
2015-02-27,34.7190069745
2015-03-02,34.8383793867
2015-03-03,34.627182042
2015-03-04,34.3149772715
2015-03-05,33.9201300618
2015-03-06,32.6437635002
2015-03-09,32.71792227
2015-03-10,32.5835094997
2015-03-11,32.3842078057
2015-03-12,32.7596365781
2015-03-13,32.3842078057
2015-03-16,32.7874461168
2015-03-17,32.2868744203
2015-03-18,32.4954459605
2015-03-19,32.2451601123
2015-03-20,32.3981125751
2015-03-23,33.1489701197
2015-03-24,33.0145573494
2015-03-25,32.5093507298
2015-03-26,31.8882710324
2015-03-27,32.7225571931
2015-03-30,32.1988108811
2015-03-31,31.9392551867
2015-04-01,32.597414269
2015-04-02,34.0157007423
2015-04-06,34.164018282
2015-04-07,33.6541767393
2015-04-08,33.5846528926
2015-04-09,33.9276372031
2015-04-10,34.4652882845
2015-04-13,34.3030659754
2015-04-14,35.049288597
2015-04-15,34.3401453603
2015-04-16,34.4096692071
2015-04-17,34.6228756704
2015-04-20,34.808272595
2015-04-21,35.0446536739
2015-04-22,35.2439553678
2015-04-23,35.6750032175
2015-04-24,35.3459236763
2015-04-27,35.0863679819
2015-04-28,35.3366538301
2015-04-29,34.1686532051
2015-04-30,33.9739864342
2015-05-01,34.3494152066
2015-05-04,34.4096692071
2015-05-05,33.8998276644
2015-05-06,34.7433836714
2015-05-07,35.0956378281
2015-05-08,35.4896062929
2015-05-11,35.0307489045
2015-05-12,35.1976061367
2015-05-13,35.2856696758
2015-05-14,35.6750032175
2015-05-15,35.9438287582
2015-05-18,35.3922729075
2015-05-19,35.2624950603
2015-05-20,35.0956378281
2015-05-21,34.9890345965
2015-05-22,34.7943678256
2015-05-26,34.9612250578
2015-05-27,35.7491619874
2015-05-28,35.5869396783
2015-05-29,35.573034909
2015-06-01,35.1558918286
2015-06-02,34.928780596
2015-06-03,34.4791930538
2015-06-04,34.3401453603
2015-06-05,33.4363353529
2015-06-08,33.2463035052
2015-06-09,33.7469162937
2015-06-10,34.196064216
2015-06-11,33.756273542
2015-06-12,33.6860941792
2015-06-15,33.9668116307
2015-06-16,34.4299954256
2015-06-17,35.0382165705
2015-06-18,35.8429399315
2015-06-19,36.0534780201
2015-06-22,36.2172298668
2015-06-23,35.8850475492
2015-06-24,35.7166170783
2015-06-25,35.7119384541
2015-06-26,35.8195468105
2015-06-29,35.1177531818
2015-06-30,34.9306082141
2015-07-01,34.9867517044
2015-07-02,34.9399654625
2015-07-06,35.1785752963
2015-07-07,35.9177979185
2015-07-08,35.4686499961
2015-07-09,35.6043300977
2015-07-10,35.9645841605
2015-07-13,36.2874092297
2015-07-14,36.3295168474
2015-07-15,36.3154809748
2015-07-16,36.9658097374
2015-07-17,37.0547035971
2015-07-20,37.3307424244
2015-07-21,37.3728500421
2015-07-22,37.6021026275
2015-07-23,37.321385176
2015-07-24,37.2184554438
2015-07-27,37.0500249729
2015-07-28,39.3940156929
2015-07-29,39.5530889154
2015-07-30,39.9320574749
2015-07-31,40.1379169393
2015-08-03,40.7601739568
2015-08-04,41.0923562744
2015-08-05,41.1531783889
2015-08-06,40.7367808358
2015-08-07,40.3110260344
2015-08-10,40.3578122763
2015-08-11,40.3578122763
2015-08-12,40.1098451942
2015-08-13,39.9975582136
2015-08-14,39.9741650926
2015-08-17,40.0396658313
2015-08-18,39.8899498572
2015-08-19,39.7449125072
2015-08-20,39.6513400234
2015-08-21,39.1179768656
2015-08-24,37.8079620919
2015-08-25,38.3834328675
2015-08-26,39.1132982414
2015-08-27,39.5250171702
2015-08-28,39.6139110299
2015-08-31,39.1834776042
2015-09-01,38.2056451482
2015-09-02,38.5986495803
2015-09-03,39.4969454251
2015-09-04,39.1320127381
2015-09-08,40.0583803281
2015-09-09,39.7469724244
2015-09-10,39.5865501711
2015-09-11,39.8130286464
2015-09-14,39.6148599805
2015-09-15,39.718662615
2015-09-16,40.1149999469
2015-09-17,39.8979580747
2015-09-18,39.4827475365
2015-09-21,40.3792248348
2015-09-22,40.1433097563
2015-09-23,40.5207738819
2015-09-24,39.7375358213
2015-09-25,40.5679568976
2015-09-28,40.9737308326
2015-09-29,41.0209138483
2015-09-30,41.7758420995
2015-10-01,41.1718994985
2015-10-02,41.5304904179
2015-10-05,42.3420382879
2015-10-06,42.7100658103
2015-10-07,42.8987978731
2015-10-08,43.6537261243
2015-10-09,43.8518947902
2015-10-12,44.3048517409
2015-10-13,43.9556974248
2015-10-14,43.4461208552
2015-10-15,44.0500634562
2015-10-16,44.6917524697
2015-10-19,44.8144283105
2015-10-20,44.9465407544
2015-10-21,44.6917524697
2015-10-22,46.1261161469
2015-10-23,46.13555275
2015-10-26,46.7017489384
2015-10-27,45.6259761805
2015-10-28,46.3809044317
2015-10-29,46.1732991626
2015-10-30,45.5976663711
2015-11-02,45.2013290392
2015-11-03,43.3895012364
2015-11-04,43.1347129516
2015-11-05,43.5593600929
2015-11-06,42.1155598125
2015-11-09,42.0589401937
2015-11-10,42.0778134
2015-11-11,42.4647141287
2015-11-12,42.8516148574
2015-11-13,42.955417492
2015-11-16,43.5216136803
2015-11-17,43.4649940615
2015-11-18,43.3234450144
2015-11-19,43.5216136803
2015-11-20,43.8707679965
2015-11-23,44.380344566
2015-11-24,44.0595000593
2015-11-25,43.9462608216
2015-11-27,44.2010491064
2015-11-30,43.6442895211
2015-12-01,43.5310502835
2015-12-02,43.6725993306
2015-12-03,42.691192604
2015-12-04,44.1255562813
2015-12-07,44.0500634562
2015-12-08,43.8047117745
2015-12-09,42.8610514606
2015-12-10,42.7855586354
2015-12-11,42.3860491951
2015-12-14,42.8426314126
2015-12-15,42.8616556717
2015-12-16,43.7367715886
2015-12-17,43.2801893711
2015-12-18,42.5192190085
2015-12-21,43.0709225214
2015-12-22,43.6606745524
2015-12-23,44.2028659357
2015-12-24,44.1743295471
2015-12-28,44.0221354746
2015-12-29,44.2504265834
2015-12-30,44.3931085264
2015-12-31,43.8984777907
