Date,HAL
2015-01-02,31.825746536254883
2015-01-05,31.197128295898438
2015-01-06,30.8908748626709
2015-01-07,31.720972061157227
2015-01-08,32.406005859375
2015-01-09,32.075584411621094
2015-01-12,31.060129165649414
2015-01-13,30.8586483001709
2015-01-14,30.89895248413086
2015-01-15,30.084964752197266
2015-01-16,31.535612106323242
2015-01-20,32.09975051879883
2015-01-21,32.7928581237793
2015-01-22,32.897613525390625
2015-01-23,33.03462600708008
2015-01-26,33.41339874267578
2015-01-27,33.445648193359375
2015-01-28,31.809621810913086
2015-01-29,31.89021110534668
2015-01-30,32.22871398925781
2015-02-02,33.45368576049805
2015-02-03,34.91241455078125
2015-02-04,34.16290283203125
2015-02-05,34.93659210205078
2015-02-06,34.94464874267578
2015-02-09,35.0655403137207
2015-02-10,34.33214569091797
2015-02-11,33.969486236572266
2015-02-12,34.46915054321289
2015-02-13,35.61355209350586
2015-02-17,36.16158676147461
2015-02-18,35.77475357055664
2015-02-19,35.65385818481445
2015-02-20,34.94464874267578
2015-02-23,34.831817626953125
2015-02-24,34.751216888427734
2015-02-25,35.20253372192383
2015-02-26,34.412742614746094
2015-02-27,34.606170654296875
2015-03-02,34.792301177978516
2015-03-03,34.88942337036133
2015-03-04,34.857051849365234
2015-03-05,34.75184631347656
2015-03-06,34.29862976074219
2015-03-09,34.02346420288086
2015-03-10,33.43267822265625
2015-03-11,33.43267822265625
2015-03-12,33.17367935180664
2015-03-13,32.51813888549805
2015-03-16,32.793312072753906
2015-03-17,32.59907913208008
2015-03-18,33.659271240234375
2015-03-19,33.626888275146484
2015-03-20,34.654720306396484
2015-03-23,34.314815521240234
2015-03-24,34.42001724243164
2015-03-25,35.17267608642578
2015-03-26,34.94606018066406
2015-03-27,35.01081085205078
2015-03-30,35.46403121948242
2015-03-31,35.51259994506836
2015-04-01,35.46403121948242
2015-04-02,35.57734298706055
2015-04-06,37.1312255859375
2015-04-07,36.03054428100586
2015-04-08,35.78776550292969
2015-04-09,37.260704040527344
2015-04-10,37.43875503540039
2015-04-13,36.775115966796875
2015-04-14,37.39019775390625
2015-04-15,39.05738067626953
2015-04-16,38.709373474121094
2015-04-17,37.94862365722656
2015-04-20,38.725563049316406
2015-04-21,38.078121185302734
2015-04-22,38.12666702270508
2015-04-23,38.98453903198242
2015-04-24,38.84695816040039
2015-04-27,39.1949577331543
2015-04-28,39.3244514465332
2015-04-29,39.826229095458984
2015-04-30,39.615806579589844
2015-05-01,39.74528503417969
2015-05-04,39.81813430786133
2015-05-05,38.87933349609375
2015-05-06,38.579872131347656
2015-05-07,37.5115852355957
2015-05-08,38.935977935791016
2015-05-11,38.19141387939453
2015-05-12,38.43421173095703
2015-05-13,38.2723503112793
2015-05-14,37.58442687988281
2015-05-15,37.79484939575195
