Date,ORLY
2015-01-02,12.807332992553711
2015-01-05,12.58133316040039
2015-01-06,12.538666725158691
2015-01-07,12.652667045593262
2015-01-08,12.88266658782959
2015-01-09,12.52066707611084
2015-01-12,12.371999740600586
2015-01-13,12.183333396911621
2015-01-14,12.163999557495117
2015-01-15,11.997332572937012
2015-01-16,12.194000244140625
2015-01-20,12.428000450134277
2015-01-21,12.33133316040039
2015-01-22,12.621333122253418
2015-01-23,12.67199993133545
2015-01-26,12.751999855041504
2015-01-27,12.731332778930664
2015-01-28,12.751333236694336
2015-01-29,12.84333324432373
2015-01-30,12.490667343139648
2015-02-02,12.685333251953125
2015-02-03,12.885333061218262
2015-02-04,12.847332954406738
2015-02-05,13.88266658782959
2015-02-06,13.785332679748535
2015-02-09,13.671333312988281
2015-02-10,13.735333442687988
2015-02-11,13.829999923706055
2015-02-12,13.771332740783691
2015-02-13,13.703332901000977
2015-02-17,13.713333129882812
2015-02-18,13.718667030334473
2015-02-19,13.660667419433594
2015-02-20,13.72266674041748
2015-02-23,13.90133285522461
2015-02-24,13.836000442504883
2015-02-25,13.912667274475098
2015-02-26,13.956000328063965
2015-02-27,13.875332832336426
2015-03-02,14.133333206176758
2015-03-03,14.11066722869873
2015-03-04,13.85533332824707
2015-03-05,13.868000030517578
2015-03-06,13.612667083740234
2015-03-09,13.772000312805176
2015-03-10,13.537332534790039
2015-03-11,13.618666648864746
2015-03-12,13.970000267028809
2015-03-13,14.01533317565918
2015-03-16,14.337332725524902
2015-03-17,14.269332885742188
2015-03-18,14.288000106811523
2015-03-19,14.33133316040039
2015-03-20,14.31933307647705
2015-03-23,14.352666854858398
2015-03-24,14.3013334274292
2015-03-25,13.932000160217285
2015-03-26,14.079333305358887
2015-03-27,14.361332893371582
2015-03-30,14.625332832336426
2015-03-31,14.416000366210938
2015-04-01,14.353333473205566
2015-04-02,14.371999740600586
2015-04-06,14.41333293914795
2015-04-07,14.408666610717773
2015-04-08,14.539999961853027
2015-04-09,14.567999839782715
2015-04-10,14.668000221252441
2015-04-13,14.54800033569336
2015-04-14,14.469332695007324
2015-04-15,14.394000053405762
