date,UTX
2015-01-02,107.57442413657
2015-01-05,105.77902345557
2015-01-06,104.28285622141
2015-01-07,105.41433269224
2015-01-08,107.20973337324
2015-01-09,106.62061752479
2015-01-12,107.02271246897
2015-01-13,106.91985097162
2015-01-14,106.15306526411
2015-01-15,106.15306526411
2015-01-16,108.61239015527
2015-01-20,109.90283439474
2015-01-21,111.30549117677
2015-01-22,112.6333395971
2015-01-23,112.19384047206
2015-01-26,111.0436619108
2015-01-27,111.42705476455
2015-01-28,109.33242063672
2015-01-29,108.89292151168
2015-01-30,107.33129696102
2015-02-02,109.01448509946
2015-02-03,111.17457654378
2015-02-04,110.1459615703
2015-02-05,112.31540405984
2015-02-06,112.03487270343
2015-02-09,111.57667148797
2015-02-10,111.65147984968
2015-02-11,111.58602253318
2015-02-12,112.43215464439
2015-02-13,113.99279831619
2015-02-17,114.0586085915
2015-02-18,114.68850694096
2015-02-19,115.55344198798
2015-02-20,116.68161813626
2015-02-23,116.31496088807
2015-02-24,116.38077116339
2015-02-25,115.98590951149
2015-02-26,115.32780675832
2015-02-27,114.61329519774
2015-03-02,115.81668308925
2015-03-03,114.41586437179
2015-03-04,113.79536749024
2015-03-05,113.56033079268
2015-03-06,112.28173115796
2015-03-09,114.4628717113
2015-03-10,110.37323317378
2015-03-11,111.2569711566
2015-03-12,113.98339684828
2015-03-13,111.63302987269
2015-03-16,112.88342510371
2015-03-17,112.68599427776
2015-03-18,113.10906033336
2015-03-19,112.23472381844
2015-03-20,112.30993556166
2015-03-23,111.57662106528
2015-03-24,111.80225629493
2015-03-25,109.48949519095
2015-03-26,109.09463353905
2015-03-27,109.90315977866
2015-03-30,111.71764308381
2015-03-31,110.18520381573
2015-04-01,108.98181592423
2015-04-02,110.11939354041
2015-04-06,110.80570069728
2015-04-07,110.4578463849
2015-04-08,110.78689776148
2015-04-09,110.82450363309
2015-04-10,111.36978877143
2015-04-13,110.38263464168
2015-04-14,110.64587574294
2015-04-15,110.81510216519
2015-04-16,110.44844491699
2015-04-17,108.22029702413
2015-04-20,109.53650253046
2015-04-21,109.95016711817
2015-04-22,109.95956858607
2015-04-23,110.24161262314
2015-04-24,109.20745115388
2015-04-27,108.81258950198
2015-04-28,109.13223941066
2015-04-29,108.4741366575
2015-04-30,106.94169738941
2015-05-01,108.53054546491
2015-05-04,109.48009372305
2015-05-05,108.18269115252
2015-05-06,108.19209262043
2015-05-07,109.09463353905
2015-05-08,111.34158436772
2015-05-11,110.65527721085
2015-05-12,110.33562730217
2015-05-13,110.94672271582
2015-05-14,112.61985638888
2015-05-15,112.00542876883
2015-05-18,112.02433423406
2015-05-19,112.55368726057
2015-05-20,112.36463260824
2015-05-21,112.60095092365
2015-05-22,112.12831429284
2015-05-26,110.47408608501
2015-05-27,111.20194649646
2015-05-28,111.24921015954
2015-05-29,110.7576680635
2015-06-01,110.59697160902
2015-06-02,110.91836451797
2015-06-03,112.02433423406
2015-06-04,110.72930986565
2015-06-05,110.59697160902
2015-06-08,109.8218475345
2015-06-09,109.93528032589
2015-06-10,111.06960823983
2015-06-11,111.84473231435
2015-06-12,111.16413556599
2015-06-15,108.33776851376
2015-06-16,108.64970869009
2015-06-17,108.7725942141
2015-06-18,109.55717102124
