Date,UNM
2015-01-02,24.248620986938477
2015-01-05,23.480817794799805
2015-01-06,22.97825050354004
2015-01-07,23.194643020629883
2015-01-08,23.571565628051758
2015-01-09,23.04107666015625
2015-01-12,22.789798736572266
2015-01-13,22.524555206298828
2015-01-14,22.25931167602539
2015-01-15,21.882394790649414
2015-01-16,22.161596298217773
2015-01-20,21.98011016845703
2015-01-21,22.098772048950195
2015-01-22,22.7130184173584
2015-01-23,22.419845581054688
2015-01-26,22.531532287597656
2015-01-27,22.22441291809082
2015-01-28,21.785886764526367
2015-01-29,22.052507400512695
2015-01-30,21.792905807495117
2015-02-02,22.42437171936035
2015-02-03,23.083921432495117
2015-02-04,22.733110427856445
2015-02-05,23.076900482177734
2015-02-06,23.546998977661133
2015-02-09,23.455799102783203
2015-02-10,23.546998977661133
2015-02-11,23.8697566986084
2015-02-12,24.0311336517334
2015-02-13,24.38896942138672
2015-02-17,24.2205753326416
2015-02-18,23.778539657592773
2015-02-19,23.8697566986084
2015-02-20,23.848711013793945
2015-02-23,23.546998977661133
2015-02-24,23.911848068237305
2015-02-25,23.771526336669922
2015-02-26,23.58208465576172
2015-02-27,23.546998977661133
2015-03-02,23.757495880126953
2015-03-03,23.638212203979492
2015-03-04,23.483856201171875
2015-03-05,23.53998374938965
2015-03-06,23.827651977539062
2015-03-09,23.624177932739258
2015-03-10,22.992712020874023
2015-03-11,23.11900520324707
2015-03-12,23.490867614746094
2015-03-13,23.343524932861328
2015-03-16,23.799591064453125
2015-03-17,23.722414016723633
2015-03-18,23.694353103637695
2015-03-19,23.455799102783203
2015-03-20,23.8697566986084
2015-03-23,23.799591064453125
2015-03-24,23.4136962890625
2015-03-25,23.343524932861328
2015-03-26,23.3996524810791
2015-03-27,23.28739356994629
2015-03-30,23.603132247924805
2015-03-31,23.666275024414062
2015-04-01,23.420711517333984
2015-04-02,23.624177932739258
2015-04-06,23.532957077026367
2015-04-07,23.294414520263672
2015-04-08,23.357555389404297
2015-04-09,23.70136070251465
2015-04-10,23.771526336669922
2015-04-13,23.813629150390625
2015-04-14,23.680313110351562
2015-04-15,23.96798324584961
2015-04-16,23.876768112182617
2015-04-17,23.497892379760742
2015-04-20,23.525955200195312
2015-04-21,23.357555389404297
2015-04-22,23.631200790405273
2015-04-23,23.761638641357422
2015-04-24,23.747543334960938
2015-04-27,23.5642147064209
2015-04-28,23.825103759765625
2015-04-29,24.015480041503906
2015-04-30,24.08598518371582
2015-05-01,24.219947814941406
2015-05-04,24.523141860961914
2015-05-05,24.459680557250977
2015-05-06,24.396224975585938
2015-05-07,24.41737937927246
2015-05-08,24.431472778320312
2015-05-11,24.572498321533203
2015-05-12,24.36802101135254
2015-05-13,24.49493408203125
2015-05-14,24.58660316467285
2015-05-15,24.3327693939209
2015-05-18,24.678264617919922
2015-05-19,24.67121124267578
2015-05-20,24.650060653686523
2015-05-21,24.643009185791016
2015-05-22,24.63595199584961
