Date,ETR
2015-01-02,27.970760345458984
2015-01-05,27.760282516479492
2015-01-06,27.709257125854492
2015-01-07,27.989896774291992
2015-01-08,28.15572166442871
2015-01-09,27.996274948120117
2015-01-12,27.757095336914062
2015-01-13,27.438196182250977
2015-01-14,27.792186737060547
2015-01-15,28.219499588012695
2015-01-16,28.276901245117188
2015-01-20,28.286474227905273
2015-01-21,28.5989990234375
2015-01-22,28.516071319580078
2015-01-23,28.5734806060791
2015-01-26,28.327924728393555
2015-01-27,28.203554153442383
2015-01-28,28.359827041625977
2015-01-29,28.669153213500977
2015-01-30,27.90697479248047
2015-02-02,28.11107635498047
2015-02-03,28.516071319580078
2015-02-04,27.894224166870117
2015-02-05,27.59126091003418
2015-02-06,26.280595779418945
2015-02-09,25.926603317260742
2015-02-10,26.36800765991211
2015-02-11,26.084489822387695
2015-02-12,25.98459243774414
2015-02-13,25.49165153503418
2015-02-17,25.407888412475586
2015-02-18,25.85894203186035
2015-02-19,25.697853088378906
2015-02-20,25.55608558654785
2015-02-23,25.86539077758789
2015-02-24,25.923389434814453
2015-02-25,25.575420379638672
2015-02-26,25.517425537109375
2015-02-27,25.6173038482666
2015-03-02,25.02448081970215
2015-03-03,24.9632568359375
2015-03-04,24.647512435913086
2015-03-05,24.81505012512207
2015-03-06,24.057905197143555
2015-03-09,24.06757926940918
2015-03-10,24.31888198852539
2015-03-11,24.064348220825195
2015-03-12,24.5701904296875
2015-03-13,24.05146598815918
2015-03-16,24.486413955688477
2015-03-17,24.476749420166016
2015-03-18,25.175901412963867
2015-03-19,25.11146354675293
2015-03-20,25.469104766845703
2015-03-23,25.288677215576172
2015-03-24,24.90204620361328
2015-03-25,24.789274215698242
2015-03-26,24.65395736694336
2015-03-27,24.705501556396484
2015-03-30,24.908491134643555
2015-03-31,24.966482162475586
2015-04-01,25.030927658081055
2015-04-02,25.02448081970215
2015-04-06,25.5850830078125
2015-04-07,25.16623306274414
2015-04-08,25.117902755737305
2015-04-09,24.81183433532715
2015-04-10,25.1597957611084
2015-04-13,24.898836135864258
2015-04-14,25.05991554260254
2015-04-15,25.069578170776367
2015-04-16,24.924598693847656
2015-04-17,24.90204620361328
2015-04-20,25.246789932250977
2015-04-21,25.150129318237305
2015-04-22,25.088916778564453
2015-04-23,25.314441680908203
2015-04-24,25.498096466064453
2015-04-27,25.175901412963867
2015-04-28,25.459426879882812
2015-04-29,25.259681701660156
2015-04-30,24.86660385131836
2015-05-01,24.86983299255371
2015-05-04,25.07280158996582
2015-05-05,24.341434478759766
2015-05-06,24.415538787841797
2015-05-07,24.637845993041992
2015-05-08,24.615291595458984
2015-05-11,24.515411376953125
2015-05-12,24.179901123046875
2015-05-13,24.026796340942383
2015-05-14,24.179901123046875
2015-05-15,24.424209594726562
2015-05-18,24.52193260192871
2015-05-19,24.824871063232422
2015-05-20,24.769493103027344
2015-05-21,24.795562744140625
2015-05-22,24.769493103027344
2015-05-26,24.587081909179688
2015-05-27,24.890010833740234
2015-05-28,24.935626983642578
2015-05-29,24.909568786621094
2015-06-01,24.94540023803711
2015-06-02,24.466552734375
2015-06-03,24.049604415893555
2015-06-04,24.026796340942383
2015-06-05,23.492584228515625
2015-06-08,23.44698143005371
2015-06-09,23.095178604125977
2015-06-10,23.033288955688477
2015-06-11,23.26456069946289
2015-06-12,23.033288955688477
2015-06-15,23.111465454101562
2015-06-16,23.07236671447754
2015-06-17,23.189647674560547
2015-06-18,23.46652603149414
2015-06-19,23.31342124938965
2015-06-22,23.29062271118164
2015-06-23,23.05608367919922
2015-06-24,22.9681339263916
2015-06-25,22.629362106323242
2015-06-26,22.9681339263916
2015-06-29,22.78571891784668
2015-06-30,22.964874267578125
2015-07-01,23.274341583251953
2015-07-02,23.41440200805664
2015-07-06,23.606586456298828
2015-07-07,23.977947235107422
2015-07-08,23.87696075439453
2015-07-09,23.622882843017578
2015-07-10,23.613107681274414
2015-07-13,23.534940719604492
2015-07-14,23.547956466674805
2015-07-15,23.534940719604492
2015-07-16,23.769468307495117
2015-07-17,23.57402229309082
2015-07-20,23.54470443725586
2015-07-21,23.225473403930664
2015-07-22,23.12775421142578
2015-07-23,22.704282760620117
2015-07-24,22.544668197631836
2015-07-27,22.93229866027832
2015-07-28,22.795494079589844
2015-07-29,22.837841033935547
2015-07-30,22.919279098510742
2015-07-31,23.134258270263672
2015-08-03,23.192888259887695
2015-08-04,22.339454650878906
2015-08-05,22.111427307128906
2015-08-06,22.619585037231445
2015-08-07,22.886699676513672
2015-08-10,22.446945190429688
2015-08-11,22.730499267578125
2015-08-12,23.083303451538086
2015-08-13,23.010765075683594
2015-08-14,23.112974166870117
2015-08-17,23.297609329223633
2015-08-18,23.284427642822266
2015-08-19,23.366846084594727
2015-08-20,23.2646427154541
2015-08-21,22.87887191772461
2015-08-24,21.72817039489746
2015-08-25,20.969825744628906
2015-08-26,21.19733238220215
2015-08-27,21.698495864868164
2015-08-28,21.72817039489746
2015-08-31,21.54023551940918
2015-09-01,20.79178237915039
2015-09-02,20.69286346435547
2015-09-03,20.768705368041992
2015-09-04,20.28731918334961
2015-09-08,20.570873260498047
2015-09-09,20.40601348876953
2015-09-10,20.452178955078125
2015-09-11,20.666488647460938
2015-09-14,20.715944290161133
2015-09-15,20.847829818725586
2015-09-16,21.08522605895996
2015-09-17,21.240196228027344
2015-09-18,21.184144973754883
2015-09-21,21.078632354736328
2015-09-22,21.114904403686523
2015-09-23,20.95004653930664
2015-09-24,20.96652603149414
2015-09-25,21.296247482299805
2015-09-28,21.12149429321289
2015-09-29,21.210521697998047
2015-09-30,21.46440315246582
2015-10-01,21.236896514892578
2015-10-02,21.724872589111328
2015-10-05,22.080963134765625
2015-10-06,21.797409057617188
2015-10-07,22.0183162689209
2015-10-08,22.3117618560791
2015-10-09,22.275501251220703
2015-10-12,22.51289176940918
2015-10-13,22.45354461669922
2015-10-14,22.394189834594727
2015-10-15,22.77666473388672
2015-10-16,22.849199295043945
2015-10-19,22.875577926635742
2015-10-20,23.103078842163086
2015-10-21,22.88875961303711
2015-10-22,23.099775314331055
2015-10-23,22.634885787963867
2015-10-26,22.582130432128906
2015-10-27,22.572237014770508
2015-10-28,22.341440200805664
2015-10-29,22.255714416503906
2015-10-30,22.47332763671875
2015-11-02,22.60190773010254
2015-11-03,22.845901489257812
2015-11-04,22.81951904296875
2015-11-05,22.440353393554688
2015-11-06,21.6457462310791
2015-11-09,21.75931167602539
2015-11-10,21.662445068359375
2015-11-11,22.06662940979004
2015-11-12,21.979782104492188
2015-11-13,21.762649536132812
2015-11-16,22.323841094970703
2015-11-17,21.859519958496094
2015-11-18,21.936355590820312
2015-11-19,21.993141174316406
2015-11-20,22.3605899810791
2015-11-23,22.270389556884766
2015-11-24,22.20692253112793
2015-11-25,22.093351364135742
2015-11-27,22.103376388549805
2015-11-30,22.257030487060547
2015-12-01,22.510896682739258
2015-12-02,21.816102981567383
2015-12-03,21.498762130737305
2015-12-04,22.023210525512695
2015-12-07,22.277074813842773
2015-12-08,22.2336483001709
2015-12-09,22.728023529052734
2015-12-10,21.949718475341797
2015-12-11,21.933015823364258
2015-12-14,21.859519958496094
2015-12-15,21.786033630371094
2015-12-16,22.424043655395508
2015-12-17,22.457456588745117
2015-12-18,22.133440017700195
2015-12-21,22.106718063354492
2015-12-22,22.607776641845703
2015-12-23,22.978559494018555
2015-12-24,22.94515037536621
2015-12-28,23.00193977355957
2015-12-29,23.115510940551758
2015-12-30,23.132213592529297
2015-12-31,22.834917068481445
