Date,RRC
2015-01-02,51.738609313964844
2015-01-05,48.52595901489258
2015-01-06,47.24650192260742
2015-01-07,45.8736572265625
2015-01-08,46.7421875
2015-01-09,46.96633529663086
2015-01-12,44.4727783203125
2015-01-13,43.912437438964844
2015-01-14,44.780982971191406
2015-01-15,43.84707260131836
2015-01-16,46.30325698852539
2015-01-20,45.135860443115234
2015-01-21,46.471351623535156
2015-01-22,45.78961181640625
2015-01-23,45.42537307739258
2015-01-26,46.24721908569336
2015-01-27,46.01375198364258
2015-01-28,43.87508010864258
2015-01-29,42.48356246948242
2015-01-30,43.21200942993164
2015-02-02,44.65022659301758
2015-02-03,47.993629455566406
2015-02-04,46.63945388793945
2015-02-05,48.2924690246582
2015-02-06,48.24578857421875
2015-02-09,47.4799690246582
2015-02-10,48.983577728271484
2015-02-11,47.900238037109375
2015-02-12,47.414608001708984
2015-02-13,47.4799690246582
2015-02-17,48.97423553466797
2015-02-18,48.4605827331543
2015-02-19,48.581993103027344
2015-02-20,48.41389083862305
2015-02-23,47.95627975463867
2015-02-24,47.85354232788086
2015-02-25,50.34707260131836
2015-02-26,47.4612922668457
2015-02-27,46.26591110229492
2015-03-02,46.16316604614258
2015-03-03,46.947654724121094
2015-03-04,46.798221588134766
2015-03-05,46.471351623535156
2015-03-06,45.52810287475586
2015-03-09,43.529537200927734
2015-03-10,42.941184997558594
2015-03-11,43.97780990600586
2015-03-12,42.435550689697266
2015-03-13,42.33274841308594
2015-03-16,43.061805725097656
2015-03-17,43.622623443603516
2015-03-18,45.819183349609375
2015-03-19,44.53864288330078
2015-03-20,46.12763977050781
2015-03-23,45.2022819519043
2015-03-24,46.38936233520508
2015-03-25,47.576416015625
2015-03-26,47.78205871582031
2015-03-27,48.24005889892578
2015-03-30,48.33354187011719
2015-03-31,48.64198684692383
2015-04-01,48.258750915527344
2015-04-02,50.25902557373047
2015-04-06,51.10026168823242
2015-04-07,52.59577941894531
2015-04-08,51.6330451965332
2015-04-09,52.221900939941406
2015-04-10,51.64238739013672
2015-04-13,51.492835998535156
2015-04-14,53.960453033447266
2015-04-15,57.39081954956055
2015-04-16,56.97953796386719
2015-04-17,56.76456069946289
2015-04-20,56.465450286865234
2015-04-21,55.885948181152344
2015-04-22,56.75521469116211
2015-04-23,57.89555358886719
2015-04-24,57.353431701660156
2015-04-27,57.27864074707031
2015-04-28,58.232059478759766
2015-04-29,58.007720947265625
2015-04-30,59.4097785949707
2015-05-01,60.522071838378906
2015-05-04,59.91450881958008
2015-05-05,58.67135238647461
2015-05-06,58.007720947265625
2015-05-07,56.829986572265625
2015-05-08,60.09210968017578
2015-05-11,58.81156539916992
2015-05-12,59.64344787597656
2015-05-13,58.605934143066406
2015-05-14,57.05432891845703
2015-05-15,57.166481018066406
2015-05-18,55.876590728759766
2015-05-19,54.53996276855469
2015-05-20,54.45584487915039
2015-05-21,54.89516067504883
2015-05-22,54.811031341552734
2015-05-26,53.30615997314453
2015-05-27,53.53982925415039
2015-05-28,51.85737609863281
2015-05-29,51.79194641113281
2015-06-01,51.380672454833984
2015-06-02,51.95083236694336
2015-06-03,51.95083236694336
2015-06-04,51.885414123535156
2015-06-05,51.128299713134766
2015-06-08,50.614219665527344
2015-06-09,50.81985092163086
2015-06-10,49.473873138427734
2015-06-11,49.25889587402344
2015-06-12,49.42726516723633
2015-06-15,49.11859130859375
2015-06-16,50.41880416870117
2015-06-17,49.33372497558594
2015-06-18,47.893184661865234
2015-06-19,47.06067657470703
2015-06-22,47.32258987426758
2015-06-23,47.06067657470703
2015-06-24,47.60321044921875
2015-06-25,47.743526458740234
2015-06-26,46.415225982666016
2015-06-29,45.470462799072266
2015-06-30,46.19072341918945
2015-07-01,44.73149108886719
2015-07-02,44.871803283691406
2015-07-06,44.12347412109375
2015-07-07,43.81478500366211
2015-07-08,42.37424087524414
2015-07-09,43.30030822753906
2015-07-10,42.34619903564453
2015-07-13,43.13195037841797
2015-07-14,44.62858581542969
2015-07-15,43.37513732910156
2015-07-16,43.225467681884766
2015-07-17,40.335044860839844
2015-07-20,38.11811828613281
2015-07-21,38.52968978881836
2015-07-22,38.726139068603516
2015-07-23,40.176025390625
2015-07-24,39.58671188354492
2015-07-27,39.51188659667969
2015-07-28,41.1114387512207
2015-07-29,39.88603973388672
2015-07-30,37.276241302490234
2015-07-31,36.7991828918457
2015-08-03,35.75151443481445
2015-08-04,35.44281005859375
2015-08-05,34.12388229370117
2015-08-06,35.49894714355469
2015-08-07,33.41298294067383
2015-08-10,35.171566009521484
2015-08-11,36.060211181640625
2015-08-12,36.16309356689453
2015-08-13,34.55418014526367
2015-08-14,34.142608642578125
2015-08-17,34.18937683105469
2015-08-18,34.629024505615234
2015-08-19,33.65620040893555
2015-08-20,33.1884880065918
2015-08-21,33.338157653808594
2015-08-24,31.055740356445312
2015-08-25,31.61698341369629
2015-08-26,32.561763763427734
2015-08-27,35.555076599121094
2015-08-28,35.85441970825195
2015-08-31,36.125675201416016
2015-09-01,35.508304595947266
2015-09-02,35.62055206298828
2015-09-03,35.89183044433594
2015-09-04,34.142608642578125
