Date,PVH
2015-01-02,124.2490005493164
2015-01-05,119.892333984375
2015-01-06,115.04389953613281
2015-01-07,117.98443603515625
2015-01-08,117.11898040771484
2015-01-09,115.92902374267578
2015-01-12,115.79135131835938
2015-01-13,116.00772094726562
2015-01-14,112.82131958007812
2015-01-15,109.01536560058594
2015-01-16,109.57592010498047
2015-01-20,109.09404754638672
2015-01-21,109.84146881103516
2015-01-22,111.78868865966797
2015-01-23,110.15618896484375
2015-01-26,109.09404754638672
2015-01-27,110.81507873535156
2015-01-28,109.77263641357422
2015-01-29,111.07079315185547
2015-01-30,108.43511962890625
2015-02-02,109.54643249511719
2015-02-03,111.85750579833984
2015-02-04,105.18974304199219
2015-02-05,106.79277801513672
2015-02-06,106.79277801513672
2015-02-09,101.48217010498047
2015-02-10,100.81341552734375
2015-02-11,102.63279724121094
2015-02-12,103.66543579101562
2015-02-13,104.77670288085938
2015-02-17,104.98323822021484
2015-02-18,105.49462127685547
2015-02-19,106.72393798828125
2015-02-20,108.17945098876953
2015-02-23,109.01536560058594
2015-02-24,109.86930084228516
2015-02-25,109.1806640625
2015-02-26,106.22929382324219
2015-02-27,104.80278015136719
2015-03-02,105.00939178466797
2015-03-03,104.1141357421875
2015-03-04,104.04527282714844
2015-03-05,103.75997161865234
2015-03-06,101.06439208984375
2015-03-09,101.04473114013672
2015-03-10,98.30979919433594
2015-03-11,95.40763854980469
2015-03-12,96.27336883544922
2015-03-13,95.7224349975586
2015-03-16,92.82028198242188
2015-03-17,96.69640350341797
2015-03-18,99.51986694335938
2015-03-19,99.98223114013672
2015-03-20,100.77914428710938
2015-03-23,102.08753967285156
2015-03-24,101.90061950683594
2015-03-25,102.34333038330078
2015-03-26,102.8647232055664
2015-03-27,102.22526550292969
2015-03-30,103.65176391601562
2015-03-31,104.83229064941406
2015-04-01,105.6587142944336
2015-04-02,105.72756958007812
2015-04-06,107.57707214355469
2015-04-07,109.2495346069336
2015-04-08,108.95438385009766
2015-04-09,109.22984313964844
2015-04-10,108.59038543701172
2015-04-13,107.1245346069336
2015-04-14,107.97057342529297
2015-04-15,107.15406036376953
2015-04-16,105.89480590820312
2015-04-17,102.05801391601562
2015-04-20,102.06787872314453
2015-04-21,102.0383529663086
2015-04-22,101.65467834472656
2015-04-23,103.58291625976562
2015-04-24,102.73686218261719
2015-04-27,102.34333038330078
2015-04-28,101.56611633300781
2015-04-29,101.2218246459961
2015-04-30,101.67435455322266
2015-05-01,102.2055892944336
2015-05-04,103.93708038330078
2015-05-05,103.99607849121094
2015-05-06,103.297607421875
2015-05-07,103.78948211669922
2015-05-08,104.34038543701172
2015-05-11,103.97640228271484
2015-05-12,102.74667358398438
2015-05-13,101.34971618652344
2015-05-14,101.34971618652344
2015-05-15,103.20904541015625
2015-05-18,103.83867645263672
2015-05-19,102.89193725585938
2015-05-20,103.25608825683594
2015-05-21,104.14178466796875
2015-05-22,104.45673370361328
2015-05-26,102.46874237060547
2015-05-27,102.25225830078125
2015-05-28,103.30529022216797
2015-05-29,102.98052215576172
2015-06-01,103.01988220214844
2015-06-02,110.31238555908203
2015-06-03,113.59939575195312
2015-06-04,113.74703216552734
2015-06-05,112.61527252197266
2015-06-08,113.85525512695312
2015-06-09,113.68795776367188
2015-06-10,112.1822280883789
2015-06-11,110.7257080078125
2015-06-12,110.9619140625
2015-06-15,109.40695190429688
2015-06-16,111.1390609741211
2015-06-17,111.12920379638672
2015-06-18,111.39494323730469
2015-06-19,112.78254699707031
2015-06-22,112.82191467285156
2015-06-23,113.03844451904297
2015-06-24,111.88700866699219
2015-06-25,114.40640258789062
2015-06-26,113.66827392578125
2015-06-29,111.1882553100586
2015-06-30,113.37303924560547
2015-07-01,115.38069915771484
2015-07-02,115.941650390625
2015-07-06,114.07178497314453
2015-07-07,113.90447235107422
2015-07-08,111.08984375
2015-07-09,111.07015228271484
2015-07-10,111.79842376708984
2015-07-13,114.68196105957031
2015-07-14,113.9241943359375
2015-07-15,112.9793701171875
2015-07-16,113.58953857421875
2015-07-17,112.28064727783203
2015-07-20,112.61527252197266
2015-07-21,112.46764373779297
2015-07-22,113.27461242675781
2015-07-23,112.83175659179688
2015-07-24,111.25712585449219
2015-07-27,109.73174285888672
2015-07-28,111.61143493652344
2015-07-29,113.86511993408203
2015-07-30,114.31783294677734
2015-07-31,114.19971466064453
2015-08-03,112.644775390625
2015-08-04,112.72354125976562
2015-08-05,115.02641296386719
2015-08-06,113.38286590576172
2015-08-07,111.9952392578125
2015-08-10,113.29431915283203
2015-08-11,111.86731719970703
2015-08-12,110.54855346679688
2015-08-13,110.0073013305664
2015-08-14,112.7038345336914
2015-08-17,113.69783782958984
2015-08-18,114.800048828125
2015-08-19,115.51849365234375
2015-08-20,113.15654754638672
2015-08-21,110.49937438964844
2015-08-24,105.68331146240234
2015-08-25,107.5242691040039
2015-08-26,109.70979309082031
2015-08-27,116.33531951904297
2015-08-28,115.16378021240234
2015-08-31,117.13275909423828
2015-09-01,114.99642944335938
2015-09-02,116.42391967773438
2015-09-03,115.97106170654297
2015-09-04,115.07521057128906
2015-09-08,116.32547760009766
2015-09-09,112.89949798583984
2015-09-10,112.71243286132812
2015-09-11,112.25959014892578
2015-09-14,111.03883361816406
2015-09-15,111.67874145507812
2015-09-16,113.94303894042969
2015-09-17,113.17515563964844
2015-09-18,109.87715911865234
2015-09-21,111.73783874511719
2015-09-22,110.5466079711914
2015-09-23,107.12062072753906
2015-09-24,105.43719482421875
2015-09-25,103.22211456298828
2015-09-28,98.49663543701172
2015-09-29,95.2577133178711
2015-09-30,100.3572998046875
2015-10-01,98.38837432861328
2015-10-02,99.85523223876953
2015-10-05,101.57806396484375
2015-10-06,99.4909896850586
2015-10-07,97.45311737060547
