Date,GD
2015-01-02,107.99085235595703
2015-01-05,105.73666381835938
2015-01-06,105.86145782470703
2015-01-07,105.45588684082031
2015-01-08,107.99864959716797
2015-01-09,108.39642333984375
2015-01-12,107.56184387207031
2015-01-13,107.47605895996094
2015-01-14,107.61709594726562
2015-01-15,107.89917755126953
2015-01-16,108.96475982666016
2015-01-20,108.19688415527344
2015-01-21,108.82371520996094
2015-01-22,110.64151763916016
2015-01-23,110.7276840209961
2015-01-26,109.74044036865234
2015-01-27,107.49954223632812
2015-01-28,106.87272644042969
2015-01-29,105.36843872070312
2015-01-30,104.3733139038086
2015-02-02,106.65335083007812
2015-02-03,108.87071990966797
2015-02-04,108.54167938232422
2015-02-05,108.66702270507812
2015-02-06,109.13712310791016
2015-02-09,107.29585266113281
2015-02-10,108.2517318725586
2015-02-11,107.50741577148438
2015-02-12,108.24388885498047
2015-02-13,107.8208236694336
2015-02-17,108.16556549072266
2015-02-18,108.64350128173828
2015-02-19,109.30950164794922
2015-02-20,111.44852447509766
2015-02-23,110.68067169189453
2015-02-24,111.0097427368164
2015-02-25,109.80311584472656
2015-02-26,109.246826171875
2015-02-27,108.7375259399414
2015-03-02,109.53671264648438
2015-03-03,107.41333770751953
2015-03-04,106.75524139404297
2015-03-05,106.8962631225586
2015-03-06,105.46235656738281
2015-03-09,106.49667358398438
2015-03-10,103.96586608886719
2015-03-11,103.6602783203125
2015-03-12,104.73369598388672
2015-03-13,103.57411193847656
2015-03-16,105.7522964477539
2015-03-17,105.09416961669922
2015-03-18,106.65335083007812
2015-03-19,105.99520874023438
2015-03-20,106.0970687866211
2015-03-23,106.4653091430664
2015-03-24,105.93251037597656
2015-03-25,104.80424499511719
2015-03-26,105.40758514404297
2015-03-27,105.80714416503906
2015-03-30,107.74247741699219
2015-03-31,106.34778594970703
2015-04-01,104.97660827636719
2015-04-02,104.7807388305664
2015-04-06,106.17538452148438
2015-04-07,105.77581024169922
2015-04-08,106.50823211669922
2015-04-09,106.93351745605469
2015-04-10,107.0359115600586
2015-04-13,106.1380844116211
2015-04-14,104.82286834716797
2015-04-15,104.42912292480469
2015-04-16,104.86224365234375
2015-04-17,103.38166046142578
2015-04-20,104.96463012695312
2015-04-21,104.85436248779297
2015-04-22,105.30327606201172
2015-04-23,104.58658599853516
2015-04-24,105.61044311523438
2015-04-27,105.18512725830078
2015-04-28,105.12216186523438
2015-04-29,109.09928131103516
2015-04-30,108.14633178710938
2015-05-01,110.36721801757812
2015-05-04,110.72948455810547
2015-05-05,108.66612243652344
2015-05-06,108.39046478271484
2015-05-07,108.91812896728516
2015-05-08,111.56432342529297
2015-05-11,110.4301986694336
2015-05-12,109.80805969238281
2015-05-13,109.48518371582031
2015-05-14,110.99727630615234
2015-05-15,110.34358215332031
2015-05-18,110.47747802734375
2015-05-19,110.2963638305664
2015-05-20,110.21760559082031
2015-05-21,110.9421157836914
2015-05-22,109.97347259521484
2015-05-26,108.67398834228516
2015-05-27,110.69798278808594
2015-05-28,110.5798568725586
2015-05-29,110.38299560546875
2015-06-01,110.45384216308594
2015-06-02,110.72948455810547
2015-06-03,110.79252624511719
2015-06-04,109.45368194580078
2015-06-05,109.64266967773438
2015-06-08,108.94960021972656
2015-06-09,109.21739196777344
2015-06-10,111.46978759765625
2015-06-11,112.02896118164062
2015-06-12,111.87141418457031
2015-06-15,111.8478012084961
2015-06-16,112.8007583618164
2015-06-17,113.8009262084961
2015-06-18,114.9743881225586
2015-06-19,114.26560974121094
2015-06-22,114.486083984375
2015-06-23,114.486083984375
2015-06-24,114.604248046875
2015-06-25,113.50956726074219
2015-06-26,114.77750396728516
2015-06-29,111.70608520507812
2015-06-30,112.13341522216797
2015-07-01,113.3046875
2015-07-02,113.28887939453125
2015-07-06,113.439208984375
2015-07-07,113.68453216552734
2015-07-08,112.5844955444336
2015-07-09,113.8665771484375
2015-07-10,115.62348175048828
2015-07-13,115.72637939453125
2015-07-14,116.31199645996094
2015-07-15,116.53358459472656
2015-07-16,117.48332977294922
2015-07-17,117.64152526855469
2015-07-20,117.92646789550781
2015-07-21,115.77384948730469
2015-07-22,114.92706298828125
2015-07-23,114.59469604492188
2015-07-24,112.86939239501953
2015-07-27,112.70323944091797
2015-07-28,114.19105529785156
2015-07-29,118.67831420898438
2015-07-30,118.93154907226562
2015-07-31,118.00560760498047
2015-08-03,117.79985809326172
2015-08-04,117.76026916503906
2015-08-05,118.56748962402344
2015-08-06,118.28260040283203
2015-08-07,118.48837280273438
2015-08-10,120.26107025146484
2015-08-11,119.1847915649414
2015-08-12,119.0185775756836
2015-08-13,119.13729858398438
2015-08-14,119.98410034179688
2015-08-17,120.9654541015625
2015-08-18,121.30574035644531
2015-08-19,120.88628387451172
2015-08-20,117.8631362915039
2015-08-21,114.88741302490234
2015-08-24,111.43700408935547
2015-08-25,109.8779067993164
2015-08-26,114.00112915039062
2015-08-27,114.88741302490234
2015-08-28,114.38102722167969
2015-08-31,112.40248107910156
2015-09-01,109.9175033569336
2015-09-02,112.73487854003906
2015-09-03,113.49462890625
2015-09-04,111.72978973388672
2015-09-08,114.27022552490234
2015-09-09,112.7507095336914
2015-09-10,111.35784912109375
2015-09-11,112.28380584716797
2015-09-14,111.31031799316406
2015-09-15,112.21253967285156
2015-09-16,112.25215148925781
2015-09-17,112.0305404663086
2015-09-18,110.19446563720703
2015-09-21,110.5743637084961
2015-09-22,109.17355346679688
2015-09-23,108.08147430419922
2015-09-24,109.61675262451172
2015-09-25,109.22899627685547
2015-09-28,106.92601776123047
2015-09-29,107.30589294433594
2015-09-30,109.17355346679688
2015-10-01,109.35558319091797
