date,GGP
2015-01-02,25.1775520095
2015-01-05,25.3451083977
2015-01-06,25.7066774458
2015-01-07,26.2887154257
2015-01-08,26.526821872
2015-01-09,26.6150094447
2015-01-12,26.8002033474
2015-01-13,26.6326469593
2015-01-14,26.8795721629
2015-01-15,26.7825658329
2015-01-16,26.8354783765
2015-01-20,26.720834532
2015-01-21,26.7825658329
2015-01-22,27.5233414437
2015-01-23,27.3822413273
2015-01-26,27.7438103755
2015-01-27,27.6379852882
2015-01-28,27.5233414437
2015-01-29,27.2852349973
2015-01-30,26.6150094447
2015-02-02,26.3857217557
2015-02-03,26.9236659492
2015-02-04,26.9236659492
2015-02-05,26.9853972501
2015-02-06,26.200527853
2015-02-09,26.0153339503
2015-02-10,26.0153339503
2015-02-11,25.9271463776
2015-02-12,26.0417902221
2015-02-13,25.7948650185
2015-02-17,25.9006901058
2015-02-18,26.1740715812
2015-02-19,25.5920336013
2015-02-20,26.0506089794
2015-02-23,26.2710779111
2015-02-24,25.6625836594
2015-02-25,25.680221174
2015-02-26,25.3451083977
2015-02-27,25.583214844
2015-03-02,25.777227504
2015-03-03,25.7684087467
2015-03-04,25.583214844
2015-03-05,25.6184898731
2015-03-06,24.868895505
2015-03-09,25.3098333686
2015-03-10,25.4156584558
2015-03-11,25.6008523585
2015-03-12,25.777227504
2015-03-13,26.1476153094
2015-03-16,26.5532781438
2015-03-17,26.5532781438
2015-03-18,27.2852349973
2015-03-19,26.9677597356
2015-03-20,27.338147541
2015-03-23,27.2764162401
2015-03-24,27.0294910365
2015-03-25,26.5091843575
2015-03-26,26.1211590375
2015-03-27,26.0594277366
2015-03-30,26.4386342993
2015-03-31,26.0594277366
2015-04-01,26.2798966684
2015-04-02,26.4915468429
2015-04-06,26.8090221047
2015-04-07,26.2622591539
2015-04-08,26.0329714648
2015-04-09,25.5303023004
2015-04-10,25.4068396986
2015-04-13,25.6273086303
2015-04-14,25.6627912314
2015-04-15,25.3878010731
2015-04-16,25.4232836741
2015-04-17,25.3345771714
2015-04-20,25.3168358709
2015-04-21,25.4587662752
2015-04-22,25.4321543244
2015-04-23,25.485378226
2015-04-24,25.5297314774
2015-04-27,25.4144130239
2015-04-28,25.1749054666
2015-04-29,24.7402436033
2015-04-30,24.3055817401
2015-05-01,24.7579849039
2015-05-04,24.4031588931
2015-05-05,23.9330144288
2015-05-06,23.711248172
2015-05-07,24.039462232
2015-05-08,24.5717012482
2015-05-11,24.1902632866
2015-05-12,24.2878404396
2015-05-13,24.3321936909
2015-05-14,25.0950696141
2015-05-15,25.2813532698
2015-05-18,25.3079652206
2015-05-19,25.3789304228
2015-05-20,25.254741319
2015-05-21,25.1039402644
2015-05-22,25.2103880677
2015-05-26,25.0861989639
2015-05-27,25.3878010731
2015-05-28,25.3434478217
2015-05-29,25.1305522152
2015-06-01,25.2724826195
2015-06-02,25.0418457125
2015-06-03,24.4386414942
2015-06-04,24.3055817401
2015-06-05,23.9241437785
2015-06-08,23.7644720736
2015-06-09,23.4983525655
2015-06-10,23.6402829698
2015-06-11,23.7644720736
2015-06-12,23.7644720736
2015-06-15,23.8176959752
2015-06-16,23.9507557293
2015-06-17,24.0305915817
2015-06-18,24.4918653958
2015-06-19,24.039462232
2015-06-22,23.6491536201
2015-06-23,23.5427058169
2015-06-24,23.3919047623
2015-06-25,23.1080439536
2015-06-26,23.3209395601
2015-06-29,22.8064418445
2015-06-30,22.7620885931
2015-07-01,23.152397205
2015-07-02,23.2588450082
2015-07-06,23.1967504563
2015-07-07,23.808825325
2015-07-08,23.6048003688
2015-07-09,23.4007754125
2015-07-10,23.4007754125
2015-07-13,23.4628699644
2015-07-14,23.6235745532
2015-07-15,23.7574950439
2015-07-16,23.9985519271
2015-07-17,23.6325025859
2015-07-20,23.6592866841
2015-07-21,23.6503586514
2015-07-22,23.784279142
2015-07-23,23.4182298009
2015-07-24,23.4807260299
2015-07-27,23.6592866841
2015-07-28,23.7932071747
2015-07-29,24.0878322542
2015-07-30,24.0164079925
2015-07-31,24.2306807776
2015-08-03,24.3199611047
2015-08-04,24.0431920907
2015-08-05,24.1771125813
2015-08-06,24.4985217589
2015-08-07,24.775290773
2015-08-10,24.5788740533
2015-08-11,25.0342037216
2015-08-12,24.9359953618
2015-08-13,24.8467150346
2015-08-14,24.8824271655
2015-08-17,25.0163476561
2015-08-18,24.9538514272
2015-08-19,24.8913551982
2015-08-20,24.6324422496
2015-08-21,24.2931770066
2015-08-24,22.9896842308
2015-08-25,22.2486575157
2015-08-26,22.9986122635
2015-08-27,23.4182298009
2015-08-28,23.2753812775
2015-08-31,22.6593470205
2015-09-01,22.0968809597
2015-09-02,22.3736499737
2015-09-03,22.4807863662
2015-09-04,21.8558240765
2015-09-08,22.1236650578
2015-09-09,21.7843998148
2015-09-10,21.7576157166
2015-09-11,22.2754416139
2015-09-14,22.2754416139
2015-09-15,22.5164984971
2015-09-16,22.7575553803
2015-09-17,22.980756198
2015-09-18,22.9629001326
2015-09-21,23.230741114
2015-09-22,22.828979642
2015-09-23,22.8825478382
2015-09-24,22.3736499737
2015-09-25,22.6950591513
2015-09-28,22.2932976793
2015-09-29,22.828979642
2015-09-30,23.1861009504
2015-10-01,23.5967904551
2015-10-02,23.6235745532
2015-10-05,24.1771125813
2015-10-06,23.7932071747
2015-10-07,24.0164079925
2015-10-08,24.3824573337
2015-10-09,24.2306807776
2015-10-12,24.3199611047
2015-10-13,24.1503284832
2015-10-14,24.0964014378
2015-10-15,24.3210974602
2015-10-16,24.4828785963
2015-10-19,24.9772098455
2015-10-20,25.0221490499
2015-10-21,25.0221490499
2015-10-22,25.7052249579
2015-10-23,25.6063587081
2015-10-26,25.786115526
2015-10-27,25.9478966621
2015-10-28,26.0108115483
2015-10-29,26.1006899573
2015-10-30,26.0197993892
2015-11-02,26.5590698429
2015-11-03,25.7951033669
2015-11-04,25.7771276851
2015-11-05,25.9209331394
2015-11-06,24.7165624595
2015-11-09,23.9346203017
2015-11-10,24.1233649605
2015-11-11,24.0334865516
2015-11-12,23.7009364385
2015-11-13,22.631383372
2015-11-16,22.8470915535
2015-11-17,22.5774563267
2015-11-18,22.8470915535
2015-11-19,22.8830429171
2015-11-20,23.1796416666
2015-11-23,23.2785079164
2015-11-24,23.0448240532
2015-11-25,22.972921326
2015-11-27,23.2785079164
2015-11-30,22.892030758
2015-12-01,23.4672525752
2015-12-02,22.802152349
2015-12-03,22.7662009855
2015-12-04,23.7009364385
2015-12-07,23.485228257
2015-12-08,23.7009364385
2015-12-09,23.7548634838
2015-12-10,23.4582647343
2015-12-11,23.4762404161
2015-12-14,23.6120458948
2015-12-15,23.8746031536
2015-12-16,24.4630935612
2015-12-17,24.2910732882
2015-12-18,23.7387976749
2015-12-21,23.7116365792
2015-12-22,23.7931198664
2015-12-23,24.4178250684
2015-12-24,24.4721472598
2015-12-28,24.5898453414
2015-12-29,24.8433489016
2015-12-30,24.8161878058
2015-12-31,24.6351138343
