date,HES
2015-01-02,62.3188031855
2015-01-05,59.3012080488
2015-01-06,58.3850022831
2015-01-07,58.2505133633
2015-01-08,59.99886932
2015-01-09,59.7803248254
2015-01-12,57.5192298622
2015-01-13,56.8972186084
2015-01-14,58.2000800184
2015-01-15,57.0905464306
2015-01-16,58.8557135022
2015-01-20,58.4774634154
2015-01-21,60.0240859924
2015-01-22,60.5788527864
2015-01-23,59.5365636584
2015-01-26,60.2258193721
2015-01-27,60.1921971421
2015-01-28,55.4934905086
2015-01-29,55.2245126691
2015-01-30,56.7291074588
2015-02-02,58.9061468471
2015-02-03,61.0915917929
2015-02-04,60.5284194415
2015-02-05,61.5034641096
2015-02-06,61.3353529599
2015-02-09,62.0162031161
2015-02-10,61.1840529252
2015-02-11,61.1924584827
2015-02-12,62.7979199621
2015-02-13,64.5798981487
2015-02-17,65.0085815804
2015-02-18,64.8068482008
2015-02-19,64.2857036368
2015-02-20,64.1344036021
2015-02-23,63.7729646303
2015-02-24,64.2941091943
2015-02-25,64.428598114
2015-02-26,63.403120101
2015-02-27,63.108925589
2015-03-02,62.2935865131
2015-03-03,62.6129976975
2015-03-04,62.9071922094
2015-03-05,61.7808475066
2015-03-06,60.0072748775
2015-03-09,59.1919358015
2015-03-10,58.2000800184
2015-03-11,58.5026800879
2015-03-12,57.8050188167
2015-03-13,57.9983466388
2015-03-16,58.2757300358
2015-03-17,57.8134243742
2015-03-18,58.8595158119
2015-03-19,56.8601313705
2015-03-20,57.65313617
2015-03-23,57.2144526639
2015-03-24,57.433794417
2015-03-25,58.2942889867
2015-03-26,58.1255645612
2015-03-27,56.8348227067
2015-03-30,57.838733038
2015-03-31,57.2566337703
2015-04-01,58.3617787568
2015-04-02,58.3786511994
2015-04-06,61.1879128828
2015-04-07,61.0360608999
2015-04-08,60.6142498363
2015-04-09,61.0613695637
2015-04-10,61.6856499378
2015-04-13,61.348201087
2015-04-14,62.9595193498
2015-04-15,65.8784519098
2015-04-16,65.8193983609
2015-04-17,65.3469699697
2015-04-20,65.5325668377
2015-04-21,63.2210422093
2015-04-22,63.5078737325
2015-04-23,63.9465572386
2015-04-24,63.4488201836
2015-04-27,63.4572564049
2015-04-28,64.7479982594
2015-04-29,65.7772172546
2015-04-30,64.8745415785
