date,VAR
2015-01-02,87.02
2015-01-05,85.74
2015-01-06,84.86
2015-01-07,86.84
2015-01-08,88.84
2015-01-09,87.38
2015-01-12,87.39
2015-01-13,86.89
2015-01-14,87.12
2015-01-15,86.15
2015-01-16,87.59
2015-01-20,86.86
2015-01-21,86.85
2015-01-22,88.25
2015-01-23,87.23
2015-01-26,87.28
2015-01-27,87.07
2015-01-28,86.52
2015-01-29,94.04
2015-01-30,92.56
2015-02-02,92.86
2015-02-03,92.65
2015-02-04,91.91
2015-02-05,92.05
2015-02-06,92.53
2015-02-09,92.25
2015-02-10,92.53
2015-02-11,92.32
2015-02-12,92.62
2015-02-13,92.65
2015-02-17,92.86
2015-02-18,93.77
2015-02-19,92.61
2015-02-20,92.9
2015-02-23,93.16
2015-02-24,93.54
2015-02-25,93.61
2015-02-26,92.45
2015-02-27,92.97
2015-03-02,94.17
2015-03-03,93.9
2015-03-04,93.78
2015-03-05,94.22
2015-03-06,93.18
2015-03-09,94.37
2015-03-10,92.53
2015-03-11,92.97
2015-03-12,94.64
2015-03-13,93.4
2015-03-16,94.91
2015-03-17,94.34
2015-03-18,94.57
2015-03-19,94.79
2015-03-20,94.51
2015-03-23,94.6
2015-03-24,93.72
2015-03-25,92.72
2015-03-26,92.87
2015-03-27,93.74
2015-03-30,94.79
2015-03-31,94.09
2015-04-01,93.06
2015-04-02,93.79
2015-04-06,94.55
2015-04-07,94.05
2015-04-08,94.13
2015-04-09,94.17
2015-04-10,94.39
2015-04-13,94.31
2015-04-14,93.99
2015-04-15,94.58
2015-04-16,95.09
2015-04-17,93.78
2015-04-20,94.9
2015-04-21,95.45
2015-04-22,95.97
2015-04-23,96.14
2015-04-24,95.5
2015-04-27,94.89
2015-04-28,94.8
2015-04-29,94.82
2015-04-30,88.85
2015-05-01,88.59
2015-05-04,88.39
2015-05-05,86.64
2015-05-06,86.7
2015-05-07,87.19
2015-05-08,87.94
2015-05-11,87.64
2015-05-12,86.9
2015-05-13,86.06
2015-05-14,87.59
2015-05-15,87.25
2015-05-18,87.66
2015-05-19,87.44
2015-05-20,87.55
2015-05-21,87.51
2015-05-22,87.57
2015-05-26,86.37
2015-05-27,87.11
2015-05-28,87.4
2015-05-29,86.6
2015-06-01,85.91
2015-06-02,86.46
2015-06-03,87.53
2015-06-04,86.69
2015-06-05,86.82
2015-06-08,86.15
2015-06-09,85.94
2015-06-10,86.26
2015-06-11,86.63
2015-06-12,85.78
2015-06-15,85.31
2015-06-16,86.08
2015-06-17,85.97
2015-06-18,87.71
2015-06-19,88.0
2015-06-22,88.04
2015-06-23,87.35
2015-06-24,86.02
2015-06-25,85.32
2015-06-26,85.29
2015-06-29,83.6
2015-06-30,84.33
2015-07-01,84.38
2015-07-02,85.91
2015-07-06,86.09
2015-07-07,86.45
2015-07-08,84.8
2015-07-09,84.98
2015-07-10,86.8
2015-07-13,87.79
2015-07-14,87.87
2015-07-15,87.36
2015-07-16,87.86
2015-07-17,87.7
2015-07-20,87.72
2015-07-21,87.26
2015-07-22,87.79
2015-07-23,87.58
2015-07-24,87.14
2015-07-27,87.31
2015-07-28,89.33
2015-07-29,90.39
2015-07-30,86.0
2015-07-31,86.07
2015-08-03,85.74
2015-08-04,86.19
2015-08-05,87.34
2015-08-06,86.55
2015-08-07,86.11
2015-08-10,87.21
2015-08-11,86.19
2015-08-12,86.82
2015-08-13,87.01
2015-08-14,86.91
2015-08-17,87.3
2015-08-18,87.46
2015-08-19,86.65
2015-08-20,85.08
2015-08-21,83.07
2015-08-24,78.98
2015-08-25,77.1
2015-08-26,79.77
2015-08-27,81.82
2015-08-28,82.47
2015-08-31,81.25
2015-09-01,78.75
2015-09-02,80.65
2015-09-03,80.75
2015-09-04,79.2
2015-09-08,80.63
2015-09-09,79.43
2015-09-10,79.58
2015-09-11,79.25
2015-09-14,78.92
2015-09-15,78.85
2015-09-16,78.73
2015-09-17,78.64
2015-09-18,77.61
2015-09-21,78.53
2015-09-22,77.25
2015-09-23,76.79
2015-09-24,75.75
2015-09-25,75.27
2015-09-28,71.44
2015-09-29,73.25
2015-09-30,73.78
2015-10-01,73.73
2015-10-02,75.19
2015-10-05,76.08
2015-10-06,75.42
2015-10-07,76.69
2015-10-08,77.42
2015-10-09,77.97
2015-10-12,76.82
2015-10-13,75.95
2015-10-14,75.42
2015-10-15,76.97
2015-10-16,77.08
2015-10-19,78.47
2015-10-20,75.3
2015-10-21,75.19
2015-10-22,75.9
2015-10-23,77.26
2015-10-26,77.02
2015-10-27,76.17
2015-10-28,77.15
2015-10-29,78.55
2015-10-30,78.53
2015-11-02,78.62
2015-11-03,79.03
2015-11-04,79.42
2015-11-05,80.34
2015-11-06,80.88
2015-11-09,80.69
2015-11-10,80.78
2015-11-11,80.72
2015-11-12,78.5
2015-11-13,78.47
2015-11-16,79.14
2015-11-17,78.51
2015-11-18,79.5
2015-11-19,79.38
2015-11-20,80.62
2015-11-23,80.81
2015-11-24,80.91
2015-11-25,80.7
2015-11-27,80.8
2015-11-30,80.78
2015-12-01,81.62
2015-12-02,81.25
2015-12-03,79.63
2015-12-04,80.23
2015-12-07,80.56
2015-12-08,79.53
2015-12-09,78.81
2015-12-10,78.61
2015-12-11,77.66
2015-12-14,77.9
2015-12-15,78.62
2015-12-16,79.63
2015-12-17,78.45
2015-12-18,78.9
2015-12-21,79.41
2015-12-22,80.19
2015-12-23,80.79
2015-12-24,81.12
2015-12-28,81.09
2015-12-29,81.82
2015-12-30,81.35
2015-12-31,80.8
