date,ADI
2015-01-02,44.222936465
2015-01-05,43.4147571255
2015-01-06,42.3995564775
2015-01-07,42.8454485268
2015-01-08,43.6018725391
2015-01-09,43.570023107
2015-01-12,43.1320934157
2015-01-13,42.6384272182
2015-01-14,42.6065777861
2015-01-15,41.9855138602
2015-01-16,42.7499002305
2015-01-20,43.3072652922
2015-01-21,43.4585500947
2015-01-22,43.5939101811
2015-01-23,43.4028135885
2015-01-26,43.5222489589
2015-01-27,42.4951047738
2015-01-28,42.1407798417
2015-01-29,42.3836317614
2015-01-30,41.4878664837
2015-02-02,41.6391512862
2015-02-03,42.9728462552
2015-02-04,42.8215614528
2015-02-05,43.7531573416
2015-02-06,43.7969503107
2015-02-09,43.4386441996
2015-02-10,44.222936465
2015-02-11,44.2866353292
2015-02-12,45.1585135328
2015-02-13,45.4252525266
2015-02-17,46.8266275388
2015-02-18,46.4842461438
2015-02-19,46.6992298104
2015-02-20,47.0814229956
2015-02-23,46.9619876252
2015-02-24,47.4636161807
2015-02-25,47.2884443042
2015-02-26,47.2002644623
2015-02-27,46.9277085873
2015-03-02,47.9177277214
2015-03-03,47.0880355726
2015-03-04,46.8154796976
2015-03-05,46.855561444
2015-03-06,46.4387112823
2015-03-09,46.8635777932
2015-03-10,45.8535177861
2015-03-11,45.9256649294
2015-03-12,46.1020246132
2015-03-13,46.1180573117
2015-03-16,47.1321254935
2015-03-17,47.1040682711
2015-03-18,47.8335560541
2015-03-19,48.0980955798
2015-03-20,48.9558449509
2015-03-23,48.4187495503
2015-03-24,48.3866841533
2015-03-25,46.1421063595
2015-03-26,46.0258692952
2015-03-27,47.1681990652
2015-03-30,51.9539595754
2015-03-31,50.5030003588
2015-04-01,50.1582973404
2015-04-02,49.8937578148
2015-04-06,50.326640675
2015-04-07,50.6953927411
2015-04-08,51.0400957594
2015-04-09,51.3286843329
2015-04-10,51.4930194928
2015-04-13,51.1042265535
2015-04-14,50.1582973404
2015-04-15,51.2445126656
2015-04-16,51.3888069524
2015-04-17,50.8396870278
2015-04-20,51.0801775057
2015-04-21,51.6012402078
2015-04-22,51.697436399
2015-04-23,50.9759649653
2015-04-24,50.1262319434
2015-04-27,50.2384608331
2015-04-28,50.6793600426
2015-04-29,50.358706072
2015-04-30,49.5731038442
2015-05-01,50.7194417889
2015-05-04,50.7034090903
2015-05-05,49.5129812247
2015-05-06,49.412776859
2015-05-07,49.7334308295
2015-05-08,50.2785425794
2015-05-11,50.2144117853
2015-05-12,49.7654962265
2015-05-13,49.8937578148
2015-05-14,50.8236543293
2015-05-15,50.6432864709
2015-05-18,50.7915889322
2015-05-19,50.8637360756
2015-05-20,53.0521994245
2015-05-21,52.4990713253
2015-05-22,53.7856953821
2015-05-26,53.5892948251
2015-05-27,55.0643030896
2015-05-28,55.0804296976
2015-05-29,54.7982140572
2015-06-01,55.4352150741
2015-06-02,54.596631457
2015-06-03,54.2579726885
2015-06-04,53.9757570481
