date,ADI
2015-06-05,54.3224791206
2015-06-08,53.1774899511
2015-06-09,52.9678440468
2015-06-10,54.604694761
2015-06-11,54.2015295604
2015-06-12,53.4274523754
2015-06-15,53.7822377519
2015-06-16,53.7257946238
2015-06-17,54.2095928644
2015-06-18,55.0723663936
2015-06-19,54.7578975372
2015-06-22,54.8465938813
2015-06-23,54.4514919848
2015-06-24,53.895124008
2015-06-25,53.6935414077
2015-06-26,53.0565403909
2015-06-29,51.5970823649
2015-06-30,51.7543167932
2015-07-01,52.0647539976
2015-07-02,51.9115512214
2015-07-06,51.2745502045
2015-07-07,51.1052208203
2015-07-08,49.9441050427
2015-07-09,49.0974581216
2015-07-10,49.5973829703
2015-07-13,49.8876619147
2015-07-14,50.4924097155
2015-07-15,50.7343088358
2015-07-16,50.6617390997
2015-07-17,50.3633968513
2015-07-20,49.9844215628
2015-07-21,50.0569912989
2015-07-22,47.2912780232
2015-07-23,48.4201405847
2015-07-24,47.162265159
2015-07-27,46.6784669184
2015-07-28,47.5654303596
2015-07-29,47.4041642793
2015-07-30,47.4283541914
2015-07-31,47.0332522948
2015-08-03,47.3074046312
2015-08-04,47.154201855
2015-08-05,48.9442553454
2015-08-06,47.4686707114
2015-08-07,48.0653552082
2015-08-10,49.2587242018
2015-08-11,47.879899216
2015-08-12,48.1701781604
2015-08-13,47.5734936636
2015-08-14,47.4444807994
2015-08-17,47.9766588641
2015-08-18,46.6865302224
2015-08-19,47.0735688149
2015-08-20,43.396702186
2015-08-21,43.3644489699
2015-08-24,41.6630918237
2015-08-25,40.8083815985
2015-08-26,44.0417665069
2015-08-27,45.8775170105
2015-08-28,45.8531486409
2015-08-31,45.3739040404
2015-09-01,43.4975395876
2015-09-02,44.3423097309
2015-09-03,44.8134315416
2015-09-04,43.830573971
2015-09-08,46.9253568997
2015-09-09,45.7069384238
2015-09-10,45.495745888
2015-09-11,45.7719207426
2015-09-14,46.7547783131
2015-09-15,47.3558647611
2015-09-16,47.4777066087
2015-09-17,47.0553215371
2015-09-18,46.0318500174
2015-09-21,45.999358858
2015-09-22,44.8215543314
2015-09-23,44.8377999111
2015-09-24,43.8630651304
2015-09-25,44.2204678833
2015-09-28,43.4325572689
2015-09-29,43.9036790796
2015-09-30,45.8206574816
2015-10-01,44.6266073753
2015-10-02,45.2358166132
2015-10-05,46.6491820452
2015-10-06,46.2105513939
2015-10-07,47.0065847981
2015-10-08,46.8847429505
2015-10-09,46.0480955971
2015-10-12,45.9587449088
2015-10-13,45.5282370474
2015-10-14,49.5408952278
2015-10-15,49.7764561332
2015-10-16,48.8910720407
2015-10-19,48.9154404102
2015-10-20,49.0616506273
2015-10-21,50.1582272556
2015-10-22,51.498487579
2015-10-23,51.6771889555
2015-10-26,49.9795258791
2015-10-27,49.8658068214
2015-10-28,50.2475779438
2015-10-29,48.7204934541
2015-10-30,48.8342125118
2015-11-02,49.0129138883
2015-11-03,49.2728431631
2015-11-04,49.1347557359
2015-11-05,49.029159468
2015-11-06,50.1176133064
2015-11-09,49.5165268583
2015-11-10,48.7123706643
2015-11-11,48.6555111354
2015-11-12,48.2981083825
2015-11-13,47.2177773339
2015-11-16,47.5020749782
2015-11-17,48.168143745
2015-11-18,49.3378254819
2015-11-19,48.5499148675
2015-11-20,48.2656172231
2015-11-23,46.1374462853
2015-11-24,49.077896207
2015-11-25,48.9398087797
2015-11-27,49.1022645765
2015-11-30,50.0607537775
2015-12-01,50.0120170385
2015-12-02,49.6627370754
2015-12-03,48.2809454116
2015-12-04,48.4117659242
2015-12-07,47.8312498998
2015-12-08,47.4387883621
2015-12-09,46.3186377234
2015-12-10,46.7274518252
2015-12-11,46.5475736204
2015-12-14,46.457634518
2015-12-15,46.2368749031
2015-12-16,47.0381505425
2015-12-17,45.8852947756
2015-12-18,45.1085479824
2015-12-21,45.6481825966
2015-12-22,45.7994438143
2015-12-23,46.1796409289
2015-12-24,46.441281954
2015-12-28,46.1551120828
2015-12-29,46.8582723377
2015-12-30,46.2368749031
2015-12-31,45.2311922129
