Date,IBM
2015-01-02,96.85394287109375
2015-01-05,95.32994842529297
2015-01-06,93.2740478515625
2015-01-07,92.66446685791016
2015-01-08,94.67850494384766
2015-01-09,95.09083557128906
2015-01-12,93.49515533447266
2015-01-13,93.71630859375
2015-01-14,93.1126937866211
2015-01-15,92.37757110595703
2015-01-16,93.91352844238281
2015-01-20,93.80001068115234
2015-01-21,90.89543914794922
2015-01-22,92.86763763427734
2015-01-23,93.15451049804688
2015-01-26,93.44739532470703
2015-01-27,91.83973693847656
2015-01-28,90.57270050048828
2015-01-29,92.92140197753906
2015-01-30,91.62455749511719
2015-02-02,92.43136596679688
2015-02-03,94.70841979980469
2015-02-04,93.80593872070312
2015-02-05,94.3736801147461
2015-02-06,94.31954193115234
2015-02-09,93.73577880859375
2015-02-10,95.4269027709961
2015-02-11,95.21027374267578
2015-02-12,95.40283966064453
2015-02-13,96.53431701660156
2015-02-17,96.87134552001953
2015-02-18,97.611572265625
2015-02-19,98.63468933105469
2015-02-20,98.49026489257812
2015-02-23,98.0448989868164
2015-02-24,99.2004165649414
2015-02-25,97.98470306396484
2015-02-26,96.81715393066406
2015-02-27,97.46110534667969
2015-03-02,96.58244323730469
2015-03-03,96.91345977783203
2015-03-04,95.94450378417969
2015-03-05,97.00373077392578
2015-03-06,95.39078521728516
2015-03-09,96.7569808959961
2015-03-10,94.97554779052734
2015-03-11,94.36768341064453
2015-03-12,95.07787322998047
2015-03-13,92.85108947753906
2015-03-16,94.53621673583984
2015-03-17,94.4639663696289
2015-03-18,96.17919921875
2015-03-19,96.17919921875
2015-03-20,98.02681732177734
2015-03-23,99.0800552368164
2015-03-24,98.09907531738281
2015-03-25,95.81210327148438
2015-03-26,96.64863586425781
2015-03-27,96.53431701660156
2015-03-30,97.90045928955078
2015-03-31,96.59446716308594
2015-04-01,95.8000717163086
2015-04-02,96.56438446044922
2015-04-06,97.52134704589844
2015-04-07,97.53935241699219
2015-04-08,97.40692901611328
2015-04-09,97.7018814086914
2015-04-10,98.01481628417969
2015-04-13,97.7259292602539
2015-04-14,97.6777572631836
2015-04-15,98.77914428710938
2015-04-16,98.17728424072266
2015-04-17,96.69679260253906
2015-04-20,100.0008773803711
2015-04-21,98.85738372802734
2015-04-22,99.51942443847656
2015-04-23,102.45633697509766
2015-04-24,102.1795425415039
2015-04-27,102.75123596191406
2015-04-28,104.67109680175781
2015-04-29,104.95997619628906
2015-04-30,103.08827209472656
2015-05-01,104.52064514160156
2015-05-04,104.70123291015625
2015-05-05,104.16556549072266
2015-05-06,103.11650848388672
2015-05-07,103.68651580810547
2015-05-08,104.7112808227539
2015-05-11,103.76534271240234
2015-05-12,103.4197006225586
2015-05-13,104.46873474121094
2015-05-14,105.54207611083984
2015-05-15,105.06299591064453
2015-05-18,104.9417495727539
2015-05-19,105.19639587402344
2015-05-20,105.36624145507812
2015-05-21,105.1115493774414
2015-05-22,104.43235778808594
2015-05-26,103.16500091552734
2015-05-27,104.29900360107422
2015-05-28,104.12310791015625
2015-05-29,102.87395477294922
2015-06-01,103.1953353881836
2015-06-02,102.87395477294922
2015-06-03,103.0376968383789
2015-06-04,102.10382080078125
2015-06-05,101.50957489013672
2015-06-08,100.26043701171875
2015-06-09,100.46656799316406
2015-06-10,102.43126678466797
2015-06-11,102.34642791748047
2015-06-12,101.2609634399414
2015-06-15,100.81827545166016
2015-06-16,101.16999816894531
2015-06-17,101.37010192871094
2015-06-18,102.0250244140625
2015-06-19,101.2609634399414
2015-06-22,101.70967864990234
2015-06-23,102.2493896484375
2015-06-24,101.24879455566406
2015-06-25,100.70911407470703
2015-06-26,100.33319091796875
2015-06-29,98.8232650756836
2015-06-30,98.63530731201172
2015-07-01,99.74496459960938
2015-07-02,100.10882568359375
2015-07-06,99.89054870605469
2015-07-07,100.05421447753906
2015-07-08,98.9384994506836
2015-07-09,99.35686492919922
2015-07-10,101.23668670654297
2015-07-13,102.71023559570312
2015-07-14,102.24330139160156
2015-07-15,102.19479370117188
2015-07-16,103.69255828857422
2015-07-17,104.60820770263672
2015-07-20,105.03877258300781
2015-07-21,98.88394927978516
2015-07-22,97.23456573486328
2015-07-23,98.07133483886719
2015-07-24,96.87071990966797
2015-07-27,96.4583740234375
2015-07-28,97.05259704589844
2015-07-29,97.68327331542969
2015-07-30,97.60445404052734
2015-07-31,98.22901916503906
2015-08-03,96.24005126953125
2015-08-04,95.56695556640625
2015-08-05,95.74888610839844
2015-08-06,95.57767486572266
2015-08-07,94.84398651123047
2015-08-10,95.84062194824219
2015-08-11,95.08242797851562
2015-08-12,95.47986602783203
2015-08-13,94.81340789794922
2015-08-14,95.22918701171875
2015-08-17,95.57157897949219
2015-08-18,95.38813018798828
2015-08-19,94.12249755859375
2015-08-20,93.33987426757812
2015-08-21,91.01033020019531
2015-08-24,87.72090148925781
2015-08-25,86.18621826171875
2015-08-26,89.69578552246094
2015-08-27,90.82080078125
2015-08-28,90.47840881347656
2015-08-31,90.42335510253906
2015-09-01,87.23787689208984
2015-09-02,88.68692016601562
2015-09-03,89.74469757080078
2015-09-04,87.86153411865234
2015-09-08,90.01983642578125
2015-09-09,88.68692016601562
2015-09-10,89.39007568359375
2015-09-11,90.10542297363281
2015-09-14,89.0538101196289
2015-09-15,90.2032699584961
2015-09-16,90.74132537841797
2015-09-17,90.57621765136719
2015-09-18,88.35677337646484
2015-09-21,89.5612564086914
2015-09-22,88.307861328125
2015-09-23,87.83706665039062
2015-09-24,88.29563903808594
2015-09-25,88.91316223144531
2015-09-28,87.14002990722656
2015-09-29,87.10946655273438
2015-09-30,88.6380386352539
2015-10-01,87.79426574707031
2015-10-02,88.39958190917969
2015-10-05,91.12654113769531
2015-10-06,90.96754455566406
2015-10-07,91.76852416992188
2015-10-08,93.10752868652344
2015-10-09,93.17475891113281
2015-10-12,92.4104995727539
2015-10-13,91.48112487792969
2015-10-14,91.7195816040039
2015-10-15,91.76852416992188
2015-10-16,91.95194244384766
2015-10-19,91.236572265625
2015-10-20,85.99057006835938
2015-10-21,86.16175842285156
2015-10-22,88.09996032714844
2015-10-23,88.4607162475586
2015-10-26,87.83706665039062
2015-10-27,84.29080963134766
2015-10-28,86.10672760009766
2015-10-29,85.935546875
2015-10-30,85.648193359375
2015-11-02,85.82545471191406
2015-11-03,86.74872589111328
2015-11-04,86.59590148925781
2015-11-05,85.531982421875
2015-11-06,85.3221664428711
2015-11-09,83.50772094726562
2015-11-10,83.60646057128906
2015-11-11,83.32874298095703
2015-11-12,82.10677337646484
2015-11-13,81.31063079833984
2015-11-16,82.52027130126953
2015-11-17,82.58812713623047
2015-11-18,83.82245635986328
2015-11-19,84.39026641845703
2015-11-20,85.47643280029297
2015-11-23,85.45176696777344
2015-11-24,85.5381851196289
2015-11-25,85.1678695678711
2015-11-27,85.45176696777344
2015-11-30,86.04422760009766
2015-12-01,87.19215393066406
2015-12-02,86.21705627441406
2015-12-03,85.73563385009766
2015-12-04,86.66757202148438
2015-12-07,86.12448120117188
2015-12-08,85.19873809814453
2015-12-09,84.3100357055664
2015-12-10,84.41493225097656
