Date,DGX
2015-01-02,54.74216842651367
2015-01-05,53.40078353881836
2015-01-06,52.599151611328125
2015-01-07,53.265869140625
2015-01-08,54.670738220214844
2015-01-09,54.54314041137695
2015-01-12,54.31184005737305
2015-01-13,54.16828918457031
2015-01-14,54.33577346801758
2015-01-15,53.849281311035156
2015-01-16,55.61978530883789
2015-01-20,55.9228515625
2015-01-21,55.43635559082031
2015-01-22,57.43018341064453
2015-01-23,56.53694534301758
2015-01-26,57.063323974609375
2015-01-27,56.87987518310547
2015-01-28,56.28175354003906
2015-01-29,56.696468353271484
2015-01-30,56.68051528930664
2015-02-02,57.22282791137695
2015-02-03,57.868831634521484
2015-02-04,57.10319137573242
2015-02-05,56.871925354003906
2015-02-06,55.5400276184082
2015-02-09,55.10139083862305
2015-02-10,56.162109375
2015-02-11,57.01546859741211
2015-02-12,57.143089294433594
2015-02-13,57.1670036315918
2015-02-17,57.22282791137695
2015-02-18,56.943721771240234
2015-02-19,56.98356628417969
2015-02-20,57.238765716552734
2015-02-23,56.6166877746582
2015-02-24,56.32163619995117
2015-02-25,56.85596466064453
2015-02-26,56.70444107055664
2015-02-27,55.938804626464844
2015-03-02,56.54494094848633
2015-03-03,56.608734130859375
2015-03-04,57.238765716552734
2015-03-05,57.66945266723633
2015-03-06,56.76823806762695
2015-03-09,56.696468353271484
2015-03-10,56.54494094848633
2015-03-11,56.73633575439453
2015-03-12,57.89274597167969
2015-03-13,58.37126922607422
2015-03-16,58.74612808227539
2015-03-17,59.18473815917969
2015-03-18,60.8914794921875
2015-03-19,60.75589370727539
2015-03-20,61.20249938964844
2015-03-23,61.64115905761719
2015-03-24,61.593292236328125
2015-03-25,60.564491271972656
2015-03-26,60.50865936279297
2015-03-27,60.78778076171875
2015-03-30,61.96016311645508
2015-03-31,61.29023361206055
2015-04-01,60.277374267578125
2015-04-02,60.45284652709961
2015-04-06,61.013916015625
2015-04-07,60.47687530517578
2015-04-08,60.5890998840332
2015-04-09,61.06200408935547
2015-04-10,61.11009216308594
2015-04-13,60.5169677734375
2015-04-14,59.71538162231445
2015-04-15,60.92574691772461
2015-04-16,61.0379638671875
2015-04-17,60.38068771362305
2015-04-20,61.0379638671875
2015-04-21,61.086055755615234
2015-04-22,61.15016555786133
2015-04-23,60.28451919555664
2015-04-24,60.76544189453125
2015-04-27,59.731422424316406
2015-04-28,59.14628601074219
2015-04-29,57.91192626953125
2015-04-30,57.24662780761719
2015-05-01,57.47105026245117
2015-05-04,57.439002990722656
2015-05-05,56.020263671875
2015-05-06,56.16454315185547
2015-05-07,56.926021575927734
2015-05-08,56.926021575927734
2015-05-11,56.54928970336914
2015-05-12,56.31683349609375
2015-05-13,56.813785552978516
2015-05-14,57.47105026245117
2015-05-15,57.40695571899414
2015-05-18,58.360774993896484
2015-05-19,58.31268310546875
2015-05-20,59.851680755615234
2015-05-21,59.21842575073242
2015-05-22,63.80329132080078
2015-05-26,62.02384948730469
2015-05-27,61.8475341796875
2015-05-28,60.94979476928711
2015-05-29,60.300537109375
2015-06-01,60.50093078613281
2015-06-02,59.923797607421875
2015-06-03,59.60317611694336
2015-06-04,60.06807327270508
2015-06-05,59.28256607055664
2015-06-08,59.18638229370117
2015-06-09,59.08216857910156
2015-06-10,59.066158294677734
2015-06-11,59.44289779663086
2015-06-12,58.54515075683594
2015-06-15,58.248565673828125
2015-06-16,58.168399810791016
2015-06-17,58.376827239990234
2015-06-18,58.400856018066406
2015-06-19,58.78559875488281
2015-06-22,57.92795944213867
2015-06-23,57.791683197021484
2015-06-24,57.47105026245117
2015-06-25,58.376827239990234
2015-06-26,58.31268310546875
2015-06-29,57.06228256225586
2015-06-30,58.12834167480469
2015-07-01,58.43291473388672
2015-07-02,57.57525634765625
2015-07-06,57.26907730102539
2015-07-07,57.518863677978516
2015-07-08,56.157039642333984
2015-07-09,57.08372116088867
2015-07-10,57.680030822753906
2015-07-13,58.969337463378906
2015-07-14,59.69456100463867
2015-07-15,59.017662048339844
2015-07-16,59.52534103393555
2015-07-17,59.033790588378906
2015-07-20,58.89680862426758
2015-07-21,58.09098434448242
2015-07-22,58.397216796875
2015-07-23,59.95243453979492
2015-07-24,59.1224250793457
2015-07-27,58.010406494140625
2015-07-28,58.11518096923828
2015-07-29,59.35612487792969
2015-07-30,59.2191276550293
2015-07-31,59.476993560791016
2015-08-03,59.79126739501953
2015-08-04,60.09744644165039
2015-08-05,60.016868591308594
2015-08-06,59.541446685791016
2015-08-07,58.36497116088867
2015-08-10,59.339988708496094
2015-08-11,58.46166229248047
2015-08-12,58.33273696899414
2015-08-13,58.179622650146484
2015-08-14,58.598663330078125
2015-08-17,59.28358459472656
2015-08-18,59.22719192504883
2015-08-19,59.1788330078125
2015-08-20,57.196537017822266
2015-08-21,56.5518798828125
2015-08-24,54.23920822143555
2015-08-25,52.62757110595703
2015-08-26,54.5615234375
2015-08-27,55.66550827026367
2015-08-28,55.51239776611328
2015-08-31,54.63404846191406
2015-09-01,52.941871643066406
2015-09-02,53.634849548339844
2015-09-03,53.93299865722656
2015-09-04,52.514766693115234
2015-09-08,53.42533874511719
2015-09-09,52.861263275146484
2015-09-10,52.748451232910156
2015-09-11,52.87739562988281
2015-09-14,53.248046875
2015-09-15,53.74766159057617
2015-09-16,54.730751037597656
2015-09-17,54.92414474487305
2015-09-18,53.9088249206543
2015-09-21,54.23115539550781
2015-09-22,53.27223587036133
2015-09-23,53.2319450378418
2015-09-24,52.79680633544922
2015-09-25,51.90235137939453
2015-09-28,48.75967788696289
2015-09-29,48.91279602050781
2015-09-30,49.53327560424805
2015-10-01,49.62189865112305
2015-10-02,50.92731475830078
2015-10-05,51.61650848388672
2015-10-06,49.93001174926758
2015-10-07,50.82191848754883
2015-10-08,51.08137893676758
2015-10-09,51.292179107666016
2015-10-12,51.37327194213867
2015-10-13,51.08137893676758
2015-10-14,50.18947219848633
2015-10-15,51.948951721191406
2015-10-16,52.994895935058594
2015-10-19,53.23814392089844
2015-10-20,52.96245574951172
2015-10-21,52.73543930053711
2015-10-22,50.50568771362305
2015-10-23,52.57326126098633
2015-10-26,52.25706100463867
2015-10-27,52.61379623413086
2015-10-28,53.74895095825195
2015-10-29,54.178688049316406
2015-10-30,55.09489440917969
2015-11-02,56.15707778930664
2015-11-03,55.954376220703125
2015-11-04,56.043582916259766
2015-11-05,55.662479400634766
2015-11-06,55.297611236572266
2015-11-09,54.92462921142578
2015-11-10,55.48410415649414
2015-11-11,54.486785888671875
2015-11-12,53.813812255859375
2015-11-13,54.486785888671875
2015-11-16,54.73815155029297
2015-11-17,55.167877197265625
2015-11-18,56.019229888916016
2015-11-19,55.013816833496094
2015-11-20,55.09489440917969
2015-11-23,55.605712890625
2015-11-24,55.33814239501953
2015-11-25,55.56517791748047
2015-11-27,55.75166702270508
2015-11-30,55.39491271972656
2015-12-01,56.03545379638672
