date,AAPL
2015-01-02,24.1928460936
2015-01-05,23.511295138
2015-01-06,23.5135079658
2015-01-07,23.8432193047
2015-01-08,24.7593300046
2015-01-09,24.785883938
2015-01-12,24.1751434713
2015-01-13,24.3897877658
2015-01-14,24.2968489991
2015-01-15,23.6374263214
2015-01-16,23.4537616158
2015-01-20,24.0578635991
2015-01-21,24.2415283047
2015-01-22,24.8721842213
2015-01-23,25.0005282324
2015-01-26,25.0270821657
2015-01-27,24.1508023658
2015-01-28,25.5161171046
2015-01-29,26.3105222768
2015-01-30,25.9254902435
2015-02-02,26.2507759268
2015-02-03,26.2552015824
2015-02-04,26.4565689101
2015-02-05,26.6446592712
2015-02-06,26.42028787
2015-02-09,26.5957862928
2015-02-10,27.1067310678
2015-02-11,27.7420797882
2015-02-12,28.0930766337
2015-02-13,28.230809573
2015-02-17,28.3974219997
2015-02-18,28.5940246631
2015-02-19,28.5351549391
2015-02-20,28.7673015869
2015-02-23,29.5459369941
2015-02-24,29.3615525753
2015-02-25,28.6106859058
2015-02-26,28.9716794969
2015-02-27,28.5373764381
2015-03-02,28.6773308765
2015-03-03,28.7373113501
2015-03-04,28.5551484303
2015-03-05,28.0819691386
2015-03-06,28.12417762
2015-03-09,28.2441385672
2015-03-10,27.6598843244
2015-03-11,27.1556040463
2015-03-12,27.6465553302
2015-03-13,27.4555064143
2015-03-16,27.7576302813
2015-03-17,28.2219235769
2015-03-18,28.5395979371
2015-03-19,28.3230017825
2015-03-20,27.9686726884
2015-03-23,28.2596890603
2015-03-24,28.1441711112
2015-03-25,27.4088549349
2015-03-26,27.5999038508
2015-03-27,27.3799754476
2015-03-30,28.0730831425
2015-03-31,27.6421123322
2015-04-01,27.6021253498
2015-04-02,27.8398257451
2015-04-06,28.2907900466
2015-04-07,27.9931091777
2015-04-08,27.9020277178
2015-04-09,28.1152916239
2015-04-10,28.2352525711
2015-04-13,28.1797150955
2015-04-14,28.0575326493
2015-04-15,28.1641646024
2015-04-16,28.028653162
2015-04-17,27.7132003009
2015-04-20,28.3463275222
2015-04-21,28.1930440897
2015-04-22,28.5729204224
2015-04-23,28.8061778198
2015-04-24,28.9416892601
2015-04-27,29.4681845284
2015-04-28,29.0038912327
2015-04-29,28.5773634205
2015-04-30,27.8020602618
2015-05-01,28.6462298902
2015-05-04,28.5906924146
2015-05-05,27.9464576982
2015-05-06,27.7709592755
2015-05-07,27.9420147002
2015-05-08,28.4684649212
2015-05-11,28.1784711554
2015-05-12,28.0769733373
2015-05-13,28.1093187958
2015-05-14,28.7651508509
2015-05-15,28.724997868
2015-05-18,29.0417602891
2015-05-19,29.0149916338
2015-05-20,29.0127609125
2015-05-21,29.3094468422
2015-05-22,29.5659797889
2015-05-26,28.9146091764
2015-05-27,29.4555590858
2015-05-28,29.396444972
2015-05-29,29.0618367806
2015-06-01,29.1187201731
2015-06-02,28.9904536998
2015-06-03,29.0261452402
2015-06-04,28.8566104232
2015-06-05,28.6982292126
2015-06-08,28.5086179042
2015-06-09,28.4238504957
2015-06-10,28.749535802
2015-06-11,28.684844885
2015-06-12,28.3680824638
2015-06-15,28.3123144319
2015-06-16,28.4640034787
2015-06-17,28.3970818404
2015-06-18,28.5264636744
2015-06-19,28.2409313511
2015-06-22,28.4662342
2015-06-23,28.336852366
2015-06-24,28.5777702638
2015-06-25,28.4416962659
2015-06-26,28.2743921702
2015-06-29,27.779172047
2015-06-30,27.9788216012
2015-07-01,28.2409313511
2015-07-02,28.2052398107
2015-07-06,28.1070880746
2015-07-07,28.037935715
2015-07-08,27.341950677
2015-07-09,26.784270358
2015-07-10,27.5003318876
2015-07-13,28.0312435512
2015-07-14,28.0200899448
2015-07-15,28.2900072192
2015-07-16,28.6669991148
2015-07-17,28.9146091764
2015-07-20,29.461135889
2015-07-21,29.1666806806
2015-07-22,27.9330918151
2015-07-23,27.9197074874
2015-07-24,27.7724798832
2015-07-27,27.3865651025
2015-07-28,27.5226391003
2015-07-29,27.4356409706
2015-07-30,27.2973362515
2015-07-31,27.058649075
2015-08-03,26.4206627901
2015-08-04,25.5729887053
2015-08-05,25.7425235223
2015-08-06,25.7982915542
2015-08-07,25.8856826226
2015-08-10,26.8268172054
2015-08-11,25.4308009075
2015-08-12,25.822940317
2015-08-13,25.8027731474
2015-08-14,25.9842776741
2015-08-17,26.2531732692
2015-08-18,26.1052806919
2015-08-19,25.7714019946
2015-08-20,25.2425739909
2015-08-21,23.6986651157
2015-08-24,23.1070948064
2015-08-25,23.2460241972
2015-08-26,24.5792981897
2015-08-27,25.3030754998
2015-08-28,25.385984975
2015-08-31,25.2672227538
2015-09-01,24.1378612544
2015-09-02,25.1731092955
2015-09-03,24.7316723602
2015-09-04,24.4851847314
2015-09-08,25.1663869056
2015-09-09,24.6823748344
2015-09-10,25.2246476179
2015-09-11,25.5921382646
2015-09-14,25.8386258934
2015-09-15,26.0559831661
2015-09-16,26.0851135223
2015-09-17,25.5271551624
2015-09-18,25.421837721
2015-09-21,25.8162179272
2015-09-22,25.4106337379
2015-09-23,25.6167870275
2015-09-24,25.769161198
2015-09-25,25.7041780959
2015-09-28,25.1955172618
2015-09-29,24.4381280022
2015-09-30,24.6375589019
2015-10-01,24.5546494268
2015-10-02,24.7339131568
2015-10-05,24.8235450219
2015-10-06,24.9423072431
2015-10-07,24.8235450219
2015-10-08,24.5367230538
2015-10-09,25.1238117698
2015-10-12,25.0072903452
2015-10-13,25.0498654811
2015-10-14,24.6958196142
2015-10-15,25.0655510575
2015-10-16,24.8818057342
2015-10-19,25.0364207013
2015-10-20,25.493543213
2015-10-21,25.4913024164
2015-10-22,25.8812010293
2015-10-23,26.6834062214
2015-10-26,25.8319035035
2015-10-27,25.6683253499
2015-10-28,26.7259813573
2015-10-29,27.0083217321
2015-10-30,26.7775196797
2015-11-02,27.1539735128
2015-11-03,27.4654442438
2015-11-04,27.3377188362
2015-11-05,27.2122342251
2015-11-06,27.2437402852
2015-11-09,27.1334690748
2015-11-10,26.2783045854
2015-11-11,26.1297760162
2015-11-12,26.0420091344
2015-11-13,25.2813628254
2015-11-16,25.6943172565
2015-11-17,25.5851712624
2015-11-18,26.3953270945
2015-11-19,26.7306415916
2015-11-20,26.8476641007
2015-11-23,26.4988470063
2015-11-24,26.7531459203
2015-11-25,26.5618591266
2015-11-27,26.5123496035
2015-11-30,26.622620814
2015-12-01,26.4065792588
2015-12-02,26.1680333749
2015-12-03,25.9249866253
2015-12-04,26.7869024133
2015-12-07,26.6181199483
2015-12-08,26.6068677839
2015-12-09,26.0195048057
2015-12-10,26.1432786134
2015-12-11,25.4703991862
2015-12-14,25.3128688855
2015-12-15,24.8650327451
2015-12-16,25.0563195387
2015-12-17,24.5252173822
