date,MXIM
2015-01-02,26.3359955293
2015-01-05,25.9322990112
2015-01-06,25.8199298773
2015-01-07,26.4192319248
2015-01-08,27.0351812513
2015-01-09,27.4596868682
2015-01-12,27.2682431586
2015-01-13,26.9269739372
2015-01-14,26.8437375417
2015-01-15,26.377613727
2015-01-16,26.6481320123
2015-01-20,26.893679379
2015-01-21,27.3598031937
2015-01-22,27.4763341473
2015-01-23,28.1006071134
2015-01-26,28.2337853462
2015-01-27,28.1006071134
2015-01-28,28.0756361948
2015-01-29,28.1755198694
2015-01-30,27.5429232637
2015-02-02,27.5762178219
2015-02-03,28.3170217417
2015-02-04,28.2088144276
2015-02-05,28.4252290558
2015-02-06,28.2795653637
2015-02-09,28.0756361948
2015-02-10,28.6166727654
2015-02-11,28.6832618818
2015-02-12,28.770660097
2015-02-13,29.066149301
2015-02-17,29.1160911383
2015-02-18,29.0489647034
2015-02-19,28.9650566597
2015-02-20,29.0321830946
2015-02-23,28.9189072357
2015-02-24,29.1706313666
2015-02-25,28.9314934423
2015-02-26,28.948275051
2015-02-27,28.8601716052
2015-03-02,29.8460911178
2015-03-03,29.4433325084
2015-03-04,29.6950566393
2015-03-05,29.8796543353
2015-03-06,29.9299991614
2015-03-09,29.988734792
2015-03-10,29.5440221608
2015-03-11,29.4181600953
2015-03-12,29.5020681389
2015-03-13,29.5775853782
2015-03-16,30.3411485752
2015-03-17,30.3956888036
2015-03-18,30.2488497272
2015-03-19,30.0264934116
2015-03-20,30.3663209883
2015-03-23,30.2488497272
2015-03-24,29.7537922698
2015-03-25,28.4448267893
2015-03-26,28.4448267893
2015-03-27,29.0657463121
2015-03-30,29.3468382582
2015-03-31,29.2083899863
2015-04-01,29.3300566495
2015-04-02,29.2167807906
2015-04-06,29.3384474539
2015-04-07,29.2167807906
2015-04-08,29.3678152691
2015-04-09,29.5608037695
2015-04-10,29.5062635411
2015-04-13,29.434941704
2015-04-14,29.1160911383
2015-04-15,29.4307463019
2015-04-16,29.3678152691
2015-04-17,29.0154014859
2015-04-20,29.527240552
2015-04-21,29.527240552
2015-04-22,29.3678152691
2015-04-23,29.1496543557
2015-04-24,27.5050567006
2015-04-27,27.7777578424
2015-04-28,27.8029302555
2015-04-29,27.5721831355
2015-04-30,27.5470107225
2015-05-01,27.7693670381
2015-05-04,27.7651716359
2015-05-05,27.0855164825
2015-05-06,27.0687348738
2015-05-07,27.0855164825
2015-05-08,27.3036773959
2015-05-11,27.6267233639
2015-05-12,27.1694245261
2015-05-13,27.2868957872
2015-05-14,28.6168382787
2015-05-15,28.6881601158
2015-05-18,28.8308037899
2015-05-19,28.855976203
2015-05-20,28.9744117547
2015-05-21,28.982871437
2015-05-22,29.0970771476
2015-05-26,28.7333108102
2015-05-27,29.1351457177
2015-05-28,29.3720168211
2015-05-29,29.6681057004
2015-06-01,29.3297184098
2015-06-02,28.7629196981
2015-06-03,28.9278835023
2015-06-04,28.7798390626
2015-06-05,28.8390568385
2015-06-08,28.6191050996
2015-06-09,28.4499114543
2015-06-10,28.8813552498
2015-06-11,29.046319054
2015-06-12,28.7206212868
2015-06-15,28.9151939789
2015-06-16,28.8305971562
2015-06-17,28.9532625491
2015-06-18,29.1182263532
2015-06-19,30.0826301313
2015-06-22,30.1587672717
2015-06-23,30.0064929909
2015-06-24,29.8965171215
2015-06-25,29.8922872804
2015-06-26,29.3973958679
2015-06-29,29.080157783
2015-06-30,29.2493514283
2015-07-01,29.1859038113
2015-07-02,29.2366619049
2015-07-06,28.9025044555
2015-07-07,28.5260485947
2015-07-08,27.7942860789
2015-07-09,27.0963622921
2015-07-10,27.2993946664
2015-07-13,27.1809591147
2015-07-14,27.4178302181
2015-07-15,27.2824753019
2015-07-16,26.9948461049
2015-07-17,26.6818378611
2015-07-20,26.3349908883
2015-07-21,26.45342644
2015-07-22,25.5736194845
2015-07-23,25.9966035977
2015-07-24,28.3991533608
2015-07-27,28.6360244642
2015-07-28,29.1520650823
2015-07-29,29.1689844468
2015-07-30,29.1097666709
2015-07-31,28.7967584272
2015-08-03,28.4499114543
2015-08-04,28.3906936785
2015-08-05,29.016710166
2015-08-06,28.6529438287
2015-08-07,28.9321133434
2015-08-10,29.304339363
2015-08-11,28.5514276415
2015-08-12,29.1182263532
2015-08-13,28.6360244642
2015-08-14,28.4837501834
2015-08-17,28.6191050996
2015-08-18,28.2807178091
2015-08-19,28.0929195018
2015-08-20,27.3161174129
2015-08-21,26.8807667916
2015-08-24,26.2405452898
2015-08-25,26.2149364297
2015-08-26,27.6831777407
2015-08-27,28.502661263
2015-08-28,29.1087376181
2015-08-31,28.7416772904
2015-09-01,27.5124520068
2015-09-02,28.1270646486
2015-09-03,28.4172983961
2015-09-04,28.1612097954
2015-09-08,28.9977658911
2015-09-09,28.7587498638
2015-09-10,28.8526490174
2015-09-11,29.0404473246
2015-09-14,29.3221447854
2015-09-15,29.2282456318
2015-09-16,29.2111730584
2015-09-17,29.0831287581
2015-09-18,28.61363299
2015-09-21,28.2721815224
2015-09-22,28.2721815224
2015-09-23,27.8624397612
2015-09-24,27.674641454
2015-09-25,27.7514680342
2015-09-28,27.3161174129
2015-09-29,27.4270891399
2015-09-30,28.502661263
2015-10-01,27.8880486213
2015-10-02,28.4172983961
2015-10-05,29.0916650448
2015-10-06,29.2538544919
2015-10-07,29.7148139732
2015-10-08,30.1416283078
2015-10-09,29.6550599664
