Date,HAS
2015-01-02,38.10823440551758
2015-01-05,38.219154357910156
2015-01-06,37.720008850097656
2015-01-07,37.9002571105957
2015-01-08,38.129032135009766
2015-01-09,36.89503479003906
2015-01-12,36.47214126586914
2015-01-13,35.98686218261719
2015-01-14,36.18791961669922
2015-01-15,36.02152633666992
2015-01-16,36.423622131347656
2015-01-20,36.1047248840332
2015-01-21,36.617733001708984
2015-01-22,37.32486343383789
2015-01-23,38.08741760253906
2015-01-26,38.025047302246094
2015-01-27,37.88638687133789
2015-01-28,38.16368865966797
2015-01-29,38.662837982177734
2015-01-30,38.36940002441406
2015-02-02,38.2156982421875
2015-02-03,39.22873306274414
2015-02-04,39.52915573120117
2015-02-05,39.21475601196289
2015-02-06,38.94229507446289
2015-02-09,41.680973052978516
2015-02-10,43.04331970214844
2015-02-11,42.756874084472656
2015-02-12,43.42756271362305
2015-02-13,43.8327751159668
2015-02-17,43.64413070678711
2015-02-18,43.39963150024414
2015-02-19,43.162086486816406
2015-02-20,43.197025299072266
2015-02-23,43.32975769042969
2015-02-24,43.35072708129883
2015-02-25,43.37166976928711
2015-02-26,43.665096282958984
2015-02-27,43.53935623168945
2015-03-02,44.11922073364258
2015-03-03,43.81882095336914
2015-03-04,43.61620330810547
2015-03-05,43.61620330810547
2015-03-06,43.07126998901367
2015-03-09,43.294822692871094
2015-03-10,42.86167907714844
2015-03-11,42.55427551269531
2015-03-12,43.1061897277832
2015-03-13,42.42851257324219
2015-03-16,42.96647644042969
2015-03-17,43.036338806152344
2015-03-18,42.91757583618164
2015-03-19,42.68701934814453
2015-03-20,42.67304229736328
2015-03-23,42.88262939453125
2015-03-24,42.95949172973633
2015-03-25,42.39358139038086
2015-03-26,42.309749603271484
2015-03-27,42.63809585571289
2015-03-30,43.71401596069336
2015-03-31,44.182106018066406
2015-04-01,44.56636047363281
2015-04-02,44.32883071899414
2015-04-06,44.81787872314453
2015-04-07,44.44059371948242
2015-04-08,44.74101257324219
2015-04-09,44.85979461669922
2015-04-10,44.86677169799805
2015-04-13,44.629241943359375
2015-04-14,45.04841995239258
2015-04-15,45.28595733642578
2015-04-16,46.145294189453125
2015-04-17,46.03350067138672
2015-04-20,51.811283111572266
2015-04-21,51.38511276245117
2015-04-22,50.11356735229492
2015-04-23,50.099605560302734
2015-04-24,50.02974319458008
2015-04-27,49.610530853271484
2015-04-28,49.680423736572266
2015-04-29,49.6100959777832
2015-04-30,49.77886199951172
2015-05-01,50.39064407348633
2015-05-04,50.06013107299805
2015-05-05,49.34991455078125
2015-05-06,49.497589111328125
2015-05-07,50.010929107666016
2015-05-08,50.081233978271484
2015-05-11,50.62971115112305
2015-05-12,49.89839553833008
2015-05-13,49.53274917602539
2015-05-14,50.60862350463867
2015-05-15,50.90398025512695
2015-05-18,50.60862350463867
2015-05-19,50.51017761230469
2015-05-20,50.482051849365234
2015-05-21,51.0164794921875
2015-05-22,51.262611389160156
2015-05-26,50.75629425048828
2015-05-27,50.911006927490234
2015-05-28,50.9461555480957
2015-05-29,50.72111892700195
2015-06-01,50.90398025512695
2015-06-02,50.749263763427734
2015-06-03,51.178199768066406
2015-06-04,50.76332473754883
2015-06-05,50.78443908691406
2015-06-08,50.8687858581543
2015-06-09,50.66487503051758
2015-06-10,51.11494064331055
2015-06-11,51.522762298583984
2015-06-12,51.206329345703125
2015-06-15,51.25554656982422
2015-06-16,51.36103057861328
2015-06-17,52.45098114013672
2015-06-18,53.083858489990234
2015-06-19,53.569061279296875
2015-06-22,53.885494232177734
2015-06-23,54.687137603759766
2015-06-24,55.08794403076172
2015-06-25,55.144195556640625
2015-06-26,54.63088607788086
2015-06-29,53.16120147705078
2015-06-30,52.59161376953125
2015-07-01,53.287784576416016
2015-07-02,53.38623046875
2015-07-06,53.336997985839844
2015-07-07,53.55500793457031
2015-07-08,54.180824279785156
2015-07-09,53.400272369384766
2015-07-10,54.30038833618164
2015-07-13,55.00358200073242
2015-07-14,55.33405685424805
2015-07-15,54.89809799194336
2015-07-16,55.144195556640625
2015-07-17,55.0246467590332
2015-07-20,58.47029495239258
2015-07-21,56.55059814453125
2015-07-22,56.14976501464844
2015-07-23,55.74893569946289
2015-07-24,56.00209045410156
2015-07-27,55.91067886352539
2015-07-28,55.95287322998047
2015-07-29,56.789669036865234
2015-07-30,56.5704345703125
2015-07-31,55.68641662597656
2015-08-03,54.97918701171875
2015-08-04,55.750057220458984
2015-08-05,56.04001235961914
2015-08-06,54.40634536743164
2015-08-07,54.74581527709961
2015-08-10,56.23096466064453
2015-08-11,55.96220779418945
2015-08-12,56.21681213378906
2015-08-13,56.96647644042969
2015-08-14,57.079647064208984
2015-08-17,57.015995025634766
2015-08-18,56.84624099731445
2015-08-19,56.280479431152344
2015-08-20,55.06406021118164
2015-08-21,53.16871643066406
2015-08-24,50.3398323059082
2015-08-25,50.58735656738281
2015-08-26,51.478450775146484
2015-08-27,53.14042663574219
2015-08-28,53.402099609375
2015-08-31,52.75144958496094
2015-09-01,51.28749084472656
2015-09-02,52.694881439208984
2015-09-03,54.35683822631836
2015-09-04,53.30308151245117
2015-09-08,53.95372009277344
2015-09-09,53.23942947387695
2015-09-10,53.76987075805664
2015-09-11,54.279052734375
2015-09-14,54.86602783203125
2015-09-15,55.92687225341797
2015-09-16,56.75432205200195
2015-09-17,54.81652069091797
2015-09-18,54.49828338623047
2015-09-21,54.5902214050293
2015-09-22,53.430389404296875
2015-09-23,53.31015396118164
2015-09-24,52.79387664794922
2015-09-25,53.00605392456055
2015-09-28,51.011680603027344
2015-09-29,51.40775680541992
2015-09-30,51.01876449584961
2015-10-01,50.693450927734375
2015-10-02,50.467140197753906
2015-10-05,52.07958984375
2015-10-06,51.527957916259766
2015-10-07,51.92401885986328
2015-10-08,52.1927604675293
2015-10-09,52.58174133300781
2015-10-12,52.64536666870117
2015-10-13,52.426143646240234
2015-10-14,52.100807189941406
2015-10-15,53.27479934692383
2015-10-16,55.007484436035156
2015-10-19,51.04704666137695
2015-10-20,51.584564208984375
2015-10-21,52.32712173461914
2015-10-22,54.286109924316406
2015-10-23,55.778350830078125
2015-10-26,55.3823127746582
2015-10-27,55.318668365478516
2015-10-28,55.29037094116211
2015-10-29,55.311702728271484
2015-10-30,54.6572265625
2015-11-02,54.948883056640625
2015-11-03,54.94178009033203
2015-11-04,54.78527069091797
2015-11-05,54.820838928222656
2015-11-06,55.66029739379883
2015-11-09,55.766998291015625
2015-11-10,56.777191162109375
2015-11-11,55.895076751708984
2015-11-12,55.382843017578125
2015-11-13,54.07386016845703
2015-11-16,53.90312194824219
2015-11-17,53.18461608886719
2015-11-18,53.76084518432617
2015-11-19,53.78218078613281
2015-11-20,53.70393753051758
2015-11-23,53.49052047729492
2015-11-24,53.8390998840332
2015-11-25,54.39400100708008
2015-11-27,53.61855697631836
2015-11-30,51.99655532836914
2015-12-01,52.0250358581543
2015-12-02,51.58396911621094
2015-12-03,50.09001922607422
2015-12-04,48.8806266784668
2015-12-07,48.9802131652832
2015-12-08,49.67028045654297
2015-12-09,48.66720962524414
2015-12-10,48.53202819824219
2015-12-11,48.638736724853516
2015-12-14,49.22208786010742
2015-12-15,49.22208786010742
2015-12-16,49.23631286621094
2015-12-17,47.23015213012695
2015-12-18,46.83176803588867
2015-12-21,46.46182632446289
2015-12-22,47.50049591064453
2015-12-23,47.849090576171875
2015-12-24,48.10517883300781
2015-12-28,48.126529693603516
2015-12-29,48.6814079284668
2015-12-30,48.019805908203125
2015-12-31,47.92021942138672
