Date,VZ
2015-01-02,25.732980728149414
2015-01-05,25.51926612854004
2015-01-06,25.77681541442871
2015-01-07,25.610475540161133
2015-01-08,26.159391403198242
2015-01-09,25.926513671875
2015-01-12,26.10395050048828
2015-01-13,26.159391403198242
2015-01-14,26.042957305908203
2015-01-15,26.115034103393555
2015-01-16,26.608510971069336
2015-01-20,26.71385383605957
2015-01-21,26.752666473388672
2015-01-22,26.50315284729004
2015-01-23,26.142757415771484
2015-01-26,26.037412643432617
2015-01-27,25.699190139770508
2015-01-28,25.532861709594727
2015-01-29,25.566116333007812
2015-01-30,25.34433937072754
2015-02-02,26.048490524291992
2015-02-03,26.51980209350586
2015-02-04,26.50315284729004
2015-02-05,26.53642463684082
2015-02-06,27.35147476196289
2015-02-09,27.218406677246094
2015-02-10,27.451290130615234
2015-02-11,27.61762046813965
2015-02-12,27.45682144165039
2015-02-13,27.34038543701172
2015-02-17,27.268312454223633
2015-02-18,27.135244369506836
2015-02-19,27.118602752685547
2015-02-20,27.151878356933594
2015-02-23,27.04098892211914
2015-02-24,27.290483474731445
2015-02-25,27.279399871826172
2015-02-26,27.373653411865234
2015-02-27,27.418006896972656
2015-03-02,27.429107666015625
2015-03-03,27.47345733642578
2015-03-04,27.207319259643555
2015-03-05,27.12415313720703
2015-03-06,26.77483558654785
2015-03-09,26.741573333740234
2015-03-10,26.34236717224121
2015-03-11,26.436622619628906
2015-03-12,27.0188045501709
2015-03-13,27.079795837402344
2015-03-16,27.318214416503906
2015-03-17,27.140790939331055
2015-03-18,27.46791648864746
2015-03-19,27.3348445892334
2015-03-20,27.479007720947266
2015-03-23,27.52336883544922
2015-03-24,27.39583396911621
2015-03-25,27.0188045501709
2015-03-26,26.846923828125
2015-03-27,26.924549102783203
2015-03-30,27.235044479370117
2015-03-31,26.96335792541504
2015-04-01,27.12415313720703
2015-04-02,27.429107666015625
2015-04-06,27.51781463623047
2015-04-07,27.318214416503906
2015-04-08,27.54810905456543
2015-04-09,27.480812072753906
2015-04-10,27.598567962646484
2015-04-13,27.497644424438477
2015-04-14,27.576148986816406
2015-04-15,27.693891525268555
