Date,CMI
2015-01-02,108.20974731445312
2015-01-05,104.54411315917969
2015-01-06,105.12798309326172
2015-01-07,105.63052368164062
2015-01-08,107.76636505126953
2015-01-09,106.12567138671875
2015-01-12,105.35709381103516
2015-01-13,104.45545959472656
2015-01-14,105.23880767822266
2015-01-15,104.58846282958984
2015-01-16,104.10072326660156
2015-01-20,104.9653549194336
2015-01-21,106.96078491210938
2015-01-22,108.88231658935547
2015-01-23,107.78849029541016
2015-01-26,109.26658630371094
2015-01-27,105.14276885986328
2015-01-28,104.66236114501953
2015-01-29,105.46054077148438
2015-01-30,103.0660629272461
2015-02-02,105.68960571289062
2015-02-03,107.56682586669922
2015-02-04,106.53953552246094
2015-02-05,102.0683822631836
2015-02-06,100.40555572509766
2015-02-09,99.32653045654297
2015-02-10,99.74041748046875
2015-02-11,99.858642578125
2015-02-12,100.974609375
2015-02-13,103.34564208984375
2015-02-17,103.3010482788086
2015-02-18,104.19297790527344
2015-02-19,104.65386199951172
2015-02-20,105.9545669555664
2015-02-23,105.21868133544922
2015-02-24,105.38970184326172
2015-02-25,105.6795654296875
2015-02-26,105.71669006347656
2015-02-27,105.71669006347656
2015-03-02,106.60862731933594
2015-03-03,108.04316711425781
2015-03-04,106.99517822265625
2015-03-05,105.7464599609375
2015-03-06,104.37135314941406
2015-03-09,104.76532745361328
2015-03-10,102.76590728759766
2015-03-11,102.10437774658203
2015-03-12,104.08892059326172
2015-03-13,103.51661682128906
2015-03-16,104.43085479736328
2015-03-17,103.09294128417969
2015-03-18,103.93283081054688
2015-03-19,102.163818359375
2015-03-20,102.86993408203125
2015-03-23,102.85511016845703
2015-03-24,103.27131652832031
2015-03-25,101.65098571777344
2015-03-26,101.66583251953125
2015-03-27,102.17127990722656
2015-03-30,104.16324615478516
2015-03-31,103.04835510253906
2015-04-01,101.84423828125
2015-04-02,101.69556427001953
2015-04-06,102.48344421386719
2015-04-07,101.65098571777344
2015-04-08,100.3427963256836
2015-04-09,99.73332214355469
2015-04-10,101.494873046875
2015-04-13,101.08609771728516
2015-04-14,101.41313934326172
2015-04-15,102.00775146484375
2015-04-16,101.33879852294922
2015-04-17,99.48060607910156
2015-04-20,100.45426940917969
2015-04-21,101.10839080810547
2015-04-22,101.77732849121094
2015-04-23,101.42054748535156
2015-04-24,101.45772552490234
2015-04-27,103.50172424316406
2015-04-28,102.01517486572266
2015-04-29,102.59494018554688
2015-04-30,102.76590728759766
2015-05-01,104.89910125732422
2015-05-04,104.86936950683594
2015-05-05,103.51661682128906
2015-05-06,103.55378723144531
2015-05-07,103.9923095703125
2015-05-08,104.54975891113281
2015-05-11,105.36736297607422
2015-05-12,104.97342681884766
2015-05-13,105.77616882324219
2015-05-14,106.45259094238281
2015-05-15,106.11809539794922
2015-05-18,106.44512939453125
2015-05-19,105.04010772705078
2015-05-20,105.35401153564453
2015-05-21,106.0714340209961
2015-05-22,106.03411102294922
2015-05-26,104.94293975830078
2015-05-27,104.98778533935547
2015-05-28,104.06854248046875
2015-05-29,101.3033447265625
2015-06-01,101.05673217773438
2015-06-02,101.46031951904297
2015-06-03,101.31832885742188
2015-06-04,101.76673126220703
2015-06-05,101.78167724609375
2015-06-08,101.24359893798828
2015-06-09,101.57238006591797
2015-06-10,102.50658416748047
2015-06-11,103.02225494384766
2015-06-12,102.47669219970703
2015-06-15,101.52759552001953
2015-06-16,101.20618438720703
2015-06-17,101.47528076171875
2015-06-18,101.98345184326172
2015-06-19,101.7442855834961
2015-06-22,101.41546630859375
2015-06-23,101.38558197021484
2015-06-24,101.02684783935547
2015-06-25,100.21224975585938
2015-06-26,99.80116271972656
2015-06-29,98.00753784179688
2015-06-30,98.04492950439453
2015-07-01,97.9701919555664
2015-07-02,98.17195129394531
2015-07-06,97.77586364746094
2015-07-07,98.26913452148438
2015-07-08,96.45304107666016
2015-07-09,95.48896789550781
2015-07-10,96.21392059326172
2015-07-13,97.29757690429688
2015-07-14,97.05842590332031
2015-07-15,97.08830261230469
2015-07-16,97.44703674316406
2015-07-17,95.80286407470703
2015-07-20,96.38581848144531
2015-07-21,96.12422180175781
2015-07-22,95.08538818359375
2015-07-23,94.89111328125
2015-07-24,92.9479751586914
2015-07-27,92.50704956054688
2015-07-28,95.66087341308594
2015-07-29,97.35735321044922
2015-07-30,97.00609588623047
2015-07-31,96.80431365966797
2015-08-03,96.11675262451172
2015-08-04,94.16617584228516
2015-08-05,95.5412826538086
2015-08-06,95.04804229736328
2015-08-07,94.8238296508789
2015-08-10,97.85059356689453
2015-08-11,95.64590454101562
2015-08-12,96.45304107666016
2015-08-13,95.95233917236328
2015-08-14,95.69824981689453
2015-08-17,96.11675262451172
2015-08-18,95.69076538085938
2015-08-19,95.97314453125
2015-08-20,93.44281005859375
2015-08-21,90.18195343017578
2015-08-24,87.99047088623047
2015-08-25,86.50689697265625
2015-08-26,89.41380310058594
2015-08-27,92.3282470703125
2015-08-28,92.07970428466797
2015-08-31,91.68812561035156
2015-09-01,90.60366821289062
2015-09-02,91.0479965209961
2015-09-03,90.39281463623047
2015-09-04,88.86405181884766
2015-09-08,90.23468017578125
2015-09-09,89.60958099365234
2015-09-10,89.63216400146484
2015-09-11,90.7392349243164
2015-09-14,89.63216400146484
2015-09-15,91.67305755615234
2015-09-16,92.50897216796875
2015-09-17,90.49823760986328
2015-09-18,86.78550720214844
2015-09-21,86.46923065185547
2015-09-22,85.30193328857422
2015-09-23,84.5112075805664
2015-09-24,83.720458984375
2015-09-25,83.2309799194336
2015-09-28,80.45962524414062
2015-09-29,81.40851593017578
2015-09-30,81.76997375488281
2015-10-01,79.37515258789062
2015-10-02,81.30308532714844
2015-10-05,84.16481018066406
2015-10-06,84.47357177734375
2015-10-07,84.7446517944336
2015-10-08,86.0550308227539
2015-10-09,85.16639709472656
2015-10-12,84.3304672241211
2015-10-13,82.82432556152344
2015-10-14,82.36491394042969
2015-10-15,82.20677185058594
2015-10-16,81.8678970336914
2015-10-19,81.76244354248047
2015-10-20,82.45526885986328
2015-10-21,81.77751922607422
2015-10-22,84.20997619628906
2015-10-23,84.97810363769531
2015-10-26,84.42084503173828
2015-10-27,77.0782470703125
2015-10-28,77.740966796875
2015-10-29,77.86900329589844
2015-10-30,77.95185089111328
2015-11-02,80.47468566894531
2015-11-03,80.8813247680664
2015-11-04,80.39937591552734
2015-11-05,80.20355987548828
2015-11-06,80.18849182128906
2015-11-09,79.22454833984375
2015-11-10,78.11752319335938
2015-11-11,75.3687515258789
2015-11-12,73.67430877685547
2015-11-13,74.3069076538086
2015-11-16,74.6533432006836
2015-11-17,73.72701263427734
2015-11-18,74.81096649169922
2015-11-19,74.97830963134766
2015-11-20,75.07721710205078
2015-11-23,74.65125274658203
2015-11-24,75.06200408935547
2015-11-25,75.73900604248047
2015-11-27,75.86829376220703
2015-11-30,76.3475112915039
2015-12-01,70.29263305664062
2015-12-02,72.14864349365234
2015-12-03,70.34588623046875
2015-12-04,70.36112976074219
2015-12-07,69.53197479248047
2015-12-08,68.59637451171875
2015-12-09,68.39859008789062
2015-12-10,68.58113098144531
2015-12-11,66.6415023803711
2015-12-14,66.04815673828125
2015-12-15,66.2535400390625
2015-12-16,66.45133209228516
2015-12-17,65.3863754272461
2015-12-18,64.81591033935547
2015-12-21,64.95281219482422
2015-12-22,66.48934173583984
2015-12-23,68.124755859375
2015-12-24,67.9269790649414
2015-12-28,67.90415954589844
2015-12-29,68.34536743164062
2015-12-30,67.8357162475586
2015-12-31,66.94573974609375
