date,RTN
2015-01-02,97.4352500344
2015-01-05,96.1927509892
2015-01-06,95.8499143228
2015-01-07,97.0498426553
2015-01-08,98.8813122155
2015-01-09,98.0693306371
2015-01-12,96.2198170418
2015-01-13,95.7687161649
2015-01-14,95.6784959895
2015-01-15,95.5160996739
2015-01-16,95.3897914283
2015-01-20,95.7506721298
2015-01-21,95.7777381825
2015-01-22,97.0588646728
2015-01-23,96.3551473049
2015-01-26,96.0844867787
2015-01-27,94.5326997622
2015-01-28,94.3432373939
2015-01-29,92.0245788867
2015-01-30,90.2652854668
2015-02-02,93.2696173069
2015-02-03,95.9672005507
2015-02-04,96.6528738836
2015-02-05,96.3641693224
2015-02-06,96.9415784448
2015-02-09,96.3100372172
2015-02-10,97.0769087079
2015-02-11,96.6709179187
2015-02-12,96.8964683572
2015-02-13,96.5626537082
2015-02-17,96.1205748489
2015-02-18,96.5626537082
2015-02-19,97.5009435322
2015-02-20,98.2317269528
2015-02-23,98.9354443207
2015-02-24,99.4136112502
2015-02-25,98.4843434438
2015-02-26,97.9791104617
2015-02-27,98.1324847598
2015-03-02,99.6481837062
2015-03-03,97.6092077426
2015-03-04,96.3280812523
2015-03-05,96.508521603
2015-03-06,94.9296685339
2015-03-09,96.4273234452
2015-03-10,94.6770520428
2015-03-11,95.1281529197
2015-03-12,96.4543894978
2015-03-13,96.1025308138
2015-03-16,98.8813122155
2015-03-17,98.4211893211
2015-03-18,99.846668092
2015-03-19,99.9098222148
2015-03-20,101.4074771261
2015-03-23,101.3623670384
2015-03-24,100.5864735302
2015-03-25,98.0783526546
2015-03-26,98.1144407248
2015-03-27,99.1790387942
2015-03-30,100.7398478283
2015-03-31,99.1605403662
2015-04-01,97.6538447414
2015-04-02,98.4434984725
2015-04-06,99.0697755695
2015-04-07,98.6976399031
2015-04-08,98.9154754152
2015-04-09,99.8503528209
2015-04-10,99.8049704226
2015-04-13,98.5977986268
2015-04-14,98.4344219928
2015-04-15,98.5614927081
2015-04-16,98.8700930168
2015-04-17,97.7718389771
2015-04-20,97.5630799447
2015-04-21,98.7793282201
2015-04-22,99.5235995529
2015-04-23,98.5251867895
2015-04-24,98.3436571961
2015-04-27,97.9170626517
2015-04-28,98.3436571961
2015-04-29,96.8914204493
2015-04-30,94.3953885408
2015-05-01,95.3756483449
2015-05-04,96.573743661
2015-05-05,95.3121129872
2015-05-06,94.9490538005
2015-05-07,95.4391837025
2015-05-08,96.927726368
2015-05-11,96.8914204493
2015-05-12,97.1909442784
2015-05-13,96.9095734087
2015-05-14,97.6992271397
2015-05-15,97.1364854003
2015-05-18,97.1637148394
2015-05-19,96.9095734087
2015-05-20,96.709890856
2015-05-21,97.5812329041
2015-05-22,96.846038051
2015-05-26,95.7750134502
2015-05-27,95.4301072229
2015-05-28,94.7947536462
2015-05-29,93.7237290454
2015-06-01,93.9506410371
2015-06-02,93.2880580214
2015-06-03,92.7616222007
2015-06-04,91.3729208116
2015-06-05,92.126268624
2015-06-08,91.7359799983
2015-06-09,90.6740318772
2015-06-10,91.6361387219
2015-06-11,92.725316282
2015-06-12,92.2805687783
2015-06-15,90.9917086655
2015-06-16,90.5741906008
2015-06-17,91.3638443319
2015-06-18,91.8902801526
2015-06-19,91.3093854539
2015-06-22,91.3547678522
2015-06-23,91.0915499419
2015-06-24,90.1385195768
2015-06-25,89.1673362524
2015-06-26,88.7588946674
2015-06-29,87.6697171073
2015-06-30,87.4503600169
2015-07-01,88.0535920154
2015-07-02,87.3498213505
2015-07-06,88.4283270447
2015-07-07,89.5251124964
2015-07-08,89.579951769
2015-07-09,90.1466242524
2015-07-10,90.2197432825
2015-07-13,91.8649214601
2015-07-14,91.9014809751
2015-07-15,90.8869544323
2015-07-16,91.8649214601
2015-07-17,91.2982489767
2015-07-20,91.1794305528
2015-07-21,89.4337137088
2015-07-22,88.647684135
2015-07-23,94.3326887264
2015-07-24,94.9633403612
2015-07-27,95.3654950268
2015-07-28,95.8681883589
2015-07-29,99.8074761063
2015-07-30,100.3924283472
2015-07-31,99.7069374399
2015-08-03,99.5332797433
2015-08-04,99.4784404708
2015-08-05,100.5569461649
2015-08-06,99.9902736816
2015-08-07,99.4601607132
2015-08-10,100.0176933179
2015-08-11,99.1494048352
2015-08-12,99.3230625318
2015-08-13,99.7617767125
2015-08-14,100.3741485897
2015-08-17,100.3650087109
2015-08-18,100.8402824066
2015-08-19,100.1730712568
2015-08-20,98.381655019
2015-08-21,95.9595871465
2015-08-24,93.226763396
2015-08-25,91.9928797628
2015-08-26,94.7074237558
2015-08-27,96.0692656917
2015-08-28,95.2832361179
2015-08-31,93.7385966068
2015-09-01,91.4353471582
2015-09-02,94.4880666654
2015-09-03,95.5391527233
2015-09-04,94.0219328485
2015-09-08,97.376268355
2015-09-09,96.9558339318
2015-09-10,96.946694053
2015-09-11,97.376268355
2015-09-14,96.3891614484
2015-09-15,96.9009946592
2015-09-16,96.9375541743
2015-09-17,97.3305689611
2015-09-18,95.5574324809
2015-09-21,95.8681883589
2015-09-22,94.7348433921
2015-09-23,95.7585098137
2015-09-24,97.220890416
2015-09-25,96.910134538
2015-09-28,96.59937866
2015-09-29,97.5042266577
2015-09-30,99.8623153789
2015-10-01,99.3596220468
2015-10-02,98.500473443
2015-10-05,100.9591008306
2015-10-06,100.637252891
2015-10-07,100.9499051752
2015-10-08,102.6694927383
2015-10-09,102.4947752853
2015-10-12,103.2764059958
2015-10-13,101.8234924398
2015-10-14,100.8763399318
2015-10-15,102.92697109
2015-10-16,102.3476447986
2015-10-19,103.8097540101
2015-10-20,103.3131886175
2015-10-21,103.5982539354
2015-10-22,107.8466467384
2015-10-23,108.2972338539
2015-10-26,107.5247987988
2015-10-27,108.6374731043
2015-10-28,109.4558864365
2015-10-29,109.2259950511
2015-10-30,107.9569946034
2015-11-02,109.115647186
2015-11-03,108.8305818681
2015-11-04,109.0236906319
2015-11-05,109.5662343015
2015-11-06,108.1133207455
2015-11-09,107.7822771505
2015-11-10,108.5455165502
2015-11-11,108.8121905573
2015-11-12,108.7018426923
2015-11-13,107.8190597722
2015-11-16,112.2881483051
2015-11-17,113.3456486782
2015-11-18,113.980148902
2015-11-19,115.8652582626
2015-11-20,116.8216064261
2015-11-23,116.5733237298
2015-11-24,116.1963018577
2015-11-25,115.9664104722
2015-11-27,116.5917150406
2015-11-30,114.0537141453
2015-12-01,114.4675186391
2015-12-02,113.8422140707
2015-12-03,112.9318441844
2015-12-04,114.2928011862
2015-12-07,116.9135629802
2015-12-08,116.7664324935
2015-12-09,116.0031930939
2015-12-10,117.1526500211
2015-12-11,116.049171371
2015-12-14,116.159519236
2015-12-15,116.6560846285
2015-12-16,117.6584110691
2015-12-17,117.217019609
2015-12-18,115.2675406605
2015-12-21,115.8928452289
2015-12-22,116.665280284
2015-12-23,116.1963018577
2015-12-24,116.1319322697
2015-12-28,116.0767583372
2015-12-29,116.2422801347
2015-12-30,115.6261712218
2015-12-31,114.5134969162
