Date,GWW
2015-01-02,212.56716918945312
2015-01-05,207.3699951171875
2015-01-06,204.4298553466797
2015-01-07,204.6131591796875
2015-01-08,209.1689910888672
2015-01-09,206.7452850341797
2015-01-12,204.1800079345703
2015-01-13,202.75582885742188
2015-01-14,201.4732666015625
2015-01-15,198.15835571289062
2015-01-16,200.96514892578125
2015-01-20,202.06454467773438
2015-01-21,203.3804931640625
2015-01-22,204.18836975097656
2015-01-23,204.87969970703125
2015-01-26,195.56808471679688
2015-01-27,192.961181640625
2015-01-28,192.42813110351562
2015-01-29,196.49261474609375
2015-01-30,196.42596435546875
2015-02-02,200.3155059814453
2015-02-03,203.69699096679688
2015-02-04,199.191162109375
2015-02-05,200.81422424316406
2015-02-06,201.0484619140625
2015-02-09,199.65130615234375
2015-02-10,199.86045837402344
2015-02-11,198.78953552246094
2015-02-12,196.03688049316406
2015-02-13,196.50546264648438
2015-02-17,195.6437225341797
2015-02-18,197.15805053710938
2015-02-19,197.07440185546875
2015-02-20,199.2413330078125
2015-02-23,197.5930938720703
2015-02-24,198.71421813964844
2015-02-25,200.45448303222656
2015-02-26,201.11546325683594
2015-02-27,198.21226501464844
2015-03-02,200.128173828125
2015-03-03,201.8767852783203
2015-03-04,197.45086669921875
2015-03-05,199.15768432617188
2015-03-06,196.8401641845703
2015-03-09,197.30865478515625
2015-03-10,192.65682983398438
2015-03-11,194.24647521972656
2015-03-12,193.86166381835938
2015-03-13,193.03334045410156
2015-03-16,195.7859344482422
2015-03-17,196.17922973632812
2015-03-18,199.46725463867188
2015-03-19,198.33773803710938
2015-03-20,197.576416015625
2015-03-23,195.41783142089844
2015-03-24,195.9532470703125
2015-03-25,196.47206115722656
2015-03-26,196.0536651611328
2015-03-27,196.27957153320312
2015-03-30,198.697509765625
2015-03-31,197.2919158935547
2015-04-01,194.00384521484375
2015-04-02,192.7823486328125
2015-04-06,196.73973083496094
2015-04-07,194.8237762451172
2015-04-08,196.03688049316406
2015-04-09,196.4887237548828
2015-04-10,196.37156677246094
2015-04-13,196.5807647705078
2015-04-14,199.2496795654297
2015-04-15,202.32861328125
2015-04-16,202.36207580566406
2015-04-17,200.23696899414062
2015-04-20,199.91903686523438
2015-04-21,203.31582641601562
2015-04-22,203.68397521972656
2015-04-23,204.3783721923828
2015-04-24,206.73779296875
2015-04-27,208.69552612304688
2015-04-28,208.48638916015625
2015-04-29,209.27281188964844
2015-04-30,207.85049438476562
2015-05-01,208.2772216796875
2015-05-04,208.21031188964844
2015-05-05,205.80911254882812
2015-05-06,205.90109252929688
2015-05-07,206.640869140625
2015-05-08,209.45712280273438
2015-05-11,209.162841796875
2015-05-12,211.2056121826172
2015-05-13,206.74180603027344
2015-05-14,207.6748504638672
2015-05-15,206.84268188476562
2015-05-18,207.145263671875
2015-05-19,206.9351348876953
2015-05-20,206.8005828857422
2015-05-21,207.30502319335938
2015-05-22,206.75857543945312
2015-05-26,205.89271545410156
2015-05-27,206.41390991210938
2015-05-28,205.67413330078125
2015-05-29,202.03411865234375
2015-06-01,202.59738159179688
2015-06-02,203.4043426513672
2015-06-03,204.20301818847656
2015-06-04,201.12620544433594
2015-06-05,202.68142700195312
2015-06-08,201.3279571533203
2015-06-09,203.02603149414062
2015-06-10,203.6817626953125
2015-06-11,204.5645751953125
2015-06-12,200.20152282714844
2015-06-15,199.16748046875
2015-06-16,199.96607971191406
2015-06-17,201.7399139404297
2015-06-18,204.59811401367188
2015-06-19,203.5977325439453
2015-06-22,205.22019958496094
2015-06-23,206.30465698242188
2015-06-24,204.8083038330078
2015-06-25,201.36155700683594
2015-06-26,202.03411865234375
2015-06-29,198.9909210205078
2015-06-30,198.94052124023438
2015-07-01,198.9825439453125
2015-07-02,197.9737548828125
