Date,UHS
2015-01-02,105.933837890625
2015-01-05,103.7668685913086
2015-01-06,103.80502319335938
2015-01-07,106.90754699707031
2015-01-08,108.00536346435547
2015-01-09,107.72850036621094
2015-01-12,101.41848754882812
2015-01-13,101.42802429199219
2015-01-14,99.57609558105469
2015-01-15,100.86481475830078
2015-01-16,103.30866241455078
2015-01-20,102.26811218261719
2015-01-21,103.37545776367188
2015-01-22,105.36107635498047
2015-01-23,101.6762466430664
2015-01-26,102.94586944580078
2015-01-27,101.99126434326172
2015-01-28,100.88389587402344
2015-01-29,100.65478515625
2015-01-30,97.87687683105469
2015-02-02,98.45916748046875
2015-02-03,100.10112762451172
2015-02-04,100.45433807373047
2015-02-05,101.01757049560547
2015-02-06,100.22522735595703
2015-02-09,99.10833740234375
2015-02-10,101.2657470703125
2015-02-11,101.3134765625
2015-02-12,99.3660659790039
2015-02-13,100.16796112060547
2015-02-17,101.94354248046875
2015-02-18,102.09626007080078
2015-02-19,102.31584930419922
2015-02-20,102.97451782226562
2015-02-23,103.47090911865234
2015-02-24,103.59503173828125
2015-02-25,104.23462677001953
2015-02-26,107.48332214355469
2015-02-27,108.30500793457031
2015-03-02,109.39427947998047
2015-03-03,107.71259307861328
2015-03-04,110.59822082519531
2015-03-05,109.76687622070312
2015-03-06,108.97386169433594
2015-03-09,108.47701263427734
2015-03-10,107.95148468017578
2015-03-11,108.8496322631836
2015-03-12,109.38471984863281
2015-03-13,109.0025405883789
2015-03-16,111.02819061279297
2015-03-17,110.99949645996094
2015-03-18,112.06966400146484
2015-03-19,113.44557189941406
2015-03-20,113.47421264648438
2015-03-23,115.92985534667969
2015-03-24,114.65904235839844
2015-03-25,112.72891998291016
2015-03-26,112.11743927001953
2015-03-27,112.84358978271484
2015-03-30,114.63035583496094
2015-03-31,112.4709701538086
2015-04-01,107.93236541748047
2015-04-02,111.49636840820312
2015-04-06,112.8531723022461
2015-04-07,112.67160034179688
2015-04-08,113.68444061279297
2015-04-09,113.41688537597656
2015-04-10,113.16845703125
2015-04-13,113.12069702148438
2015-04-14,113.84686279296875
2015-04-15,115.70051574707031
2015-04-16,114.63993072509766
2015-04-17,114.44882202148438
2015-04-20,115.54764556884766
2015-04-21,115.56673431396484
2015-04-22,115.6814193725586
2015-04-23,117.14332580566406
2015-04-24,117.22931671142578
2015-04-27,114.89787292480469
2015-04-28,116.41714477539062
2015-04-29,114.38195037841797
2015-04-30,111.74478149414062
2015-05-01,111.61102294921875
2015-05-04,114.06661224365234
2015-05-05,111.09503936767578
2015-05-06,110.235107421875
2015-05-07,113.21627807617188
