date,FL
2015-01-02,42.9355011303
2015-01-05,42.8205774121
2015-01-06,41.7096481359
2015-01-07,43.6097202773
2015-01-08,44.0540919878
2015-01-09,43.0734095922
2015-01-12,43.5101197215
2015-01-13,42.6213763005
2015-01-14,40.9358284331
2015-01-15,40.1049565161
2015-01-16,40.0587969651
2015-01-20,39.8818520198
2015-01-21,40.3973003387
2015-01-22,41.1435464124
2015-01-23,41.1204666369
2015-01-26,41.5359025955
2015-01-27,41.6051419219
2015-01-28,41.3820374257
2015-01-29,41.8128599012
2015-01-30,40.9435216916
2015-02-02,41.0358407935
2015-02-03,42.0513509144
2015-02-04,41.7974733842
2015-02-05,41.8513261936
2015-02-06,40.8512025897
2015-02-09,40.3357542708
2015-02-10,40.9973745011
2015-02-11,41.0666138275
2015-02-12,41.6128351804
2015-02-13,41.51282282
2015-02-17,41.2743318068
2015-02-18,41.3666509087
2015-02-19,42.3744677711
2015-02-20,42.7437441786
2015-02-23,43.0745542938
2015-02-24,42.9360756409
2015-02-25,42.9899284504
2015-02-26,42.9591554164
2015-02-27,43.2130329466
2015-03-02,43.2053396881
2015-03-03,43.4207509259
2015-03-04,44.2285430675
2015-03-05,43.8746531769
2015-03-06,45.6748756639
2015-03-09,46.975036349
2015-03-10,46.6442262338
2015-03-11,47.0211958999
2015-03-12,47.3058464641
2015-03-13,47.1673678112
2015-03-16,46.7057723018
2015-03-17,47.1058217433
2015-03-18,47.0596621924
2015-03-19,47.7597487151
2015-03-20,48.2367307416
2015-03-23,47.9520801774
2015-03-24,48.2136509661
2015-03-25,47.7828284906
2015-03-26,47.1596745528
2015-03-27,47.5828037698
2015-03-30,48.9368172643
2015-03-31,48.4675284963
2015-04-01,48.0982520887
2015-04-02,48.1521048982
2015-04-06,48.1136386057
2015-04-07,47.352006015
2015-04-08,48.1828779321
2015-04-09,48.1290251227
2015-04-10,47.7135891641
2015-04-13,47.5289509603
2015-04-14,46.8057846621
2015-04-15,47.0058093829
2015-04-16,46.9285607233
2015-04-17,45.8161800247
2015-04-20,46.2178730547
2015-04-21,46.4109947038
2015-04-22,46.3491957761
2015-04-23,46.9053861254
2015-04-24,47.0135342489
2015-04-27,46.4032698378
2015-04-28,46.3569206421
2015-04-29,45.9320530141
2015-04-30,45.9243281481
2015-05-01,46.5654920231
2015-05-04,46.7972380019
2015-05-05,46.9053861254
2015-05-06,47.0521585787
2015-05-07,47.5928991961
2015-05-08,47.4615764747
2015-05-11,47.6392483919
2015-05-12,46.990359651
2015-05-13,47.3920526811
2015-05-14,47.3534283512
2015-05-15,47.6392483919
2015-05-18,48.4967085137
2015-05-19,49.0142745332
2015-05-20,49.0451739971
2015-05-21,49.4391421612
2015-05-22,49.0219993992
2015-05-26,48.3190365966
2015-05-27,48.9833750694
2015-05-28,48.7670788224
2015-05-29,48.8211528842
2015-06-01,48.8366026161
2015-06-02,48.3576609264
2015-06-03,49.1301475227
2015-06-04,48.5971317712
2015-06-05,48.4117349881
2015-06-08,48.2804122668
2015-06-09,47.8941689686
2015-06-10,48.2804122668
2015-06-11,48.7902534203
2015-06-12,48.9756502034
2015-06-15,48.3344863285
2015-06-16,48.6743804309
2015-06-17,48.8057031522
2015-06-18,49.2305707802
2015-06-19,49.5859146145
