date,ACN
2015-01-02,72.6602236531
2015-01-05,71.4334076301
2015-01-06,70.9181449005
2015-01-07,72.406681675
2015-01-08,73.5108160957
2015-01-09,73.4290283608
2015-01-12,73.2082014767
2015-01-13,73.4699222282
2015-01-14,72.6111510122
2015-01-15,72.1122458295
2015-01-16,72.7011175205
2015-01-20,72.4802906364
2015-01-21,72.2512849788
2015-01-22,73.2000227032
2015-01-23,72.9710170456
2015-01-26,72.8565142167
2015-01-27,70.4683123587
2015-01-28,68.9961331312
2015-01-29,70.0430161374
2015-01-30,68.7262336061
2015-02-02,70.1984128337
2015-02-03,71.9077764923
2015-02-04,71.4334076301
2015-02-05,72.3576090341
2015-02-06,72.0958882825
2015-02-09,71.4497651771
2015-02-10,71.5806255529
2015-02-11,71.9404915863
2015-02-12,72.8646929902
2015-02-13,73.4372071343
2015-02-17,73.0364472334
2015-02-18,73.1427712888
2015-02-19,73.8297882616
2015-02-20,74.0097212783
2015-02-23,74.0751514662
2015-02-24,74.3041571238
2015-02-25,74.0996877867
2015-02-26,73.8543245821
2015-02-27,73.633497698
2015-03-02,74.5740566489
2015-03-03,74.2959783504
2015-03-04,74.3532297648
2015-03-05,75.2856099422
2015-03-06,74.1569392011
2015-03-09,74.2550844829
2015-03-10,72.0222793211
2015-03-11,71.0408265028
2015-03-12,72.1367821499
2015-03-13,71.8668826249
2015-03-16,72.7174750675
2015-03-17,72.6602236531
2015-03-18,74.3695873117
2015-03-19,73.7643580737
2015-03-20,74.8194198535
2015-03-23,74.8684924944
2015-03-24,73.1264137418
2015-03-25,72.1449609234
2015-03-26,77.0195099213
2015-03-27,76.8313981311
2015-03-30,77.2239792585
2015-03-31,76.626928794
2015-04-01,76.5206047387
2015-04-02,77.0276886948
2015-04-06,78.2626834913
2015-04-07,78.8351976353
2015-04-08,78.6307282981
2015-04-09,78.9200549897
2015-04-10,78.2752697913
2015-04-13,77.283292563
2015-04-14,77.5478198239
2015-04-15,77.8371465155
2015-04-16,77.7544817465
2015-04-17,76.3739801037
2015-04-20,77.1014300711
2015-04-21,76.8782351948
2015-04-22,77.1923613171
2015-04-23,77.5726192546
2015-04-24,77.2088942709
2015-04-27,77.5064874394
2015-04-28,78.052074915
2015-04-29,77.4155561934
2015-04-30,76.5889085032
2015-05-01,77.1758283633
2015-05-04,78.0686078688
2015-05-05,77.4155561934
2015-05-06,76.8782351948
2015-05-07,78.1099402533
2015-05-08,79.2672470196
2015-05-11,79.3664447425
2015-05-12,78.8787226052
2015-05-13,79.0936510047
2015-05-14,80.168293002
2015-05-15,80.2013589096
2015-05-18,80.5650838934
2015-05-19,80.3336225401
2015-05-20,80.2261583404
2015-05-21,80.0442958485
2015-05-22,79.6805708648
2015-05-26,79.4325765577
2015-05-27,79.9946969871
2015-05-28,80.1104276637
2015-05-29,79.3912441732
2015-06-01,79.5152413267
2015-06-02,79.6309720034
2015-06-03,80.168293002
2015-06-04,79.3003129273
2015-06-05,78.8621896514
2015-06-08,78.3414016065
2015-06-09,78.4819317139
2015-06-10,79.7880350645
2015-06-11,80.1186941406
2015-06-12,79.4408430346
2015-06-15,79.1845822506
2015-06-16,79.9368316488
2015-06-17,80.1269606175
2015-06-18,80.4410867398
2015-06-19,80.2013589096
2015-06-22,81.4991957834
2015-06-23,81.2181355687
2015-06-24,80.8213446773
2015-06-25,82.2349122277
2015-06-26,81.8381213364
2015-06-29,79.920298695
2015-06-30,80.002963464
2015-07-01,81.0610725075
