Date,GS
2015-01-02,155.55516052246094
2015-01-05,150.6983184814453
2015-01-06,147.6497802734375
2015-01-07,149.85015869140625
2015-01-08,152.24261474609375
2015-01-09,149.9062042236328
2015-01-12,148.0818634033203
2015-01-13,147.96983337402344
2015-01-14,144.20916748046875
2015-01-15,142.81690979003906
2015-01-16,141.80877685546875
2015-01-20,140.5285186767578
2015-01-21,141.74476623535156
2015-01-22,145.6574249267578
2015-01-23,144.4172821044922
2015-01-26,144.3612060546875
2015-01-27,141.2166290283203
2015-01-28,138.4641876220703
2015-01-29,140.81663513183594
2015-01-30,137.95208740234375
2015-02-02,140.4165496826172
2015-02-03,144.2171630859375
2015-02-04,143.0490264892578
2015-02-05,144.6412811279297
2015-02-06,146.76962280273438
2015-02-09,145.8014373779297
2015-02-10,147.67379760742188
2015-02-11,150.14620971679688
2015-02-12,151.85052490234375
2015-02-13,151.22640991210938
2015-02-17,152.04263305664062
2015-02-18,150.96243286132812
2015-02-19,151.314453125
2015-02-20,153.23472595214844
2015-02-23,152.27459716796875
2015-02-24,153.80291748046875
2015-02-25,153.4027862548828
2015-02-26,154.2696533203125
2015-02-27,152.33529663085938
2015-03-02,153.9405975341797
2015-03-03,153.52317810058594
2015-03-04,152.2389373779297
2015-03-05,152.5680389404297
2015-03-06,150.023681640625
2015-03-09,150.84230041503906
2015-03-10,146.65248107910156
2015-03-11,147.8323974609375
2015-03-12,152.4636688232422
2015-03-13,151.97409057617188
2015-03-16,154.0288848876953
2015-03-17,152.96133422851562
2015-03-18,154.36599731445312
2015-03-19,152.47976684570312
2015-03-20,155.01609802246094
2015-03-23,154.07699584960938
2015-03-24,153.53123474121094
2015-03-25,150.3767852783203
2015-03-26,150.28854370117188
2015-03-27,150.94671630859375
2015-03-30,153.32249450683594
2015-03-31,150.87448120117188
2015-04-01,154.2937469482422
2015-04-02,153.7479705810547
2015-04-06,154.1492919921875
2015-04-07,154.42214965820312
2015-04-08,154.55862426757812
2015-04-09,156.42880249023438
2015-04-10,157.0308074951172
2015-04-13,156.98263549804688
2015-04-14,158.70030212402344
2015-04-15,161.413330078125
2015-04-16,160.69894409179688
2015-04-17,158.40335083007812
2015-04-20,159.00531005859375
2015-04-21,157.99395751953125
2015-04-22,159.18190002441406
2015-04-23,159.97653198242188
2015-04-24,158.9170684814453
2015-04-27,157.73709106445312
2015-04-28,158.5156707763672
2015-04-29,159.37452697753906
2015-04-30,157.65682983398438
2015-05-01,158.5477752685547
2015-05-04,159.9684600830078
2015-05-05,158.35516357421875
2015-05-06,157.5203857421875
2015-05-07,158.43544006347656
2015-05-08,160.93170166015625
2015-05-11,161.9188995361328
2015-05-12,160.95579528808594
2015-05-13,161.67813110351562
2015-05-14,162.63328552246094
2015-05-15,162.91416931152344
2015-05-18,164.2707061767578
2015-05-19,164.86468505859375
2015-05-20,164.6078338623047
2015-05-21,164.5034942626953
2015-05-22,166.7910614013672
2015-05-26,165.6512451171875
2015-05-27,167.8024139404297
2015-05-28,167.8587188720703
2015-05-29,166.01490783691406
2015-06-01,167.31922912597656
2015-06-02,166.20814514160156
2015-06-03,167.7056427001953
2015-06-04,168.1727752685547
2015-06-05,169.4448699951172
2015-06-08,168.91346740722656
2015-06-09,168.29354858398438
2015-06-10,171.60267639160156
2015-06-11,172.25486755371094
2015-06-12,171.54632568359375
2015-06-15,170.49964904785156
2015-06-16,171.94895935058594
2015-06-17,171.44166564941406
2015-06-18,172.78627014160156
