date,AIZ
2015-01-02,54.2981824874
2015-01-05,53.0803392325
2015-01-06,52.3432235783
2015-01-07,52.5515388719
2015-01-08,53.3367272862
2015-01-09,53.1524483726
2015-01-12,52.896060319
2015-01-13,52.896060319
2015-01-14,52.4954539851
2015-01-15,51.8064110909
2015-01-16,52.2230416781
2015-01-20,51.6381564307
2015-01-21,52.0467748912
2015-01-22,52.8479875589
2015-01-23,52.3031629449
2015-01-26,52.375272085
2015-01-27,52.1749689181
2015-01-28,51.1414045768
2015-01-29,51.630144304
2015-01-30,50.8850165231
2015-02-02,51.7423140775
2015-02-03,52.6076237586
2015-02-04,52.5275024918
2015-02-05,53.1043756125
2015-02-06,53.1604604993
2015-02-09,52.7518420388
2015-02-10,52.920096699
2015-02-11,53.1203998659
2015-02-12,53.216545386
2015-02-13,49.2265063011
2015-02-17,48.7698150805
2015-02-18,48.5294512802
2015-02-19,48.9540939941
2015-02-20,48.8253309653
2015-02-23,48.4631849469
2015-02-24,48.8897124797
2015-02-25,49.3081923231
2015-02-26,49.1391908479
2015-02-27,49.3081923231
2015-03-02,49.6461952736
2015-03-03,49.3886692161
2015-03-04,48.7287586937
2015-03-05,49.6059568271
2015-03-06,49.5657183806
2015-03-09,50.0566274278
2015-03-10,48.9862847513
2015-03-11,48.5275664613
2015-03-12,49.791053681
2015-03-13,49.2679538766
2015-03-16,49.710576788
2015-03-17,49.7749583024
2015-03-18,49.9117690204
2015-03-19,49.3403830803
2015-03-20,50.0485797385
2015-03-23,50.0566274278
2015-03-24,49.9841982241
2015-03-25,49.0748093335
2015-03-26,49.3403830803
2015-03-27,49.034570887
2015-03-30,49.5818137592
2015-03-31,49.4208599733
2015-04-01,49.2196677409
2015-04-02,49.4208599733
2015-04-06,49.3564784589
2015-04-07,49.2116200516
2015-04-08,49.6542429629
2015-04-09,49.7347198559
2015-04-10,49.7266721666
2015-04-13,50.0566274278
2015-04-14,49.5576706913
2015-04-15,49.493289177
2015-04-16,49.6944814094
2015-04-17,49.0265231977
