date,MNK
2015-01-02,96.96
2015-01-05,96.07
2015-01-06,93.89
2015-01-07,96.91
2015-01-08,100.16
2015-01-09,103.57
2015-01-12,102.46
2015-01-13,105.32
2015-01-14,104.25
2015-01-15,103.84
2015-01-16,105.0
2015-01-20,103.6
2015-01-21,105.48
2015-01-22,105.23
2015-01-23,106.98
2015-01-26,107.4
2015-01-27,107.33
2015-01-28,105.85
2015-01-29,108.74
2015-01-30,105.99
2015-02-02,106.74
2015-02-03,104.93
2015-02-04,105.83
2015-02-05,109.37
2015-02-06,108.51
2015-02-09,107.82
2015-02-10,110.79
2015-02-11,109.34
2015-02-12,112.5
2015-02-13,115.01
2015-02-17,117.37
2015-02-18,117.96
2015-02-19,116.9
2015-02-20,117.58
2015-02-23,120.18
2015-02-24,117.82
2015-02-25,116.15
2015-02-26,119.61
2015-02-27,116.72
2015-03-02,118.82
2015-03-03,114.85
2015-03-04,116.19
2015-03-05,121.7
2015-03-06,121.33
2015-03-09,122.28
2015-03-10,120.59
2015-03-11,119.42
2015-03-12,123.33
2015-03-13,124.12
2015-03-16,126.43
2015-03-17,131.26
2015-03-18,132.51
2015-03-19,131.21
2015-03-20,132.47
2015-03-23,130.55
2015-03-24,129.68
2015-03-25,126.66
2015-03-26,126.78
2015-03-27,129.61
2015-03-30,130.13
2015-03-31,126.65
2015-04-01,124.72
2015-04-02,124.76
2015-04-06,124.09
2015-04-07,124.15
2015-04-08,128.03
2015-04-09,127.8
2015-04-10,129.09
2015-04-13,126.89
2015-04-14,124.75
2015-04-15,124.31
2015-04-16,123.72
2015-04-17,122.38
2015-04-20,123.12
2015-04-21,125.17
2015-04-22,122.95
2015-04-23,124.85
2015-04-24,122.01
2015-04-27,115.35
2015-04-28,114.87
2015-04-29,115.71
2015-04-30,113.18
2015-05-01,114.2
2015-05-04,115.0
2015-05-05,120.27
2015-05-06,117.39
2015-05-07,119.06
2015-05-08,122.67
2015-05-11,123.31
2015-05-12,122.32
2015-05-13,122.24
2015-05-14,124.31
2015-05-15,123.83
2015-05-18,127.23
2015-05-19,128.98
2015-05-20,129.04
2015-05-21,128.81
2015-05-22,127.18
2015-05-26,126.57
2015-05-27,129.61
2015-05-28,130.18
2015-05-29,129.44
2015-06-01,129.89
2015-06-02,129.19
2015-06-03,129.5
2015-06-04,124.28
2015-06-05,126.07
2015-06-08,124.32
2015-06-09,122.97
2015-06-10,124.41
2015-06-11,126.29
2015-06-12,124.0
2015-06-15,121.93
2015-06-16,119.99
2015-06-17,117.68
2015-06-18,121.14
2015-06-19,122.01
2015-06-22,124.02
2015-06-23,124.87
2015-06-24,120.59
2015-06-25,120.28
2015-06-26,116.78
2015-06-29,115.66
2015-06-30,117.72
2015-07-01,120.27
2015-07-02,119.46
2015-07-06,119.63
2015-07-07,121.2
2015-07-08,120.07
2015-07-09,120.26
2015-07-10,122.44
2015-07-13,121.57
2015-07-14,124.04
2015-07-15,124.63
2015-07-16,124.32
2015-07-17,123.14
2015-07-20,122.94
2015-07-21,123.98
2015-07-22,126.51
2015-07-23,124.99
2015-07-24,123.82
2015-07-27,123.08
2015-07-28,123.87
2015-07-29,122.73
2015-07-30,121.7
2015-07-31,123.96
2015-08-03,124.21
2015-08-04,106.73
2015-08-05,104.51
2015-08-06,98.49
2015-08-07,100.38
2015-08-10,103.5
2015-08-11,102.33
2015-08-12,100.2
2015-08-13,98.03
2015-08-14,98.54
2015-08-17,98.84
2015-08-18,97.79
2015-08-19,95.49
2015-08-20,89.44
2015-08-21,88.3
2015-08-24,81.96
2015-08-25,78.66
2015-08-26,85.82
2015-08-27,89.17
2015-08-28,89.93
2015-08-31,86.24
2015-09-01,84.06
2015-09-02,84.37
2015-09-03,82.78
2015-09-04,82.86
2015-09-08,85.5
2015-09-09,83.62
2015-09-10,83.0
2015-09-11,82.08
2015-09-14,81.69
2015-09-15,83.3
2015-09-16,83.61
2015-09-17,84.95
2015-09-18,82.1
2015-09-21,73.87
2015-09-22,72.9
2015-09-23,71.64
2015-09-24,70.14
2015-09-25,68.45
2015-09-28,59.8
2015-09-29,57.96
2015-09-30,63.94
2015-10-01,63.48
2015-10-02,65.87
2015-10-05,61.41
2015-10-06,62.98
2015-10-07,65.27
2015-10-08,68.54
2015-10-09,66.73
2015-10-12,65.89
2015-10-13,64.99
2015-10-14,65.58
2015-10-15,66.9
2015-10-16,68.13
2015-10-19,67.62
2015-10-20,64.07
2015-10-21,60.48
2015-10-22,58.61
2015-10-23,65.75
2015-10-26,66.96
2015-10-27,67.9
2015-10-28,70.09
2015-10-29,69.99
2015-10-30,65.67
2015-11-02,67.79
2015-11-03,70.31
2015-11-04,70.63
2015-11-05,66.51
2015-11-06,69.89
2015-11-09,58.01
2015-11-10,62.58
2015-11-11,57.12
2015-11-12,53.41
2015-11-13,56.94
2015-11-16,57.22
2015-11-17,57.5
2015-11-18,57.61
2015-11-19,60.08
2015-11-20,61.0
2015-11-23,66.1
2015-11-24,66.09
2015-11-25,66.06
2015-11-27,66.29
2015-11-30,67.91
2015-12-01,71.48
2015-12-02,72.36
2015-12-03,72.2
2015-12-04,74.73
2015-12-07,74.73
2015-12-08,72.15
2015-12-09,70.88
2015-12-10,71.24
2015-12-11,69.37
2015-12-14,69.22
2015-12-15,73.64
2015-12-16,74.45
2015-12-17,71.62
2015-12-18,71.24
2015-12-21,71.64
2015-12-22,74.76
2015-12-23,76.66
2015-12-24,76.4
2015-12-28,74.28
2015-12-29,74.13
2015-12-30,75.88
2015-12-31,74.63
