Date,WEC
2015-01-02,36.84191131591797
2015-01-05,36.391685485839844
2015-01-06,36.48865509033203
2015-01-07,36.93889617919922
2015-01-08,37.34754180908203
2015-01-09,37.139747619628906
2015-01-12,37.028934478759766
2015-01-13,37.209022521972656
2015-01-14,37.65231704711914
2015-01-15,38.1302375793457
2015-01-16,38.691280364990234
2015-01-20,38.62201690673828
2015-01-21,39.099937438964844
2015-01-22,39.21076965332031
2015-01-23,39.44627380371094
2015-01-26,39.4947509765625
2015-01-27,39.54323959350586
2015-01-28,39.33544158935547
2015-01-29,39.806434631347656
2015-01-30,38.628929138183594
2015-02-02,38.94062805175781
2015-02-03,38.76054000854492
2015-02-04,38.31031799316406
2015-02-05,38.80209732055664
2015-02-06,37.008148193359375
2015-02-09,36.44015884399414
2015-02-10,37.257503509521484
2015-02-11,36.13492965698242
2015-02-12,36.490970611572266
2015-02-13,35.576416015625
2015-02-17,35.611324310302734
2015-02-18,36.449066162109375
2015-02-19,35.932464599609375
2015-02-20,36.25359344482422
2015-02-23,36.67945861816406
2015-02-24,36.693424224853516
2015-02-25,36.00226593017578
2015-02-26,35.45772933959961
2015-02-27,35.59038162231445
2015-03-02,34.98301315307617
2015-03-03,35.373966217041016
2015-03-04,34.86433792114258
2015-03-05,35.24131393432617
2015-03-06,33.78921890258789
2015-03-09,33.942813873291016
2015-03-10,33.754302978515625
2015-03-11,33.38430404663086
2015-03-12,33.90092468261719
2015-03-13,33.65658187866211
2015-03-16,34.24998474121094
2015-03-17,33.9986572265625
2015-03-18,34.850364685058594
2015-03-19,34.647918701171875
2015-03-20,35.03886032104492
2015-03-23,35.02489471435547
2015-03-24,34.64093017578125
2015-03-25,34.27091979980469
2015-03-26,34.11734390258789
2015-03-27,34.52224349975586
2015-03-30,34.71772003173828
2015-03-31,34.55714416503906
2015-04-01,34.85734939575195
2015-04-02,34.759605407714844
2015-04-06,35.066795349121094
2015-04-07,34.585086822509766
2015-04-08,34.45941925048828
2015-04-09,34.24299621582031
2015-04-10,34.6618766784668
2015-04-13,34.50828170776367
2015-04-14,34.75263595581055
2015-04-15,34.6967887878418
2015-04-16,34.52224349975586
2015-04-17,34.585086822509766
2015-04-20,35.136592864990234
2015-04-21,35.02489471435547
2015-04-22,35.1016960144043
2015-04-23,35.36697769165039
2015-04-24,35.681148529052734
2015-04-27,35.05282211303711
2015-04-28,35.14357376098633
2015-04-29,34.83641052246094
2015-04-30,34.29186248779297
2015-05-01,34.62696075439453
2015-05-04,34.801490783691406
2015-05-05,33.48902893066406
2015-05-06,33.265628814697266
2015-05-07,33.37034225463867
2015-05-08,33.572792053222656
2015-05-11,33.43317794799805
2015-05-12,33.322593688964844
2015-05-13,32.991539001464844
2015-05-14,33.49163818359375
2015-05-15,33.808597564697266
2015-05-18,33.991722106933594
2015-05-19,33.970577239990234
2015-05-20,34.3227653503418
2015-05-21,34.30162811279297
2015-05-22,34.048065185546875
2015-05-26,33.977638244628906
2015-05-27,34.01988983154297
2015-05-28,34.041019439697266
2015-05-29,34.00579833984375
2015-06-01,34.055110931396484
2015-06-02,33.42120361328125
2015-06-03,32.90702819824219
2015-06-04,32.59712600708008
2015-06-05,32.05477523803711
2015-06-08,31.84345817565918
2015-06-09,31.83642578125
2015-06-10,31.892770767211914
2015-06-11,32.30834197998047
2015-06-12,32.0970344543457
2015-06-15,32.06884765625
2015-06-16,32.435115814208984
2015-06-17,32.646419525146484
2015-06-18,33.104251861572266
2015-06-19,32.80842971801758
2015-06-22,32.59712600708008
2015-06-23,32.322425842285156
2015-06-24,32.24493408203125
2015-06-25,32.251983642578125
2015-06-26,32.547821044921875
2015-06-29,31.808250427246094
2015-06-30,31.820287704467773
2015-07-01,32.49956512451172
2015-07-02,33.009033203125
2015-07-06,33.07271194458008
2015-07-07,33.872276306152344
2015-07-08,33.55387496948242
2015-07-09,33.12224197387695
2015-07-10,33.4406623840332
2015-07-13,33.405277252197266
2015-07-14,33.412349700927734
2015-07-15,33.53264236450195
2015-07-16,34.26144790649414
2015-07-17,33.86520767211914
2015-07-20,33.68124008178711
2015-07-21,33.6246337890625
2015-07-22,33.98549270629883
2015-07-23,33.32743835449219
2015-07-24,33.34159851074219
2015-07-27,33.73784637451172
2015-07-28,34.00673294067383
