Date,DD
2015-01-02,20.88357925415039
2015-01-05,20.237699508666992
2015-01-06,19.91246795654297
2015-01-07,19.880401611328125
2015-01-08,20.375123977661133
2015-01-09,20.343053817749023
2015-01-12,20.223955154418945
2015-01-13,19.976593017578125
2015-01-14,19.894140243530273
2015-01-15,19.839170455932617
2015-01-16,20.517126083374023
2015-01-20,20.214794158935547
2015-01-21,20.494220733642578
2015-01-22,20.778226852416992
2015-01-23,20.416345596313477
2015-01-26,20.41176414489746
2015-01-27,20.233118057250977
2015-01-28,19.710914611816406
2015-01-29,20.61789894104004
2015-01-30,20.686613082885742
2015-02-02,20.714094161987305
2015-02-03,21.479080200195312
2015-02-04,21.17216682434082
2015-02-05,21.89592170715332
2015-02-06,22.17076873779297
2015-02-09,22.106632232666016
2015-02-10,22.216569900512695
2015-02-11,22.024185180664062
2015-02-12,22.51432991027832
2015-02-13,22.647171020507812
2015-02-17,22.70671272277832
2015-02-18,22.633426666259766
2015-02-19,22.757104873657227
2015-02-20,22.688392639160156
2015-02-23,22.670072555541992
2015-02-24,22.816652297973633
2015-02-25,22.834978103637695
2015-02-26,22.56013298034668
2015-02-27,22.55554962158203
2015-03-02,22.605937957763672
2015-03-03,22.56013298034668
2015-03-04,22.70671272277832
2015-03-05,22.395225524902344
2015-03-06,21.96005630493164
2015-03-09,21.955474853515625
2015-03-10,21.57985496520996
2015-03-11,21.42868995666504
2015-03-12,21.74018096923828
2015-03-13,21.552366256713867
2015-03-16,21.5432071685791
2015-03-17,21.359975814819336
2015-03-18,21.776819229125977
2015-03-19,21.40578842163086
2015-03-20,21.662302017211914
2015-03-23,21.634822845458984
2015-03-24,21.62565803527832
2015-03-25,21.451595306396484
2015-03-26,21.465341567993164
2015-03-27,22.075454711914062
2015-03-30,22.500703811645508
2015-03-31,22.17714500427246
2015-04-01,22.14017105102539
2015-04-02,22.297325134277344
2015-04-06,22.500703811645508
2015-04-07,22.426746368408203
2015-04-08,22.35741424560547
2015-04-09,22.52843475341797
2015-04-10,22.366661071777344
2015-04-13,22.31119155883789
2015-04-14,22.57003402709961
2015-04-15,23.16166877746582
2015-04-16,22.995271682739258
2015-04-17,22.953670501708984
2015-04-20,23.15242576599121
2015-04-21,22.94904899597168
2015-04-22,23.120071411132812
2015-04-23,23.57303810119629
2015-04-24,23.628509521484375
2015-04-27,23.790285110473633
2015-04-28,23.952058792114258
2015-04-29,23.854999542236328
2015-04-30,23.57303810119629
2015-05-01,23.891977310180664
2015-05-04,23.873485565185547
2015-05-05,23.734821319580078
2015-05-06,23.517581939697266
2015-05-07,23.406644821166992
2015-05-08,23.965925216674805
2015-05-11,23.98904037475586
2015-05-12,23.5499324798584
2015-05-13,23.4482364654541
2015-05-14,23.68397331237793
2015-05-15,23.80876922607422
2015-05-18,23.57303810119629
2015-05-19,23.4482364654541
2015-05-20,23.591529846191406
2015-05-21,23.748685836791992
2015-05-22,23.70708656311035
2015-05-26,23.397401809692383
2015-05-27,23.665485382080078
2015-05-28,23.836503982543945
2015-05-29,24.067617416381836
2015-06-01,24.15543556213379
2015-06-02,24.335702896118164
2015-06-03,24.50210189819336
2015-06-04,24.52059555053711
2015-06-05,24.067617416381836
2015-06-08,23.75792694091797
2015-06-09,23.813396453857422
2015-06-10,24.030635833740234
2015-06-11,24.109210968017578
2015-06-12,23.961307525634766
2015-06-15,23.97054672241211
2015-06-16,24.307964324951172
2015-06-17,24.659252166748047
2015-06-18,24.77018928527832
2015-06-19,24.62689781188965
2015-06-22,24.70085334777832
2015-06-23,24.76093864440918
2015-06-24,24.5436954498291
2015-06-25,24.599166870117188
2015-06-26,24.538599014282227
2015-06-29,23.662715911865234
2015-06-30,23.83976173400879
2015-07-01,23.9422607421875
2015-07-02,23.937599182128906
2015-07-06,23.560222625732422
2015-07-07,23.68600845336914
2015-07-08,23.07103729248047
2015-07-09,23.415794372558594
2015-07-10,23.951574325561523
2015-07-13,24.19849967956543
2015-07-14,24.710973739624023
2015-07-15,24.273040771484375
2015-07-16,24.33360481262207
2015-07-17,23.83976173400879
2015-07-20,23.536924362182617
2015-07-21,23.34125328063965
2015-07-22,23.294660568237305
2015-07-23,22.251066207885742
2015-07-24,21.417112350463867
2015-07-27,21.258712768554688
2015-07-28,21.733915328979492
2015-07-29,22.097320556640625
2015-07-30,22.092660903930664
2015-07-31,21.924942016601562
2015-08-03,21.645401000976562
2015-08-04,21.7525577545166
2015-08-05,21.95754623413086
2015-08-06,21.710622787475586
2015-08-07,21.19814109802246
2015-08-10,21.729259490966797
2015-08-11,21.10030174255371
2015-08-12,21.291316986083984
2015-08-13,20.95121955871582
2015-08-14,20.918609619140625
2015-08-17,21.18416404724121
2015-08-18,20.848724365234375
2015-08-19,20.55987548828125
2015-08-20,20.345561981201172
2015-08-21,19.856367111206055
2015-08-24,18.79879379272461
2015-08-25,18.351531982421875
2015-08-26,19.12491798400879
2015-08-27,20.312942504882812
2015-08-28,20.49930191040039
2015-08-31,20.387489318847656
2015-09-01,19.409114837646484
2015-09-02,19.749217987060547
2015-09-03,19.954206466674805
2015-09-04,19.604787826538086
2015-09-08,20.541234970092773
2015-09-09,20.40146827697754
2015-09-10,20.387489318847656
2015-09-11,20.39681053161621
2015-09-14,20.070682525634766
2015-09-15,20.317602157592773
2015-09-16,20.95587921142578
2015-09-17,20.60179901123047
2015-09-18,20.177837371826172
2015-09-21,20.508625030517578
2015-09-22,20.312942504882812
2015-09-23,19.83773422241211
2015-09-24,19.795804977416992
2015-09-25,19.71660041809082
2015-09-28,18.83194351196289
2015-09-29,19.086048126220703
2015-09-30,19.95188331604004
2015-10-01,20.224811553955078
2015-10-02,20.916540145874023
2015-10-05,21.791790008544922
2015-10-06,22.154123306274414
2015-10-07,22.3470516204834
2015-10-08,22.48822021484375
2015-10-09,22.154123306274414
2015-10-12,21.928251266479492
2015-10-13,21.885900497436523
2015-10-14,22.16823959350586
2015-10-15,22.389404296875
2015-10-16,22.408222198486328
2015-10-19,22.299997329711914
2015-10-20,22.441165924072266
2015-10-21,22.342348098754883
2015-10-22,23.490520477294922
2015-10-23,23.678743362426758
2015-10-26,23.73991584777832
2015-10-27,23.85284996032715
2015-10-28,24.17283058166504
2015-10-29,23.951669692993164
2015-10-30,24.314006805419922
2015-11-02,24.2763614654541
2015-11-03,24.459880828857422
2015-11-04,24.17754554748535
2015-11-05,24.285770416259766
2015-11-06,24.394001007080078
2015-11-09,24.328126907348633
2015-11-10,24.33283042907715
2015-11-11,24.328126907348633
2015-11-12,23.730506896972656
2015-11-13,24.064603805541992
2015-11-16,24.304595947265625
2015-11-17,24.304595947265625
2015-11-18,25.01514434814453
2015-11-19,25.090436935424805
2015-11-20,25.090436935424805
2015-11-23,24.939863204956055
2015-11-24,25.118667602539062
2015-11-25,24.431642532348633
2015-11-27,24.473997116088867
2015-11-30,24.53045654296875
2015-12-01,25.13749122619629
2015-12-02,24.605756759643555
2015-12-03,24.403411865234375
2015-12-04,25.08572769165039
2015-12-07,24.483409881591797
2015-12-08,23.951669692993164
2015-12-09,26.807987213134766
2015-12-10,25.838632583618164
2015-12-11,25.11395835876465
2015-12-14,24.13519287109375
2015-12-15,23.79638671875
2015-12-16,23.866975784301758
2015-12-17,23.645803451538086
2015-12-18,23.35405731201172
2015-12-21,23.984615325927734
2015-12-22,24.234012603759766
2015-12-23,24.71868896484375
2015-12-24,24.615171432495117
2015-12-28,24.577518463134766
2015-12-29,25.061763763427734
2015-12-30,24.52529525756836
2015-12-31,24.439844131469727
