date,LB
2015-01-02,76.58119995751
2015-01-05,75.433149429385
2015-01-06,74.658882794137
2015-01-07,77.47116160722
2015-01-08,77.141875796827
2015-01-09,75.984925652205
2015-01-12,76.278612996609
2015-01-13,74.596585478658
2015-01-14,73.083650674151
2015-01-15,71.722009350096
2015-01-16,73.065851441157
2015-01-20,73.137048373134
2015-01-21,73.243843771099
2015-01-22,74.685581643629
2015-01-23,75.513245977859
2015-01-26,75.976026035708
2015-01-27,76.118419899661
2015-01-28,75.584442909835
2015-01-29,76.874887301914
2015-01-30,75.317454414922
2015-02-02,75.513245977859
2015-02-03,77.480061223717
2015-02-04,76.990582316376
2015-02-05,81.155602837017
2015-02-06,82.730834957003
2015-02-09,82.143460268195
2015-02-10,83.01562268491
2015-02-11,83.238113097338
2015-02-12,84.377264008966
2015-02-13,84.110275514053
2015-02-17,82.7397345735
2015-02-18,81.031008206058
2015-02-19,80.565672764124
2015-02-20,80.843084277585
2015-02-23,81.93483281443
2015-02-24,81.907986538934
2015-02-25,82.749169837815
2015-02-26,82.310680671377
2015-02-27,82.203295569392
2015-03-02,82.722323562319
2015-03-03,81.684267576466
2015-03-04,81.720062610461
2015-03-05,81.639523783972
2015-03-06,80.619365315116
2015-03-09,81.791652678451
2015-03-10,80.878879311579
2015-03-11,80.538826488627
2015-03-12,82.43596329036
2015-03-13,81.415804821504
2015-03-16,82.418065773362
2015-03-17,81.800601436949
2015-03-18,82.319629429876
2015-03-19,83.312941623236
2015-03-20,83.581404378198
2015-03-23,83.599301895195
2015-03-24,84.198868714611
2015-03-25,83.303992864737
2015-03-26,82.71337480382
2015-03-27,83.527711827205
2015-03-30,84.297305058097
2015-03-31,84.377843884585
2015-04-01,83.375582932727
2015-04-02,83.590353136697
2015-04-06,84.753691741532
2015-04-07,83.930405959649
2015-04-08,84.547870296061
2015-04-09,84.565767813059
2015-04-10,84.726845466036
2015-04-13,83.885662167155
2015-04-14,83.876713408656
2015-04-15,83.518763068707
2015-04-16,82.328578188375
2015-04-17,80.037696012698
2015-04-20,81.326317236516
2015-04-21,82.534399633846
2015-04-22,81.550036198985
2015-04-23,82.015371640919
2015-04-24,81.612677508476
2015-04-27,80.843084277585
2015-04-28,80.59251903962
2015-04-29,79.643950638754
2015-04-30,79.966105944708
2015-05-01,82.033269157916
2015-05-04,81.048905723055
2015-05-05,80.413543869645
2015-05-06,81.281573444023
2015-05-07,79.617104363258
2015-05-08,80.780442968093
2015-05-11,79.966105944708
2015-05-12,78.758023547379
2015-05-13,77.863147697505
2015-05-14,78.426919482926
2015-05-15,78.954896234351
2015-05-18,79.554463053766
2015-05-19,78.856459890865
2015-05-20,79.375487883792
2015-05-21,79.160717679822
2015-05-22,78.265841829948
2015-05-26,76.825091711652
2015-05-27,78.104764176971
2015-05-28,78.238995554452
2015-05-29,77.424658531067
2015-06-01,77.326222187581
2015-06-02,77.129349500609
2015-06-03,77.54994115005
2015-06-04,78.45901079445
2015-06-05,76.919892881653
2015-06-08,75.704799792603
2015-06-09,75.54278738073
2015-06-10,76.27184323416
2015-06-11,76.226839786417
2015-06-12,76.217839096869
2015-06-15,75.821808756734
2015-06-16,76.055826684995
2015-06-17,76.298845302805
2015-06-18,77.477935633661
2015-06-19,77.072904603978
2015-06-22,78.188990107994
2015-06-23,78.828039065939
2015-06-24,78.062980454315
2015-06-25,78.369003898965
2015-06-26,79.260072164268
2015-06-29,76.577866678809
2015-06-30,77.162911499463
2015-07-01,77.531939770952
2015-07-02,77.72995494102
2015-07-06,77.522939081404
2015-07-07,78.305999072125
2015-07-08,77.396929427725
2015-07-09,75.533786691181
2015-07-10,76.001822547704
2015-07-13,76.487859783324
2015-07-14,75.605792207569
2015-07-15,75.713800482151
2015-07-16,76.055826684995
2015-07-17,74.867735664591
2015-07-20,75.254765315177
2015-07-21,75.371774279308
2015-07-22,75.488783243438
2015-07-23,75.263766004725
2015-07-24,74.669720494523
2015-07-27,72.950588790756
2015-07-28,73.256612235405
2015-07-29,74.471705324456
2015-07-30,73.211608787663
2015-07-31,72.653566035655
2015-08-03,73.976667399287
2015-08-04,74.885737043688
2015-08-05,76.046825995447
2015-08-06,73.625640506895
2015-08-07,73.499630853215
2015-08-10,75.056750145109
2015-08-11,74.246688085743
2015-08-12,72.995592238498
2015-08-13,72.635564656558
2015-08-14,72.896584653465
2015-08-17,73.364620509988
2015-08-18,73.220609477211
2015-08-19,73.517632232313
2015-08-20,76.017123054697
2015-08-21,72.711637003355
2015-08-24,70.701176994046
2015-08-25,70.520054470685
2015-08-26,73.680642503338
2015-08-27,74.993780797706
2015-08-28,75.745439269655
2015-08-31,75.980898550025
2015-09-01,75.935617919185
2015-09-02,77.63816963878
2015-09-03,80.853094428441
2015-09-04,81.849268306928
2015-09-08,83.968401830254
2015-09-09,82.084727587297
2015-09-10,82.945059573263
2015-09-11,83.606156783532
2015-09-14,83.452202638675
2015-09-15,83.108069844288
2015-09-16,83.950289577918
2015-09-17,83.397865881666
2015-09-18,83.252967862977
2015-09-21,83.506539395683
