Date,ICE
2015-01-02,37.73808288574219
2015-01-05,37.94442367553711
2015-01-06,37.40168762207031
2015-01-07,37.9305419921875
2015-01-08,38.40738296508789
2015-01-09,38.42992401123047
2015-01-12,37.424224853515625
2015-01-13,36.326629638671875
2015-01-14,36.06652069091797
2015-01-15,35.66425704956055
2015-01-16,36.30928421020508
2015-01-20,36.06132888793945
2015-01-21,35.81682586669922
2015-01-22,37.139854431152344
2015-01-23,37.576812744140625
2015-01-26,37.75715637207031
2015-01-27,36.88149642944336
2015-01-28,35.62263488769531
2015-01-29,35.52378845214844
2015-01-30,35.672908782958984
2015-02-02,36.13762664794922
2015-02-03,36.650882720947266
2015-02-04,37.280296325683594
2015-02-05,39.161659240722656
2015-02-06,39.65932083129883
2015-02-09,39.713069915771484
2015-02-10,40.10667419433594
2015-02-11,40.20030212402344
2015-02-12,40.649410247802734
2015-02-13,40.43959045410156
2015-02-17,40.715309143066406
2015-02-18,40.70835876464844
2015-02-19,40.55923843383789
2015-02-20,40.751708984375
2015-02-23,40.64766311645508
2015-02-24,40.84014129638672
2015-02-25,41.41582489013672
2015-02-26,41.30832290649414
2015-02-27,40.8106575012207
2015-03-02,41.497310638427734
2015-03-03,40.854007720947266
2015-03-04,40.392784118652344
2015-03-05,40.59391784667969
2015-03-06,39.95407485961914
2015-03-09,40.56270217895508
2015-03-10,39.525794982910156
2015-03-11,39.638511657714844
2015-03-12,40.014774322509766
2015-03-13,39.83566665649414
2015-03-16,40.50687789916992
2015-03-17,40.604248046875
2015-03-18,40.24951171875
2015-03-19,41.160675048828125
2015-03-20,41.15895080566406
2015-03-23,40.920719146728516
2015-03-24,40.743350982666016
2015-03-25,40.159095764160156
2015-03-26,39.95043182373047
2015-03-27,40.33819580078125
2015-03-30,40.8598518371582
2015-03-31,40.56252670288086
2015-04-01,40.15387725830078
2015-04-02,39.79741668701172
2015-04-06,39.877410888671875
2015-04-07,39.96086502075195
2015-04-08,40.08085632324219
2015-04-09,40.14867401123047
2015-04-10,40.326026916503906
2015-04-13,40.13127136230469
2015-04-14,39.79914855957031
2015-04-15,39.957393646240234
2015-04-16,39.9730339050293
2015-04-17,38.89320373535156
2015-04-20,39.24098205566406
2015-04-21,38.97145462036133
2015-04-22,39.23054504394531
2015-04-23,39.157508850097656
2015-04-24,38.84451675415039
2015-04-27,38.73323059082031
2015-04-28,39.00101089477539
2015-04-29,39.08272933959961
2015-04-30,39.04273986816406
2015-05-01,39.267059326171875
2015-05-04,39.40095138549805
2015-05-05,40.37125015258789
2015-05-06,39.517459869384766
2015-05-07,40.53120803833008
2015-05-08,41.42672348022461
2015-05-11,41.73276901245117
2015-05-12,41.72233963012695
2015-05-13,41.74668884277344
2015-05-14,41.821441650390625
2015-05-15,41.51887893676758
2015-05-18,41.32936096191406
2015-05-19,41.35892105102539
2015-05-20,40.99547576904297
2015-05-21,40.9241943359375
2015-05-22,41.18850326538086
2015-05-26,40.63381576538086
2015-05-27,40.807701110839844
2015-05-28,41.11374282836914
2015-05-29,41.17286682128906
2015-06-01,40.95724105834961
2015-06-02,41.019832611083984
2015-06-03,40.73119354248047
2015-06-04,40.91202926635742
2015-06-05,41.13286590576172
2015-06-08,40.962459564208984
2015-06-09,41.190242767333984
2015-06-10,41.81449508666992
2015-06-11,42.08055877685547
2015-06-12,41.60960388183594
2015-06-15,41.3932991027832
2015-06-16,40.88572311401367
2015-06-17,40.87001419067383
2015-06-18,40.77234649658203
2015-06-19,40.010093688964844
2015-06-22,40.27348327636719
2015-06-23,40.09382629394531
2015-06-24,39.779842376708984
2015-06-25,39.722286224365234
2015-06-26,39.448448181152344
2015-06-29,38.77341079711914
2015-06-30,39.003658294677734
2015-07-01,39.375179290771484
2015-07-02,39.6019401550293
2015-07-06,39.13622283935547
2015-07-07,39.63508224487305
2015-07-08,38.69839859008789
2015-07-09,39.14668273925781
2015-07-10,40.025794982910156
2015-07-13,39.943817138671875
2015-07-14,39.767642974853516
2015-07-15,39.92985534667969
2015-07-16,40.52291488647461
2015-07-17,40.41825485229492
2015-07-20,40.381629943847656
2015-07-21,40.414756774902344
2015-07-22,40.69211196899414
2015-07-23,40.09033203125
2015-07-24,39.94554901123047
2015-07-27,39.50775146484375
2015-07-28,39.481590270996094
2015-07-29,39.718807220458984
2015-07-30,39.95252990722656
2015-07-31,39.776363372802734
2015-08-03,40.09730911254883
2015-08-04,40.231632232666016
2015-08-05,41.43342590332031
2015-08-06,41.3392333984375
2015-08-07,41.382835388183594
2015-08-10,41.93403244018555
2015-08-11,41.3217887878418
2015-08-12,41.19620132446289
2015-08-13,41.463077545166016
2015-08-14,41.975887298583984
2015-08-17,42.036930084228516
2015-08-18,42.568939208984375
2015-08-19,42.556739807128906
2015-08-20,42.61080551147461
2015-08-21,41.28863525390625
2015-08-24,39.2338981628418
2015-08-25,38.813533782958984
2015-08-26,40.00311279296875
2015-08-27,40.46187210083008
2015-08-28,40.53861618041992
2015-08-31,39.84088897705078
2015-09-01,39.162384033203125
2015-09-02,39.50948715209961
2015-09-03,39.928131103515625
2015-09-04,39.5583381652832
2015-09-08,40.9049072265625
2015-09-09,40.32581329345703
2015-09-10,41.014808654785156
2015-09-11,41.20492935180664
2015-09-14,40.86720275878906
2015-09-15,40.85846710205078
2015-09-16,40.84797286987305
2015-09-17,40.281009674072266
2015-09-18,39.94155502319336
2015-09-21,40.534732818603516
2015-09-22,39.62659454345703
2015-09-23,40.118282318115234
2015-09-24,39.666831970214844
2015-09-25,41.120933532714844
2015-09-28,39.8925666809082
2015-09-29,39.85931396484375
2015-09-30,41.119178771972656
2015-10-01,40.86545944213867
2015-10-02,40.505001068115234
2015-10-05,41.46388244628906
2015-10-06,41.34490966796875
2015-10-07,40.909202575683594
2015-10-08,40.97396469116211
2015-10-09,40.05352783203125
2015-10-12,40.84095001220703
2015-10-13,40.449005126953125
2015-10-14,40.13227844238281
2015-10-15,41.33440399169922
2015-10-16,41.62662887573242
2015-10-19,42.043087005615234
2015-10-20,42.28281021118164
2015-10-21,41.44989776611328
2015-10-22,43.000244140625
2015-10-23,43.53568649291992
2015-10-26,43.288970947265625
2015-10-27,44.74481964111328
2015-10-28,45.08779525756836
2015-10-29,45.81747055053711
2015-10-30,44.16563415527344
2015-11-02,45.73171615600586
2015-11-03,45.58300018310547
2015-11-04,45.53923034667969
2015-11-05,45.757957458496094
2015-11-06,45.901458740234375
2015-11-09,45.72297286987305
2015-11-10,46.141178131103516
2015-11-11,46.19192123413086
2015-11-12,45.50949478149414
2015-11-13,45.22777557373047
2015-11-16,45.86295700073242
2015-11-17,45.831459045410156
2015-11-18,46.12543487548828
2015-11-19,46.0081901550293
2015-11-20,46.11143493652344
2015-11-23,46.07292938232422
2015-11-24,45.34677505493164
2015-11-25,45.40976333618164
2015-11-27,45.53575897216797
2015-11-30,45.467506408691406
2015-12-01,45.66172790527344
2015-12-02,45.329261779785156
2015-12-03,44.4176139831543
2015-12-04,46.219932556152344
2015-12-07,46.1376953125
2015-12-08,45.70197677612305
2015-12-09,44.144630432128906
2015-12-10,44.17612838745117
2015-12-11,42.687034606933594
2015-12-14,43.10475158691406
2015-12-15,43.880577087402344
2015-12-16,43.480384826660156
2015-12-17,43.5944709777832
2015-12-18,42.92925262451172
2015-12-21,43.43123245239258
2015-12-22,43.896366119384766
2015-12-23,44.05609893798828
2015-12-24,44.21758270263672
2015-12-28,44.65463638305664
2015-12-29,45.23912048339844
2015-12-30,45.09694290161133
2015-12-31,44.97933578491211
