Date,FAST
2015-01-02,8.746247291564941
2015-01-05,8.596787452697754
2015-01-06,8.449172973632812
2015-01-07,8.393814086914062
2015-01-08,8.583871841430664
2015-01-09,8.486075401306152
2015-01-12,8.425183296203613
2015-01-13,8.465778350830078
2015-01-14,8.290483474731445
2015-01-15,8.117035865783691
2015-01-16,8.349529266357422
2015-01-20,8.377209663391113
2015-01-21,8.463934898376465
2015-01-22,8.570954322814941
2015-01-23,8.54143238067627
2015-01-26,8.506370544433594
2015-01-27,8.377209663391113
2015-01-28,8.304801940917969
2015-01-29,8.353074073791504
2015-01-30,8.24353313446045
2015-02-02,8.349361419677734
2015-02-03,8.499749183654785
2015-02-04,7.83878231048584
2015-02-05,7.809074878692627
2015-02-06,7.86106014251709
2015-02-09,7.846206188201904
2015-02-10,7.892624378204346
2015-02-11,7.835064888000488
2015-02-12,7.842493057250977
2015-02-13,7.8907670974731445
2015-02-17,7.911190986633301
2015-02-18,7.994738578796387
2015-02-19,7.976171970367432
2015-02-20,7.940894603729248
2015-02-23,7.836923122406006
2015-02-24,7.816497325897217
2015-02-25,7.877765655517578
2015-02-26,7.836923122406006
2015-02-27,7.714385986328125
2015-03-02,7.70510196685791
2015-03-03,7.630836486816406
2015-03-04,7.393184661865234
2015-03-05,7.541715621948242
2015-03-06,7.528719902038574
2015-03-09,7.588134765625
2015-03-10,7.5380024909973145
2015-03-11,7.504582405090332
2015-03-12,7.612269401550293
2015-03-13,7.580705165863037
2015-03-16,7.679107189178467
2015-03-17,7.907476902008057
2015-03-18,7.955748558044434
2015-03-19,7.885194778442383
2015-03-20,7.85363245010376
2015-03-23,7.83878231048584
2015-03-24,7.87034273147583
2015-03-25,7.777508735656738
2015-03-26,7.697676181793213
2015-03-27,7.643831253051758
2015-03-30,7.760801792144775
2015-03-31,7.693960666656494
2015-04-01,7.656829357147217
2015-04-02,7.621553421020508
2015-04-06,7.636402130126953
2015-04-07,7.4915876388549805
2015-04-08,7.512009143829346
2015-04-09,7.49715518951416
2015-04-10,7.4284586906433105
2015-04-13,7.4303178787231445
2015-04-14,7.760801792144775
2015-04-15,7.679107189178467
2015-04-16,7.615982532501221
2015-04-17,7.526862144470215
2015-04-20,7.575136184692383
2015-04-21,7.660541534423828
2015-04-22,7.719952583312988
2015-04-23,7.810930252075195
2015-04-24,7.781027793884277
2015-04-27,7.926812648773193
2015-04-28,7.986622333526611
2015-04-29,8.05017375946045
2015-04-30,7.966064453125
2015-05-01,8.007185935974121
2015-05-04,8.065128326416016
2015-05-05,7.78289270401001
2015-05-06,7.792237758636475
2015-05-07,7.853921413421631
2015-05-08,7.984755039215088
2015-05-11,7.938025951385498
2015-05-12,8.038959503173828
2015-05-13,8.005314826965332
2015-05-14,8.087555885314941
2015-05-15,7.995970726013184
2015-05-18,7.975409507751465
2015-05-19,7.947373867034912
2015-05-20,7.956716060638428
2015-05-21,7.979150772094727
2015-05-22,7.924946308135986
2015-05-26,7.919337272644043
2015-05-27,7.966064453125
2015-05-28,7.952981948852539
2015-05-29,7.758594036102295
2015-06-01,7.790374279022217
2015-06-02,7.872612476348877
2015-06-03,7.949244976043701
2015-06-04,7.87634801864624
2015-06-05,7.82961893081665
2015-06-08,7.760462760925293
2015-06-09,7.790374279022217
2015-06-10,7.881956577301025
2015-06-11,7.913730621337891
2015-06-12,7.855791091918945
2015-06-15,7.827753067016602
2015-06-16,7.878216743469238
2015-06-17,7.981015205383301
2015-06-18,8.113723754882812
2015-06-19,8.033354759216309
2015-06-22,8.104375839233398
2015-06-23,8.081948280334473
2015-06-24,8.046436309814453
2015-06-25,7.988495349884033
2015-06-26,8.055778503417969
2015-06-29,7.889430522918701
2015-06-30,7.883824825286865
2015-07-01,7.881956577301025
2015-07-02,7.868870735168457
2015-07-06,7.857658386230469
2015-07-07,7.988495349884033
2015-07-08,7.852048873901367
2015-07-09,7.850182056427002
2015-07-10,7.911860942840576
2015-07-13,8.003448486328125
2015-07-14,7.683830738067627
2015-07-15,7.754859447479248
2015-07-16,7.837099075317383
2015-07-17,7.8240156173706055
2015-07-20,7.885693550109863
2015-07-21,7.745512008666992
2015-07-22,7.599725246429443
2015-07-23,7.551125526428223
2015-07-24,7.539833068847656
2015-07-27,7.547361373901367
2015-07-28,7.688521385192871
2015-07-29,7.758163928985596
2015-07-30,7.696051120758057
2015-07-31,7.878618240356445
2015-08-03,7.793923377990723
2015-08-04,7.780746936798096
2015-08-05,7.6941680908203125
2015-08-06,7.551125526428223
2015-08-07,7.528539657592773
2015-08-10,7.635824680328369
2015-08-11,7.485249996185303
2015-08-12,7.615118026733398
2015-08-13,7.537953853607178
2015-08-14,7.5680646896362305
2015-08-17,7.596299171447754
2015-08-18,7.664053916931152
2015-08-19,7.592533588409424
2015-08-20,7.4118523597717285
2015-08-21,7.37420654296875
2015-08-24,7.039185047149658
2015-08-25,6.963902473449707
2015-08-26,7.167173385620117
2015-08-27,7.336564540863037
2015-08-28,7.281982898712158
2015-08-31,7.253747463226318
2015-09-01,7.048598766326904
2015-09-02,7.214224338531494
2015-09-03,7.08435583114624
2015-09-04,7.058006763458252
2015-09-08,7.310215473175049
2015-09-09,7.219871520996094
2015-09-10,7.2688069343566895
2015-09-11,7.278217315673828
2015-09-14,7.191636562347412
2015-09-15,7.280097961425781
2015-09-16,7.321506023406982
2015-09-17,7.2217535972595215
2015-09-18,6.99777889251709
2015-09-21,6.99777889251709
2015-09-22,6.89049768447876
2015-09-23,6.8641486167907715
2015-09-24,6.903674125671387
2015-09-25,6.909318447113037
2015-09-28,6.800156116485596
2015-09-29,6.867909908294678
2015-09-30,6.89049768447876
2015-10-01,6.68157958984375
2015-10-02,6.77192497253418
2015-10-05,6.9281415939331055
2015-10-06,6.975193500518799
2015-10-07,7.159643173217773
2015-10-08,7.345974922180176
