Date,CB
2015-01-02,93.0160140991211
2015-01-05,91.49610900878906
2015-01-06,90.69141387939453
2015-01-07,91.98375701904297
2015-01-08,93.4711685180664
2015-01-09,92.14632415771484
2015-01-12,91.03279876708984
2015-01-13,91.17096710205078
2015-01-14,89.2852783203125
2015-01-15,89.26091766357422
2015-01-16,90.82957458496094
2015-01-20,89.78923034667969
2015-01-21,89.84613037109375
2015-01-22,92.19506072998047
2015-01-23,91.748046875
2015-01-26,91.7643051147461
2015-01-27,90.46383666992188
2015-01-28,88.83824920654297
2015-01-29,89.51287078857422
2015-01-30,87.74910736083984
2015-02-02,88.84637451171875
2015-02-03,90.2281265258789
2015-02-04,90.72393798828125
2015-02-05,91.92686462402344
2015-02-06,91.748046875
2015-02-09,91.00840759277344
2015-02-10,90.82957458496094
2015-02-11,91.40667724609375
2015-02-12,91.81306457519531
2015-02-13,91.8862533569336
2015-02-17,92.5852279663086
2015-02-18,92.42268371582031
2015-02-19,92.59337615966797
2015-02-20,93.06478881835938
2015-02-23,92.30073547363281
2015-02-24,93.07288360595703
2015-02-25,92.84530639648438
2015-02-26,93.2923812866211
2015-02-27,92.66651916503906
2015-03-02,92.95912170410156
2015-03-03,92.52019500732422
2015-03-04,91.52047729492188
2015-03-05,91.99999237060547
2015-03-06,91.01656341552734
2015-03-09,91.70741271972656
2015-03-10,89.49658966064453
2015-03-11,90.07371520996094
2015-03-12,91.59361267089844
2015-03-13,90.82144927978516
2015-03-16,92.65837097167969
2015-03-17,92.13818359375
2015-03-18,93.2679672241211
2015-03-19,92.39826965332031
2015-03-20,92.28449249267578
2015-03-23,92.28449249267578
2015-03-24,91.31726837158203
2015-03-25,90.69953155517578
2015-03-26,90.43132781982422
2015-03-27,90.66844177246094
2015-03-30,91.73943328857422
2015-03-31,91.1507568359375
2015-04-01,90.74198150634766
2015-04-02,90.91370391845703
2015-04-06,90.96276092529297
2015-04-07,91.03630065917969
2015-04-08,90.94636535644531
2015-04-09,91.37151336669922
