Date,MU
2015-01-02,33.891231536865234
2015-01-05,32.94520568847656
2015-01-06,32.057682037353516
2015-01-07,31.30671501159668
2015-01-08,32.83790588378906
2015-01-09,32.70137405395508
2015-01-12,30.877586364746094
2015-01-13,30.07785415649414
2015-01-14,29.307376861572266
2015-01-15,28.57591438293457
2015-01-16,28.273574829101562
2015-01-20,28.9367733001709
2015-01-21,29.736509323120117
2015-01-22,30.12662124633789
2015-01-23,30.18514060974121
2015-01-26,30.2534122467041
2015-01-27,28.917264938354492
2015-01-28,28.380855560302734
2015-01-29,28.975780487060547
2015-01-30,28.546653747558594
2015-02-02,27.737167358398438
2015-02-03,28.23456382751465
2015-02-04,28.312585830688477
2015-02-05,28.761219024658203
2015-02-06,28.1955509185791
2015-02-09,27.649389266967773
2015-02-10,30.32167625427246
2015-02-11,30.2534122467041
2015-02-12,31.15066909790039
2015-02-13,31.062894821166992
2015-02-17,31.531036376953125
2015-02-18,31.37498664855957
2015-02-19,31.023883819580078
2015-02-20,31.238449096679688
2015-02-23,30.624013900756836
2015-02-24,30.009586334228516
2015-02-25,29.726749420166016
2015-02-26,29.863292694091797
2015-02-27,29.912057876586914
2015-03-02,30.467967987060547
2015-03-03,28.927019119262695
2015-03-04,28.546653747558594
2015-03-05,28.55640983581543
2015-03-06,27.795682907104492
2015-03-09,27.95172882080078
2015-03-10,26.92767906188965
2015-03-11,27.191003799438477
2015-03-12,27.32754898071289
2015-03-13,28.0102481842041
2015-03-16,27.805435180664062
2015-03-17,26.976436614990234
2015-03-18,27.464088439941406
2015-03-19,27.356801986694336
2015-03-20,27.971235275268555
2015-03-23,27.32754898071289
2015-03-24,27.269025802612305
2015-03-25,25.91338348388672
2015-03-26,26.001157760620117
2015-03-27,26.020658493041992
2015-03-30,26.020658493041992
2015-03-31,26.45954132080078
2015-04-01,26.45954132080078
2015-04-02,26.069429397583008
2015-04-06,26.752126693725586
2015-04-07,26.205968856811523
2015-04-08,26.45954132080078
2015-04-09,27.132490158081055
2015-04-10,27.32754898071289
2015-04-13,27.191003799438477
2015-04-14,27.03495979309082
2015-04-15,27.47384262084961
2015-04-16,27.317792892456055
2015-04-17,27.32754898071289
2015-04-20,27.561614990234375
2015-04-21,27.84444808959961
2015-04-22,28.770967483520508
2015-04-23,28.79047966003418
2015-04-24,28.47838592529297
2015-04-27,28.546653747558594
2015-04-28,28.273574829101562
2015-04-29,28.156539916992188
2015-04-30,27.43482780456543
2015-05-01,28.273574829101562
2015-05-04,27.961477279663086
2015-05-05,27.3470516204834
2015-05-06,27.298290252685547
2015-05-07,26.596078872680664
2015-05-08,26.508302688598633
2015-05-11,27.064212799072266
2015-05-12,26.205968856811523
2015-05-13,26.518054962158203
2015-05-14,26.030412673950195
2015-05-15,25.679306030273438
2015-05-18,26.098682403564453
2015-05-19,25.659807205200195
2015-05-20,25.932884216308594
2015-05-21,26.2352237701416
2015-05-22,26.65460205078125
2015-05-26,26.64484405517578
2015-05-27,27.43482780456543
2015-05-28,27.58112335205078
2015-05-29,27.23976707458496
2015-06-01,27.717662811279297
2015-06-02,27.103225708007812
2015-06-03,26.41077423095703
2015-06-04,26.322999954223633
2015-06-05,25.932884216308594
2015-06-08,25.279447555541992
2015-06-09,24.56748390197754
2015-06-10,24.56748390197754
2015-06-11,24.401683807373047
2015-06-12,24.508960723876953
2015-06-15,23.640962600708008
2015-06-16,23.640962600708008
2015-06-17,23.875030517578125
2015-06-18,23.86528205871582
2015-06-19,23.86528205871582
2015-06-22,24.021320343017578
2015-06-23,23.884777069091797
2015-06-24,23.46540641784668
2015-06-25,23.42639923095703
2015-06-26,19.174144744873047
2015-06-29,18.267122268676758
2015-06-30,18.374406814575195
2015-07-01,18.31589698791504
2015-07-02,18.598726272583008
2015-07-06,17.867258071899414
2015-07-07,17.750228881835938
2015-07-08,17.194307327270508
2015-07-09,16.726173400878906
2015-07-10,17.13578987121582
2015-07-13,17.1748046875
2015-07-14,19.12537956237793
2015-07-15,18.423175811767578
2015-07-16,19.12537956237793
2015-07-17,19.62277603149414
2015-07-20,18.423175811767578
2015-07-21,18.41341781616211
2015-07-22,17.5551700592041
2015-07-23,18.237871170043945
2015-07-24,17.886770248413086
2015-07-27,17.672204971313477
2015-07-28,19.261919021606445
2015-07-29,19.378957748413086
2015-07-30,19.408214569091797
2015-07-31,18.052568435668945
2015-08-03,18.53045654296875
2015-08-04,18.54020881652832
2015-08-05,18.44268035888672
2015-08-06,18.257373809814453
2015-08-07,17.984294891357422
2015-08-10,18.354902267456055
2015-08-11,17.438133239746094
2015-08-12,17.740476608276367
2015-08-13,17.2625789642334
2015-08-14,16.531116485595703
2015-08-17,16.79444694519043
2015-08-18,15.975204467773438
2015-08-19,15.507064819335938
2015-08-20,14.375732421875
2015-08-21,14.170921325683594
2015-08-24,14.083146095275879
2015-08-25,13.917348861694336
2015-08-26,14.063640594482422
2015-08-27,15.282748222351074
2015-08-28,15.565582275390625
2015-08-31,16.00446319580078
2015-09-01,15.429043769836426
2015-09-02,15.88742733001709
2015-09-03,16.180015563964844
2015-09-04,16.40433120727539
2015-09-08,17.096784591674805
2015-09-09,16.540868759155273
2015-09-10,16.774938583374023
2015-09-11,16.38482093811035
2015-09-14,16.287296295166016
2015-09-15,16.111743927001953
