Date,VFC
2015-01-02,50.5190315246582
2015-01-05,50.094383239746094
2015-01-06,49.79987335205078
2015-01-07,50.436832427978516
2015-01-08,51.57378387451172
2015-01-09,51.532691955566406
2015-01-12,51.58064270019531
2015-01-13,51.423099517822266
2015-01-14,50.717655181884766
2015-01-15,49.26564025878906
2015-01-16,49.7039794921875
2015-01-20,49.224552154541016
2015-01-21,49.09442138671875
2015-01-22,49.40946578979492
2015-01-23,48.717708587646484
2015-01-26,48.964271545410156
2015-01-27,48.6697883605957
2015-01-28,48.64923095703125
2015-01-29,48.895790100097656
2015-01-30,47.51226806640625
2015-02-02,47.464332580566406
2015-02-03,48.72455978393555
2015-02-04,47.176673889160156
2015-02-05,48.10814666748047
2015-02-06,47.430076599121094
2015-02-09,47.060237884521484
2015-02-10,47.697200775146484
2015-02-11,47.99171829223633
2015-02-12,48.6286735534668
2015-02-13,51.546409606933594
2015-02-17,51.64229202270508
2015-02-18,51.601200103759766
2015-02-19,50.99163055419922
2015-02-20,51.91625213623047
2015-02-23,52.169677734375
2015-02-24,52.27241516113281
2015-02-25,53.15593719482422
2015-02-26,52.65595245361328
2015-02-27,52.50526809692383
2015-03-02,52.902523040771484
2015-03-03,52.52582550048828
2015-03-04,52.38883972167969
2015-03-05,52.10118865966797
2015-03-06,51.234554290771484
2015-03-09,51.63347244262695
2015-03-10,50.883766174316406
2015-03-11,50.01713562011719
2015-03-12,50.36103820800781
2015-03-13,50.161582946777344
2015-03-16,50.319759368896484
2015-03-17,50.27161407470703
2015-03-18,50.8287467956543
2015-03-19,50.93879318237305
2015-03-20,51.757266998291016
2015-03-23,52.26626968383789
2015-03-24,51.85355758666992
2015-03-25,50.9456672668457
2015-03-26,50.81496810913086
2015-03-27,51.145118713378906
2015-03-30,51.674747467041016
2015-03-31,51.79853057861328
2015-04-01,51.6059455871582
2015-04-02,51.915462493896484
2015-04-06,52.128684997558594
2015-04-07,52.018646240234375
2015-04-08,51.99113082885742
2015-04-09,51.77103042602539
2015-04-10,51.98424530029297
2015-04-13,51.502784729003906
2015-04-14,51.351470947265625
2015-04-15,51.275814056396484
2015-04-16,51.25516891479492
2015-04-17,50.718692779541016
2015-04-20,50.87689208984375
2015-04-21,51.12449264526367
2015-04-22,50.83561706542969
2015-04-23,50.83561706542969
2015-04-24,50.69116973876953
2015-04-27,50.52609634399414
