date,APH
2015-10-20,12.0335986542
2015-10-21,11.3621864844
2015-10-22,11.7339415449
2015-10-23,12.0606353859
2015-10-26,12.1282272151
2015-10-27,12.1642761906
2015-10-28,12.2634108734
2015-10-29,12.2566516905
2015-10-30,12.216096593
2015-11-02,12.4076067757
2015-11-03,12.3647986172
2015-11-04,12.3760639221
2015-11-05,12.3242435197
2015-11-06,12.4301373854
2015-11-09,12.3693047391
2015-11-10,12.2656639344
2015-11-11,12.3310027026
2015-11-12,12.1462517029
2015-11-13,11.9412231544
2015-11-16,12.2859414832
2015-11-17,12.137239459
2015-11-18,12.3467741294
2015-11-19,12.297206788
2015-11-20,12.3310027026
2015-11-23,12.4774516658
2015-11-24,12.3219904587
2015-11-25,12.3377618855
2015-11-27,12.382823105
2015-11-30,12.4031006537
2015-12-01,12.5022353365
2015-12-02,12.299459849
2015-12-03,12.0809129347
2015-12-04,12.3445210684
2015-12-07,12.3264965807
2015-12-08,12.2408802637
2015-12-09,12.1417455809
2015-12-10,12.0673945688
2015-12-11,11.8848966301
2015-12-14,11.9345958747
2015-12-15,11.8442336117
2015-12-16,11.9436321009
2015-12-17,11.9120053089
2015-12-18,11.6657681425
2015-12-21,11.7696847448
2015-12-22,11.9797770061
2015-12-23,12.0949888913
2015-12-24,12.0678802125
2015-12-28,12.0114037981
2015-12-29,12.0746573822
2015-12-30,11.9571864404
2015-12-31,11.7990524803
