Date,GOOGL
2015-01-02,26.260461807250977
2015-01-05,25.76009178161621
2015-01-06,25.124347686767578
2015-01-07,25.050457000732422
2015-01-08,25.137737274169922
2015-01-09,24.830774307250977
2015-01-12,24.649276733398438
2015-01-13,24.88433265686035
2015-01-14,25.08913803100586
2015-01-15,24.993925094604492
2015-01-16,25.31378173828125
2015-01-20,25.287994384765625
2015-01-21,25.806211471557617
2015-01-22,26.64478302001953
2015-01-23,26.875375747680664
2015-01-26,26.61602210998535
2015-01-27,25.845882415771484
2015-01-28,25.411474227905273
2015-01-29,25.451148986816406
2015-01-30,26.65717887878418
2015-02-02,26.391874313354492
2015-02-03,26.44642448425293
2015-02-04,26.089370727539062
2015-02-05,26.27434539794922
2015-02-06,26.475181579589844
2015-02-09,26.2470703125
2015-02-10,26.78660774230957
2015-02-11,26.679492950439453
2015-02-12,27.07671356201172
2015-02-13,27.332101821899414
2015-02-17,27.027122497558594
2015-02-18,26.91008949279785
2015-02-19,27.09853172302246
2015-02-20,26.867937088012695
2015-02-23,26.530723571777344
2015-02-24,26.711729049682617
2015-02-25,27.14217185974121
2015-02-26,27.735271453857422
2015-02-27,27.900901794433594
2015-03-02,28.515321731567383
2015-03-03,28.702274322509766
2015-03-04,28.679462432861328
2015-03-05,28.833194732666016
2015-03-06,28.410188674926758
2015-03-09,28.469697952270508
2015-03-10,27.76304054260254
2015-03-11,27.556745529174805
2015-03-12,27.82849884033203
2015-03-13,27.42334747314453
2015-03-16,27.851806640625
2015-03-17,27.651958465576172
2015-03-18,28.07595443725586
2015-03-19,27.95247459411621
2015-03-20,28.015947341918945
2015-03-23,28.036773681640625
2015-03-24,28.640291213989258
2015-03-25,28.11760902404785
2015-03-26,27.950984954833984
2015-03-27,27.648983001708984
2015-03-30,27.827011108398438
2015-03-31,27.50765037536621
2015-04-01,27.249286651611328
2015-04-02,26.843637466430664
2015-04-06,26.97455596923828
2015-04-07,27.01968002319336
2015-04-08,27.217052459716797
2015-04-09,27.1763858795166
2015-04-10,27.202173233032227
2015-04-13,27.207134246826172
2015-04-14,26.767765045166016
2015-04-15,26.830249786376953
2015-04-16,26.953235626220703
2015-04-17,26.418649673461914
2015-04-20,27.00331687927246
2015-04-21,26.923479080200195
2015-04-22,27.233909606933594
2015-04-23,27.64451789855957
2015-04-24,28.447879791259766
2015-04-27,28.0739688873291
2015-04-28,27.9871883392334
2015-04-29,27.839406967163086
2015-04-30,27.213579177856445
2015-05-01,27.332101821899414
2015-05-04,27.4154109954834
2015-05-05,26.92943000793457
2015-05-06,26.53468894958496
2015-05-07,26.879837036132812
2015-05-08,27.22250747680664
2015-05-11,27.065305709838867
2015-05-12,26.715694427490234
2015-05-13,26.75338363647461
2015-05-14,27.23490333557129
2015-05-15,27.100513458251953
2015-05-18,27.10944175720215
2015-05-19,27.23887062072754
2015-05-20,27.399044036865234
2015-05-21,27.612285614013672
2015-05-22,27.498722076416016
2015-05-26,27.135229110717773
2015-05-27,27.485336303710938
2015-05-28,27.481861114501953
2015-05-29,27.042495727539062
2015-06-01,27.235401153564453
2015-06-02,27.470457077026367
2015-06-03,27.536909103393555
2015-06-04,27.358381271362305
2015-06-05,27.25126838684082
2015-06-08,26.951250076293945
2015-06-09,26.885787963867188
2015-06-10,27.403512954711914
2015-06-11,27.27655792236328
