date,BA
2015-01-02,113.6072357653
2015-01-05,112.8204215123
2015-01-06,111.4915796626
2015-01-07,113.2225710194
2015-01-08,115.2245761745
2015-01-09,114.9972742791
2015-01-12,114.4115347796
2015-01-13,114.6738061973
2015-01-14,113.9831581307
2015-01-15,113.7733409966
2015-01-16,114.3328533543
2015-01-20,114.7175181003
2015-01-21,115.7578613905
2015-01-22,118.581650321
2015-01-23,117.6899275008
2015-01-26,117.2090965684
2015-01-27,115.8190580546
2015-01-28,122.0786025569
2015-01-29,129.1949003571
2015-01-30,127.0879866349
2015-02-02,127.8660585074
2015-02-03,128.8102356111
2015-02-04,128.705327044
2015-02-05,129.9117755655
2015-02-06,129.3872327301
2015-02-09,129.0200527453
2015-02-10,129.4222022524
2015-02-11,130.112850319
2015-02-12,130.2623850983
2015-02-13,131.7049559104
2015-02-17,131.8720830167
2015-02-18,132.9716034527
2015-02-19,135.2410136327
2015-02-20,139.2520641834
2015-02-23,136.111833818
2015-02-24,135.7951719325
2015-02-25,134.5900975346
2015-02-26,133.4641886081
2015-02-27,132.6901262211
2015-03-02,135.2849944501
2015-03-03,136.8419153876
2015-03-04,135.768783442
2015-03-05,135.8743374039
2015-03-06,134.6868553329
2015-03-09,136.1206299815
2015-03-10,134.0711238888
2015-03-11,132.9716034527
2015-03-12,133.7368696762
2015-03-13,133.3234499922
2015-03-16,135.1706443248
2015-03-17,135.9095220578
2015-03-18,136.9826540034
2015-03-19,135.5576755183
2015-03-20,135.9007258943
2015-03-23,134.4141742648
2015-03-24,133.3938193002
2015-03-25,130.3855313872
2015-03-26,130.3327544062
2015-03-27,130.9308935234
2015-03-30,134.3174164664
2015-03-31,132.0128216325
2015-04-01,130.7461740902
2015-04-02,131.3091285534
2015-04-06,132.760495529
2015-04-07,133.9831622539
2015-04-08,134.8979632567
2015-04-09,134.9507402376
2015-04-10,135.7951719325
2015-04-13,134.7924092948
2015-04-14,134.7660208043
2015-04-15,134.0799200522
2015-04-16,133.6752965318
2015-04-17,131.5906057851
2015-04-20,134.291027976
2015-04-21,134.8715747662
2015-04-22,132.9891957797
2015-04-23,131.8281021992
2015-04-24,130.5350661665
2015-04-27,130.0072963572
2015-04-28,129.752207616
2015-04-29,128.5559293816
2015-04-30,126.0842074414
2015-05-01,127.2540971853
2015-05-04,126.6823465586
2015-05-05,125.7059724114
2015-05-06,124.8615407165
2015-05-07,125.2599219794
2015-05-08,128.7745300101
2015-05-11,129.1552054391
2015-05-12,128.7479712592
2015-05-13,128.9161766813
2015-05-14,130.9877592485
2015-05-15,130.0316442175
2015-05-18,129.8811446293
2015-05-19,130.1821438057
2015-05-20,129.6244100376
2015-05-21,130.4477313144
2015-05-22,128.1990904081
2015-05-26,126.4196541004
2015-05-27,126.5967124394
2015-05-28,126.0035670035
2015-05-29,124.4011890349
2015-06-01,125.0474519725
2015-06-02,126.8180353633
2015-06-03,127.3137987127
2015-06-04,124.9943344708
2015-06-05,124.5871002909
2015-06-08,124.5074240383
2015-06-09,124.0293665228
2015-06-10,125.3750098998
2015-06-11,126.5613007716
2015-06-12,126.4196541004
2015-06-15,125.9681553357
2015-06-16,126.0124199205
2015-06-17,126.9773878685
2015-06-18,128.7037066745
2015-06-19,128.4823837506
2015-06-22,128.987000017
2015-06-23,127.8626795638
2015-06-24,126.5967124394
2015-06-25,126.109802007
2015-06-26,126.1363607578
2015-06-29,122.8165169002
2015-06-30,122.8076639832
2015-07-01,124.5871002909
2015-07-02,124.1267486093
2015-07-06,124.4011890349
2015-07-07,126.7295061938
2015-07-08,125.6405974084
2015-07-09,126.4196541004
2015-07-10,127.9069441486
2015-07-13,129.8014683767
2015-07-14,130.8018479925
2015-07-15,130.0404971345
2015-07-16,131.4569638471
2015-07-17,129.9962325497
2015-07-20,129.8899975463
2015-07-21,128.3672958302
2015-07-22,129.6686746224
2015-07-23,129.3499696121
2015-07-24,127.5351216365
2015-07-27,124.8526877995
2015-07-28,125.5432153219
2015-07-29,127.6059449722
2015-07-30,126.6055653564
2015-07-31,127.632503723
2015-08-03,127.2075637093
2015-08-04,127.074769955
2015-08-05,129.1286466882
2015-08-06,128.1219866623
2015-08-07,126.8747972497
2015-08-10,129.9393198065
2015-08-11,128.3268820658
2015-08-12,126.8837057455
2015-08-13,129.003927747
2015-08-14,129.2533656295
2015-08-17,128.6743134022
2015-08-18,128.8168493351
2015-08-19,127.1420521238
2015-08-20,122.0642095152
2015-08-21,117.3337982429
2015-08-24,113.3071581392
2015-08-25,111.7927138524
2015-08-26,115.2224847372
2015-08-27,117.4763341758
2015-08-28,118.696798101
2015-08-31,116.416223175
2015-09-01,113.5298705343
2015-09-02,116.371680696
2015-09-03,116.7191120324
2015-09-04,115.596641561
2015-09-08,119.2134908577
2015-09-09,118.1711968485
2015-09-10,118.9729614709
2015-09-11,119.9707130011
2015-09-14,119.7569091018
2015-09-15,121.4227978172
2015-09-16,122.2245624396
2015-09-17,122.4472748348
2015-09-18,121.2357194053
2015-09-21,121.1733599347
2015-09-22,119.3649352864
2015-09-23,117.2981642597
2015-09-24,115.5877330652
2015-09-25,116.7102035366
2015-09-28,114.1445567448
2015-09-29,114.6968834847
2015-09-30,116.6567525617
2015-10-01,116.3538637044
2015-10-02,118.0910203863
2015-10-05,119.3916607738
2015-10-06,119.9350790178
2015-10-07,122.0642095152
2015-10-08,123.8637256677
2015-10-09,124.4516863908
2015-10-12,125.3247189797
2015-10-13,124.9772876433
2015-10-14,119.5698306899
2015-10-15,122.3938238599
2015-10-16,122.5809022718
2015-10-19,123.3113989278
2015-10-20,123.7211897348
2015-10-21,125.7790522657
2015-10-22,130.3402021177
2015-10-23,130.687633454
2015-10-26,130.687633454
2015-10-27,132.2555287157
2015-10-28,131.738835959
2015-10-29,131.1152412527
2015-10-30,131.9080973793
2015-11-02,132.2020777408
2015-11-03,131.9259143709
2015-11-04,132.8256724472
2015-11-05,132.6284820299
2015-11-06,132.6015924275
2015-11-09,130.8448050735
2015-11-10,130.1008594082
2015-11-11,129.9574481957
2015-11-12,127.7614640031
2015-11-13,127.806280007
2015-11-16,129.4465457509
2015-11-17,130.9344370813
2015-11-18,132.9063412542
2015-11-19,133.7668085297
2015-11-20,133.9102197423
2015-11-23,132.9601204589
2015-11-24,133.2379796833
2015-11-25,132.1444691874
2015-11-27,131.7142355497
2015-11-30,130.3697554318
2015-12-01,132.4223284118
2015-12-02,131.7231987505
2015-12-03,130.4683506405
2015-12-04,133.1035316715
2015-12-07,133.0587156676
2015-12-08,129.9574481957
2015-12-09,129.2852081367
2015-12-10,131.2302227073
2015-12-11,129.6258097666
2015-12-14,128.1737712392
2015-12-15,131.3377811167
2015-12-16,132.7539668409
2015-12-17,130.4683506405
2015-12-18,125.1083565704
2015-12-21,126.2914990742
2015-12-22,127.6180527905
2015-12-23,129.1238705226
2015-12-24,128.6488208809
2015-12-28,129.5541041603
2015-12-29,132.0727635811
2015-12-30,131.2302227073
2015-12-31,129.5989201642
