date,AEE
2015-01-02,32.3839354763
2015-01-05,32.0600257063
2015-01-06,31.6868253193
2015-01-07,31.9332784051
2015-01-08,32.0459426729
2015-01-09,31.6868253193
2015-01-12,31.560078018
2015-01-13,31.8346971707
2015-01-14,32.1304408737
2015-01-15,32.4261845767
2015-01-16,32.7712188968
2015-01-20,32.5740564282
2015-01-21,32.7148867629
2015-01-22,32.6022224951
2015-01-23,32.6233470454
2015-01-26,32.5388488445
2015-01-27,32.5388488445
2015-01-28,32.1093163235
2015-01-29,32.7500943466
2015-01-30,31.8839877879
2015-02-02,31.9755275055
2015-02-03,31.989610539
2015-02-04,31.3910816163
2015-02-05,31.7783650368
2015-02-06,30.2010652876
2015-02-09,29.7152006327
2015-02-10,30.5179335408
2015-02-11,29.9123631014
2015-02-12,30.0391104027
2015-02-13,29.250460528
2015-02-17,29.3420002456
2015-02-18,30.1165670868
2015-02-19,29.9334876516
2015-02-20,30.2573974215
2015-02-23,30.3630201726
2015-02-24,30.271480455
2015-02-25,30.3700616893
2015-02-26,29.9475706851
2015-02-27,29.8630724842
2015-03-02,29.708159116
2015-03-03,29.708159116
2015-03-04,29.4053738963
2015-03-05,29.6870345658
2015-03-06,28.8350110405
2015-03-09,29.2434190113
2015-03-10,29.4923294358
2015-03-11,28.9660616812
2015-03-12,29.7056812282
2015-03-13,29.2505307377
2015-03-16,29.7839102187
2015-03-17,29.7483515866
2015-03-18,30.4453007751
2015-03-19,30.0399323696
2015-03-20,30.3386248789
2015-03-23,30.1608317186
2015-03-24,29.6416756904
2015-03-25,29.4852177094
2015-03-26,29.1225196623
2015-03-27,29.4354356245
2015-03-30,29.926144747
2015-03-31,30.0114854639
2015-04-01,30.132384813
2015-04-02,30.0754910017
2015-04-06,30.1821668979
2015-04-07,29.7270164074
2015-04-08,29.6701225961
2015-04-09,29.6203405112
2015-04-10,29.9545916526
2015-04-13,29.5634466999
2015-04-14,29.719904681
2015-04-15,29.6914577753
2015-04-16,29.3856535396
2015-04-17,29.2505307377
2015-04-20,29.6203405112
2015-04-21,29.5492232471
2015-04-22,29.6416756904
2015-04-23,29.8052453979
2015-04-24,30.0968261809
2015-04-27,29.8123571244
2015-04-28,30.0826027281
2015-04-29,29.7554633131
2015-04-30,29.1154079359
2015-05-01,29.3003128226
2015-05-04,29.5776701527
2015-05-05,28.8664975114
2015-05-06,28.7100395303
2015-05-07,28.7313747095
2015-05-08,28.7242629831
2015-05-11,28.6602574454
2015-05-12,28.6318105398
2015-05-13,28.326006304
2015-05-14,28.6318105398
2015-05-15,28.8309388793
2015-05-18,29.0016203133
2015-05-19,28.9731734076
2015-05-20,29.101184483
2015-05-21,28.9233913227
2015-05-22,28.9091678699
2015-05-26,28.6744808982
2015-05-27,28.7242629831
2015-05-28,28.7598216152
2015-05-29,28.6104753605
2015-06-01,28.6033636341
2015-06-02,28.1766600493
2015-06-03,27.9561965305
2015-06-04,27.7997385494
2015-06-05,27.2876942477
2015-06-08,27.2663590684
2015-06-09,27.2232274696
2015-06-10,27.1800958707
2015-06-11,27.5323372613
2015-06-12,27.1513414715
2015-06-15,27.1225870723
2015-06-16,27.1800958707
2015-06-17,27.3813766653
2015-06-18,27.7048636567
2015-06-19,27.5035828621
2015-06-22,27.5395258611
2015-06-23,27.1441528717
2015-06-24,27.1585300713
2015-06-25,26.9644378765
2015-06-26,27.1225870723
2015-06-29,26.9860036759
2015-06-30,27.0866440732
2015-07-01,27.3023020675
2015-07-02,27.6761092574
2015-07-06,27.7192408563
2015-07-07,28.4668552362
2015-07-08,28.2368200424
2015-07-09,27.805504054
2015-07-10,28.0499164474
2015-07-13,27.9708418495
2015-07-14,27.9348988505
2015-07-15,28.028350648
2015-07-16,28.509986835
2015-07-17,28.3158946403
2015-07-20,28.1218024455
2015-07-21,27.8198812536
2015-07-22,27.7911268543
2015-07-23,27.5107714619
2015-07-24,27.6976750568
2015-07-27,28.0499164474
2015-07-28,28.2799516412
2015-07-29,28.5027982352
2015-07-30,28.5890614329
2015-07-31,29.5307680077
2015-08-03,29.8973865978
2015-08-04,29.480447809
2015-08-05,29.7320488023
2015-08-06,29.9692725959
2015-08-07,30.2783823876
2015-08-10,30.0627243934
2015-08-11,30.264005188
2015-08-12,30.6593781774
2015-08-13,30.637812378
2015-08-14,30.7240755756
2015-08-17,31.1985231629
2015-08-18,31.0547511668
2015-08-19,31.30635216
2015-08-20,31.1338257646
2015-08-21,30.5587377801
2015-08-24,29.2432240154
2015-08-25,28.5890614329
2015-08-26,29.1497722179
2015-08-27,29.4876364088
2015-08-28,29.5235794079
2015-08-31,28.9628686229
2015-09-01,28.1218024455
2015-09-02,28.0930480462
2015-09-03,28.215254243
2015-09-04,27.7192408563
2015-09-08,28.3158946403
2015-09-09,27.9381556661
2015-09-10,27.916363033
2015-09-11,28.1996672636
2015-09-14,28.3158946403
2015-09-15,28.4757072832
2015-09-16,28.8316536242
2015-09-17,29.4491115628
2015-09-18,29.325619975
2015-09-21,29.6525094719
2015-09-22,29.4200547186
2015-09-23,29.6379810498
2015-09-24,29.8195863259
2015-09-25,30.0520410792
2015-09-28,30.1755326669
2015-09-29,30.2844958325
2015-09-30,30.705820073
2015-10-01,30.3498737319
2015-10-02,30.7421411282
2015-10-05,30.9600674594
2015-10-06,30.7348769171
2015-10-07,30.6622348067
2015-10-08,31.3232780115
2015-10-09,31.3232780115
2015-10-12,31.759130674
2015-10-13,31.7082811967
2015-10-14,31.5194117096
2015-10-15,31.9189433169
2015-10-16,32.0351706936
2015-10-19,32.1731907034
2015-10-20,32.1949833365
2015-10-21,32.0714917488
2015-10-22,32.3257391352
2015-10-23,31.9552643721
2015-10-26,32.2603612359
2015-10-27,32.3184749242
2015-10-28,31.9843212163
2015-10-29,31.5339401317
2015-10-30,31.7300738298
2015-11-02,31.9044148948
2015-11-03,31.8680938396
2015-11-04,32.115077015
2015-11-05,31.9770570052
2015-11-06,30.9092179821
2015-11-09,31.3378064336
2015-11-10,31.8245085734
2015-11-11,32.1223412261
2015-11-12,31.5993180311
2015-11-13,31.3305422225
2015-11-16,31.9116791059
2015-11-17,31.1344085244
2015-11-18,31.3959201219
2015-11-19,31.7446022519
2015-11-20,32.0424349046
2015-11-23,31.4830906544
2015-11-24,31.3959201219
2015-11-25,31.3523348557
2015-11-27,31.4612980213
2015-11-30,31.7881875182
2015-12-01,31.8390369954
2015-12-02,31.1126158913
2015-12-03,30.6912916509
2015-12-04,31.4830906544
2015-12-07,31.5230438151
2015-12-08,31.3543144673
2015-12-09,31.2369375296
2015-12-10,30.5987004312
2015-12-11,30.6060364898
2015-12-14,30.6647249586
2015-12-15,30.7674297791
2015-12-16,31.5450519909
2015-12-17,32.300666027
2015-12-18,31.691773163
2015-12-21,31.4423471705
2015-12-22,31.691773163
2015-12-23,32.1686169722
2015-12-24,32.0439039759
2015-12-28,32.3080020856
2015-12-29,32.3666905544
2015-12-30,32.2786578512
2015-12-31,31.7137813388
