Date,NUE
2015-01-02,37.57432174682617
2015-01-05,36.14065170288086
2015-01-06,35.61930465698242
2015-01-07,35.9489860534668
2015-01-08,36.82298278808594
2015-01-09,36.63131332397461
2015-01-12,35.26665115356445
2015-01-13,35.0059928894043
2015-01-14,34.04764175415039
2015-01-15,33.89432907104492
2015-01-16,34.055328369140625
2015-01-20,33.802310943603516
2015-01-21,33.740997314453125
2015-01-22,34.38499069213867
2015-01-23,33.57999038696289
2015-01-26,33.986324310302734
2015-01-27,34.36198425292969
2015-01-28,33.76398849487305
2015-01-29,33.52632522583008
2015-01-30,33.464996337890625
2015-02-02,33.89432907104492
2015-02-03,35.05964660644531
2015-02-04,34.88331604003906
2015-02-05,36.51632308959961
2015-02-06,37.00698471069336
2015-02-09,36.83831024169922
2015-02-10,36.654319763183594
2015-02-11,36.577659606933594
2015-02-12,37.06830978393555
2015-02-13,37.489994049072266
2015-02-17,37.321327209472656
2015-02-18,36.99165725708008
2015-02-19,36.90731430053711
2015-02-20,37.16798782348633
2015-02-23,36.79998779296875
2015-02-24,37.29832077026367
2015-02-25,36.577659606933594
2015-02-26,36.23265075683594
2015-02-27,36.056312561035156
2015-03-02,36.132991790771484
2015-03-03,36.1483268737793
2015-03-04,36.34765625
2015-03-05,36.52398681640625
2015-03-06,36.056312561035156
2015-03-09,36.17898941040039
2015-03-10,35.396976470947266
2015-03-11,35.634639739990234
2015-03-12,36.171321868896484
2015-03-13,35.872318267822266
2015-03-16,36.2633171081543
2015-03-17,36.34765625
2015-03-18,37.773651123046875
2015-03-19,35.34331512451172
2015-03-20,36.14065170288086
2015-03-23,36.52398681640625
2015-03-24,36.04865264892578
2015-03-25,35.84931945800781
2015-03-26,36.117652893066406
2015-03-27,35.9337272644043
2015-03-30,36.57513427734375
2015-03-31,36.72969436645508
2015-04-01,35.78690719604492
2015-04-02,36.521034240722656
2015-04-06,36.11920166015625
2015-04-07,36.32783889770508
2015-04-08,36.77605438232422
2015-04-09,36.93061065673828
2015-04-10,37.262882232666016
2015-04-13,36.59831619262695
2015-04-14,36.946048736572266
2015-04-15,37.494720458984375
2015-04-16,36.613773345947266
2015-04-17,35.86419677734375
2015-04-20,36.613773345947266
2015-04-21,36.17329025268555
2015-04-22,36.1810188293457
2015-04-23,37.417457580566406
2015-04-24,37.17790222167969
2015-04-27,37.55653762817383
2015-04-28,38.29841232299805
2015-04-29,38.012481689453125
2015-04-30,37.75746536254883
2015-05-01,37.86566162109375
2015-05-04,38.03565979003906
2015-05-05,37.788387298583984
2015-05-06,37.54881286621094
2015-05-07,37.602909088134766
2015-05-08,37.788387298583984
2015-05-11,37.81156539916992
2015-05-12,37.347900390625
2015-05-13,37.6801872253418
2015-05-14,38.329307556152344
2015-05-15,38.112953186035156
2015-05-18,37.904293060302734
2015-05-19,37.05426025390625
2015-05-20,37.13924789428711
2015-05-21,36.9151496887207
2015-05-22,37.17015838623047
2015-05-26,36.466941833496094
2015-05-27,36.946048736572266
2015-05-28,36.7683219909668
2015-05-29,36.55195999145508
2015-06-01,36.77605438232422
2015-06-02,38.18247985839844
2015-06-03,38.460693359375
2015-06-04,37.91202926635742
2015-06-05,37.803836822509766
2015-06-08,37.494720458984375
2015-06-09,37.33245849609375
2015-06-10,37.788387298583984
2015-06-11,37.788387298583984
2015-06-12,37.54881286621094
2015-06-15,36.70650863647461
2015-06-16,37.16243362426758
2015-06-17,37.18562698364258
2015-06-18,36.969234466552734
2015-06-19,36.70650863647461
2015-06-22,36.45149230957031
2015-06-23,37.17015838623047
2015-06-24,36.65241241455078
2015-06-25,36.55195999145508
2015-06-26,36.02462387084961
2015-06-29,35.05876159667969
2015-06-30,34.326602935791016
2015-07-01,34.65374755859375
2015-07-02,34.466800689697266
2015-07-06,33.991668701171875
2015-07-07,34.357757568359375
2015-07-08,33.3373908996582
2015-07-09,33.462013244628906
2015-07-10,33.76577377319336
2015-07-13,34.388912200927734
2015-07-14,34.41228485107422
2015-07-15,33.89821243286133
2015-07-16,33.695674896240234
2015-07-17,33.251712799072266
2015-07-20,32.85445022583008
2015-07-21,33.16602325439453
2015-07-22,32.85445022583008
2015-07-23,33.87481689453125
2015-07-24,33.2127571105957
2015-07-27,34.116294860839844
2015-07-28,34.661529541015625
2015-07-29,35.393707275390625
2015-07-30,34.93415069580078
2015-07-31,34.381126403808594
2015-08-03,34.684906005859375
2015-08-04,35.04320526123047
2015-08-05,35.43265914916992
2015-08-06,35.59621810913086
2015-08-07,35.1600341796875
2015-08-10,36.36735153198242
2015-08-11,35.26908493041992
2015-08-12,34.848472595214844
2015-08-13,35.4092903137207
2015-08-14,36.07136154174805
2015-08-17,36.57763671875
2015-08-18,36.188201904296875
2015-08-19,35.86883544921875
2015-08-20,34.902992248535156
2015-08-21,33.75799560546875
2015-08-24,32.27805709838867
2015-08-25,31.577041625976562
2015-08-26,32.387115478515625
2015-08-27,33.59443283081055
2015-08-28,33.7346305847168
2015-08-31,33.719051361083984
2015-09-01,32.73762512207031
2015-09-02,33.3373908996582
2015-09-03,33.399696350097656
2015-09-04,32.457210540771484
2015-09-08,33.15043640136719
2015-09-09,32.36376190185547
2015-09-10,32.58185577392578
2015-09-11,32.80772399902344
2015-09-14,31.725038528442383
2015-09-15,31.857452392578125
2015-09-16,32.433837890625
2015-09-17,32.207969665527344
2015-09-18,31.351144790649414
2015-09-21,31.38231658935547
2015-09-22,30.478778839111328
2015-09-23,29.9569091796875
2015-09-24,30.089332580566406
2015-09-25,29.995853424072266
2015-09-28,29.101579666137695
2015-09-29,29.22740936279297
2015-09-30,29.534160614013672
2015-10-01,29.581357955932617
2015-10-02,29.88809585571289
2015-10-05,31.319591522216797
2015-10-06,31.39822769165039
2015-10-07,31.91735076904297
2015-10-08,32.45219802856445
2015-10-09,32.617347717285156
2015-10-12,32.46792221069336
2015-10-13,32.664554595947266
2015-10-14,32.664554595947266
2015-10-15,33.17579650878906
2015-10-16,33.16006088256836
2015-10-19,32.357810974121094
2015-10-20,32.1533088684082
2015-10-21,31.697113037109375
2015-10-22,33.506126403808594
2015-10-23,34.21399688720703
2015-10-26,33.33311080932617
2015-10-27,33.340965270996094
2015-10-28,33.54545974731445
2015-10-29,33.278045654296875
2015-10-30,33.27017593383789
2015-11-02,34.2454719543457
2015-11-03,34.12748718261719
2015-11-04,33.60050964355469
2015-11-05,33.25444793701172
2015-11-06,33.11286163330078
2015-11-09,32.86117935180664
2015-11-10,32.813987731933594
2015-11-11,32.42073440551758
2015-11-12,31.54767608642578
2015-11-13,31.956680297851562
2015-11-16,32.32633972167969
2015-11-17,31.885887145996094
2015-11-18,33.167938232421875
2015-11-19,32.884769439697266
2015-11-20,32.4993782043457
2015-11-23,31.980262756347656
2015-11-24,33.16006088256836
2015-11-25,32.751075744628906
2015-11-27,32.83759307861328
2015-11-30,32.60162353515625
2015-12-01,33.16006088256836
2015-12-02,32.4443244934082
2015-12-03,32.1533088684082
2015-12-04,32.32633972167969
2015-12-07,31.697113037109375
2015-12-08,31.036428451538086
2015-12-09,31.461170196533203
2015-12-10,32.271278381347656
2015-12-11,31.453289031982422
2015-12-14,31.571277618408203
2015-12-15,31.59486198425293
2015-12-16,30.407217025756836
2015-12-17,30.257762908935547
2015-12-18,30.572383880615234
2015-12-21,31.248790740966797
2015-12-22,32.342071533203125
2015-12-23,32.27914810180664
2015-12-24,32.30275344848633
2015-12-28,31.948816299438477
2015-12-29,32.13536834716797
2015-12-30,32.02422332763672
2015-12-31,31.992464065551758
