Date,MET
2015-01-02,32.98516845703125
2015-01-05,31.883825302124023
2015-01-06,30.917097091674805
2015-01-07,31.327045440673828
2015-01-08,31.80428123474121
2015-01-09,31.216903686523438
2015-01-12,30.85590934753418
2015-01-13,30.476552963256836
2015-01-14,29.944238662719727
2015-01-15,29.356861114501953
2015-01-16,29.97483253479004
2015-01-20,29.821863174438477
2015-01-21,30.146154403686523
2015-01-22,30.721302032470703
2015-01-23,29.84021759033203
2015-01-26,29.85245704650879
2015-01-27,29.44862937927246
2015-01-28,28.65934181213379
2015-01-29,28.677696228027344
2015-01-30,28.451309204101562
2015-02-02,29.283443450927734
2015-02-03,30.048261642456055
2015-02-04,30.05440902709961
2015-02-05,30.183841705322266
2015-02-06,30.565906524658203
2015-02-09,30.53509521484375
2015-02-10,30.830900192260742
2015-02-11,31.06507110595703
2015-02-12,31.015771865844727
2015-02-13,31.342391967773438
2015-02-17,31.853862762451172
2015-02-18,31.237613677978516
2015-02-19,31.49027442932129
2015-02-20,31.79224395751953
2015-02-23,31.342391967773438
2015-02-24,31.66898536682129
2015-02-25,31.527246475219727
2015-02-26,31.4471435546875
2015-02-27,31.323888778686523
2015-03-02,31.933984756469727
2015-03-03,31.958637237548828
2015-03-04,31.681316375732422
2015-03-05,31.88467025756836
2015-03-06,32.43930435180664
2015-03-09,32.248268127441406
2015-03-10,31.145183563232422
2015-03-11,31.33621597290039
2015-03-12,31.946313858032227
2015-03-13,31.644346237182617
2015-03-16,31.995594024658203
2015-03-17,31.798412322998047
2015-03-18,31.835390090942383
2015-03-19,31.188323974609375
2015-03-20,31.810720443725586
2015-03-23,31.681316375732422
2015-03-24,31.360862731933594
2015-03-25,31.003448486328125
2015-03-26,31.16983413696289
2015-03-27,30.97879981994629
2015-03-30,31.385515213012695
2015-03-31,31.15134048461914
2015-04-01,30.97879981994629
2015-04-02,31.49027442932129
2015-04-06,31.53342628479004
2015-04-07,31.305410385131836
2015-04-08,31.49027442932129
2015-04-09,31.705970764160156
2015-04-10,31.31772804260254
2015-04-13,31.595041275024414
2015-04-14,31.0897159576416
2015-04-15,31.33621597290039
2015-04-16,31.42865753173828
2015-04-17,31.120529174804688
