date,PX
2015-01-02,118.7414706214
2015-01-05,115.6073171452
2015-01-06,114.1270464072
2015-01-07,115.406292724
2015-01-08,117.3068872518
2015-01-09,115.7261043032
2015-01-12,115.4702550398
2015-01-13,114.6752948287
2015-01-14,113.8437847227
2015-01-15,113.7341350384
2015-01-16,112.8752125114
2015-01-20,114.1361838809
2015-01-21,114.8306318814
2015-01-22,116.4662396722
2015-01-23,115.4428426187
2015-01-26,113.7798224069
2015-01-27,112.5736758796
2015-01-28,112.0528398792
2015-01-29,110.9746179836
2015-01-30,110.1887952461
2015-02-02,111.6782034578
2015-02-03,112.829525143
2015-02-04,112.1259396687
2015-02-05,113.8620596701
2015-02-06,114.4468579864
2015-02-09,114.2549710388
2015-02-10,114.1361838809
2015-02-11,113.6244853541
2015-02-12,114.547370197
2015-02-13,115.9454036718
2015-02-17,116.4571021985
2015-02-18,116.621576725
2015-02-19,117.745485989
2015-02-20,118.1566723051
2015-02-23,117.3160247255
2015-02-24,117.3068872518
2015-02-25,117.4987741993
2015-02-26,116.8682885146
2015-02-27,116.8682885146
2015-03-02,119.0430072532
2015-03-03,117.9190979891
2015-03-04,117.3571433571
2015-03-05,117.375520611
2015-03-06,116.0431697038
2015-03-09,116.006415196
2015-03-10,114.2697647032
2015-03-11,114.1411239259
2015-03-12,115.4367203254
2015-03-13,113.7552015942
2015-03-16,114.1595011798
2015-03-17,112.8547161535
2015-03-18,114.6832529158
2015-03-19,112.1104373708
2015-03-20,112.0277397283
2015-03-23,112.08287149
2015-03-24,111.6877605313
2015-03-25,110.539182163
2015-03-26,110.7321433289
2015-03-27,110.4105413858
2015-03-30,111.6601946505
2015-03-31,110.9434817487
2015-04-01,111.1915746762
2015-04-02,112.3493416714
2015-04-06,112.3401530445
2015-04-07,112.8087730187
2015-04-08,112.4320393139
2015-04-09,112.6250004798
2015-04-10,112.4320393139
2015-04-13,111.3845358421
2015-04-14,111.1823860493
2015-04-15,111.6418173966
2015-04-16,111.402913096
2015-04-17,110.6770115672
2015-04-20,112.1012487439
2015-04-21,111.393724469
2015-04-22,111.4212903499
2015-04-23,111.9726079666
2015-04-24,112.5239255834
2015-04-27,113.5622404283
2015-04-28,112.8271502726
2015-04-29,114.5729893924
2015-04-30,112.0369283553
2015-05-01,112.7903957648
2015-05-04,112.3493416714
2015-05-05,111.0996884067
2015-05-06,110.1256939504
2015-05-07,110.9710476295
2015-05-08,111.2007633032
2015-05-11,109.4824900642
2015-05-12,108.2787799343
2015-05-13,108.2512140534
2015-05-14,110.8240295984
2015-05-15,112.4687938217
2015-05-18,111.9634193397
2015-05-19,111.4856107385
2015-05-20,111.6234401427
2015-05-21,111.9726079666
2015-05-22,112.1104373708
2015-05-26,111.7980240547
2015-05-27,111.6693832774
2015-05-28,112.7903957648
2015-05-29,112.8914706613
2015-06-01,112.5239255834
2015-06-02,112.597434599
2015-06-03,113.5117029801
2015-06-04,112.1808378744
2015-06-05,112.1808378744
2015-06-08,112.5597647447
2015-06-09,112.7168807642
2015-06-10,113.6873032371
2015-06-11,113.8998719693
2015-06-12,113.8444192566
2015-06-15,112.0329639737
2015-06-16,112.5135541508
2015-06-17,113.3730711983
2015-06-18,114.4081885028
2015-06-19,113.6780611183
2015-06-22,114.001535276
2015-06-23,114.1401670579
2015-06-24,113.2067130601
2015-06-25,112.9479337339
2015-06-26,112.3656802502
2015-06-29,110.258477166
2015-06-30,110.4895301358
2015-07-01,110.2399929284
2015-07-02,109.8887924144
2015-07-06,108.9276120602
2015-07-07,109.5191076628
2015-07-08,107.2917570344
2015-07-09,107.2085779653
2015-07-10,108.4747482395
2015-07-13,109.4913813064
2015-07-14,110.2307508096
2015-07-15,109.6947079198
2015-07-16,109.2510862179
2015-07-17,108.1420319631
2015-07-20,107.8647683994
2015-07-21,106.6540508379
2015-07-22,106.4229978681
2015-07-23,106.4692084621
2015-07-24,104.4174580907
2015-07-27,103.345372311
2015-07-28,106.6355666003
2015-07-29,107.1438831337
2015-07-30,105.6096914146
2015-07-31,105.4895438703
2015-08-03,105.018195812
2015-08-04,104.7963849611
2015-08-05,104.7963849611
2015-08-06,104.7501743671
2015-08-07,104.5745741101
2015-08-10,106.7187456694
2015-08-11,105.3416699697
2015-08-12,104.8518376738
2015-08-13,105.0551642872
2015-08-14,105.3509120885
2015-08-17,105.3601542072
2015-08-18,104.9072903865
2015-08-19,103.8998994384
2015-08-20,103.1882562916
2015-08-21,100.3786521794
2015-08-24,97.3749635726
2015-08-25,95.1938235381
2015-08-26,96.1642460111
2015-08-27,97.2178475532
2015-08-28,98.1420594322
2015-08-31,97.7354062054
2015-09-01,94.6208121731
2015-09-02,95.1476129442
2015-09-03,95.8638771504
2015-09-04,94.4027929146
2015-09-08,97.0364670466
2015-09-09,97.0643858537
2015-09-10,97.8926437963
2015-09-11,97.5017804975
2015-09-14,97.1667548129
2015-09-15,98.3672635161
2015-09-16,99.9958605942
2015-09-17,99.6236098335
2015-09-18,97.8368061821
2015-09-21,97.9484814104
2015-09-22,96.2547404492
2015-09-23,93.6582913932
2015-09-24,93.9933170779
2015-09-25,93.9188669257
2015-09-28,92.2902698476
2015-09-29,93.5745349721
2015-09-30,94.7936562134
2015-10-01,94.3748741076
2015-10-02,95.9941649167
2015-10-05,98.9628647333
2015-10-06,98.6185327796
2015-10-07,99.8004289449
2015-10-08,101.0567752622
2015-10-09,101.1126128763
2015-10-12,101.0009376481
2015-10-13,100.8520373439
2015-10-14,101.4104134849
2015-10-15,101.8943394738
2015-10-16,101.8385018597
2015-10-19,101.5593137892
2015-10-20,101.7733579766
2015-10-21,100.396030162
2015-10-22,102.6109221882
2015-10-23,103.9975562718
2015-10-26,102.49924696
2015-10-27,101.6896015554
2015-10-28,102.2852027726
2015-10-29,104.9281831736
2015-10-30,103.3833425166
2015-11-02,104.5838512199
2015-11-03,105.681990964
2015-11-04,105.179452437
2015-11-05,105.5144781217
2015-11-06,105.700603502
2015-11-09,104.6955264481
2015-11-10,103.8579622365
2015-11-11,103.3368111716
2015-11-12,102.517859498
2015-11-13,105.6354596189
2015-11-16,107.9341080663
2015-11-17,105.5423969287
2015-11-18,107.5618573055
2015-11-19,107.5432447675
2015-11-20,107.0686250476
2015-11-23,106.6312304038
2015-11-24,106.1193856078
2015-11-25,105.3562715484
2015-11-27,106.0077103796
2015-11-30,104.9747145187
2015-12-01,104.2581318043
2015-12-02,102.7039848784
