date,AON
2015-01-02,84.3176207866
2015-01-05,83.5042100486
2015-01-06,83.0036495944
2015-01-07,83.9511390255
2015-01-08,85.1846630018
2015-01-09,84.7198568658
2015-01-12,83.5220872077
2015-01-13,83.8706918097
2015-01-14,83.7455516961
2015-01-15,83.6204115826
2015-01-16,85.4170660698
2015-01-20,84.6215324909
2015-01-21,84.5142695365
2015-01-22,85.5422061834
2015-01-23,84.3980680025
2015-01-26,84.174603514
2015-01-27,83.4327014123
2015-01-28,81.4215210161
2015-01-29,81.7254327204
2015-01-30,80.7126038218
2015-02-02,82.3259595895
2015-02-03,83.1505636486
2015-02-04,83.4642717145
2015-02-05,84.0020569704
2015-02-06,86.4220906219
2015-02-09,86.6192785491
2015-02-10,88.0085571268
2015-02-11,89.7025806828
2015-02-12,90.2941444643
2015-02-13,90.1328088876
2015-02-17,90.2672552015
2015-02-18,90.1328088876
2015-02-19,89.8818424348
2015-02-20,89.9356209604
2015-02-23,90.0879934496
2015-02-24,90.1596981504
2015-02-25,90.034214924
2015-02-26,89.8280639092
2015-02-27,89.9535471356
2015-03-02,89.8459900844
2015-03-03,89.5591712813
2015-03-04,89.2992417409
2015-03-05,89.8370269968
2015-03-06,88.5463423827
2015-03-09,88.6718256091
2015-03-10,86.063567118
2015-03-11,86.4310537095
2015-03-12,88.0892249152
2015-03-13,86.8343926514
2015-03-16,88.5104900323
2015-03-17,88.2864128423
2015-03-18,89.2096108649
2015-03-19,88.6538994339
2015-03-20,89.0034598502
2015-03-23,88.8152350106
2015-03-24,87.9995940392
2015-03-25,86.0008255048
2015-03-26,86.0725302056
2015-03-27,85.929120804
2015-03-30,87.9278893384
2015-03-31,86.153197994
2015-04-01,86.2517919575
2015-04-02,86.6103154615
2015-04-06,87.6858859732
2015-04-07,87.2287685057
2015-04-08,88.4118960687
2015-04-09,88.2147081415
2015-04-10,88.0623356524
2015-04-13,88.3939698935
2015-04-14,88.3581175431
2015-04-15,88.2684866671
2015-04-16,87.4976611337
2015-04-17,86.1980134319
2015-04-20,87.3004732065
2015-04-21,87.0315805786
2015-04-22,87.1212114546
2015-04-23,87.3094362941
2015-04-24,87.6948490608
2015-04-27,87.7665537616
2015-04-28,87.892036988
2015-04-29,87.9995940392
2015-04-30,86.5161517612
2015-05-01,88.4850842392
2015-05-04,88.8267254911
2015-05-05,87.8287734132
2015-05-06,87.5500660762
2015-05-07,88.026565717
2015-05-08,89.8066964505
2015-05-11,90.0764132283
2015-05-12,89.1054328282
2015-05-13,88.6738859837
2015-05-14,89.8876114838
2015-05-15,89.5010174356
2015-05-18,90.8496013247
2015-05-19,91.1912425766
2015-05-20,91.8925061989
2015-05-21,92.0273645878
2015-05-22,92.5038642286
2015-05-26,91.8385628433
2015-05-27,92.5757887026
2015-05-28,92.5128547878
2015-05-29,91.0024408321
2015-06-01,90.723733495
2015-06-02,90.9844597136
2015-06-03,91.6227894211
2015-06-04,90.6338279024
2015-06-05,90.7776768506
2015-06-08,90.3281488876
2015-06-09,90.4540167172
2015-06-10,92.0543362656
2015-06-11,92.7735810064
2015-06-12,91.9104873174
2015-06-15,92.207175773
2015-06-16,92.9264205138
2015-06-17,93.2500806472
2015-06-18,93.969325388
2015-06-19,92.5937698212
2015-06-22,93.2231089694
2015-06-23,93.5108068657
2015-06-24,93.0882505805
2015-06-25,92.6477131767
2015-06-26,92.3779963989
2015-06-29,89.9505453987
2015-06-30,89.617894706
2015-07-01,89.6448663838
2015-07-02,89.4650551986
2015-07-06,89.6268852653
2015-07-07,90.067422669
2015-07-08,89.2402912171
2015-07-09,90.0404509913
2015-07-10,91.5059121507
2015-07-13,91.7306761322
2015-07-14,91.75764781
2015-07-15,91.5778366248
2015-07-16,92.413958636
2015-07-17,92.0723173841
2015-07-20,91.9914023507
2015-07-21,91.8205817248
2015-07-22,91.6317799803
2015-07-23,91.3171104062
2015-07-24,91.0563841877
2015-07-27,90.8316202062
2015-07-28,90.9484974765
2015-07-29,91.5958177433
2015-07-30,91.9194778766
2015-07-31,90.8644868121
2015-08-03,89.7553936418
2015-08-04,90.3505168064
2015-08-05,91.3694398003
2015-08-06,90.9997420768
2015-08-07,91.3604227826
2015-08-10,92.6678903412
2015-08-11,91.3604227826
2015-08-12,91.2792696238
2015-08-13,91.2702526062
2015-08-14,91.3423887473
2015-08-17,92.4785329707
2015-08-18,92.3613117413
2015-08-19,91.1079462886
2015-08-20,89.5570192536
2015-08-21,87.0412713305
2015-08-24,82.7131028608
2015-08-25,80.6031207317
2015-08-26,83.5156174312
2015-08-27,85.1116295544
2015-08-28,84.3451830546
2015-08-31,84.2550128781
2015-09-01,81.4056353022
2015-09-02,82.0999456609
2015-09-03,82.4606263667
2015-09-04,81.4146523198
2015-09-08,83.5787365547
2015-09-09,82.5417795255
2015-09-10,82.6680177725
2015-09-11,82.3434051373
2015-09-14,81.8745202197
2015-09-15,83.037715496
2015-09-16,82.9385283019
2015-09-17,83.1008346195
2015-09-18,80.5309845906
2015-09-21,81.5138395139
2015-09-22,80.7293589788
2015-09-23,80.3326102024
2015-09-24,80.2063719553
2015-09-25,81.1711928434
2015-09-28,79.7194530025
2015-09-29,79.7104359849
2015-09-30,79.8997933554
2015-10-01,79.8547082672
2015-10-02,80.9547844199
2015-10-05,82.5237454902
2015-10-06,81.4146523198
2015-10-07,82.199132855
2015-10-08,82.8934432137
2015-10-09,82.3163540844
2015-10-12,82.3073370667
2015-10-13,81.8564861844
2015-10-14,81.1982438963
2015-10-15,82.2802860138
2015-10-16,82.6139156667
2015-10-19,81.7212309198
2015-10-20,82.5598135608
2015-10-21,82.3434051373
2015-10-22,83.3262600606
2015-10-23,83.3983962018
2015-10-26,83.6057876076
2015-10-27,83.6598897135
2015-10-28,85.4723102602
2015-10-29,85.7788888602
2015-10-30,84.4039662506
2015-11-02,85.6612967949
2015-11-03,85.588932447
2015-11-04,85.4442037513
2015-11-05,85.7517522297
2015-11-06,84.6391503812
2015-11-09,83.607958424
2015-11-10,84.1054633156
2015-11-11,84.9286077727
2015-11-12,83.9426435329
2015-11-13,84.2140098374
2015-11-16,85.3627938599
2015-11-17,84.729605816
2015-11-18,85.9417086429
2015-11-19,84.8652889683
2015-11-20,85.8060254906
2015-11-23,85.6793878818
2015-11-24,85.7065245123
2015-11-25,85.4894314687
2015-11-27,85.6160690775
2015-11-30,85.6974789688
2015-12-01,86.5658511433
2015-12-02,85.5075225556
2015-12-03,84.7386513595
2015-12-04,87.4251777743
2015-12-07,87.5065876656
2015-12-08,86.0231185342
2015-12-09,85.2361562511
2015-12-10,84.8743345118
2015-12-11,84.3949207071
2015-12-14,85.1004730989
2015-12-15,87.4613599482
2015-12-16,87.6694074484
2015-12-17,84.3677840766
2015-12-18,82.3054001623
2015-12-21,82.1335348361
2015-12-22,82.3777645101
2015-12-23,83.0019070105
2015-12-24,83.2642277716
2015-12-28,83.2190000542
2015-12-29,84.8833800552
2015-12-30,84.6120137507
2015-12-31,83.4089564673
